date,nhs_ayrshire_arran,nhs_borders,nhs_dumfries_galloway,nhs_fife,nhs_forth_valley,nhs_grampian,nhs_greater_glasgow_clyde,nhs_highland,nhs_lanarkshire,nhs_lothian,nhs_orkney,nhs_shetland,nhs_tayside,nhs_western_isles_scotland,scotland
07/03/2020,*,*,*,*,*,*,*,*,*,*,*,*,*,*,16
08/03/2020,*,*,*,*,*,*,*,*,*,*,*,*,*,*,21
09/03/2020,*,*,*,*,*,*,*,*,*,5,*,*,*,*,23
10/03/2020,*,*,*,*,*,6,*,*,*,7,*,*,*,*,27
11/03/2020,*,*,*,*,*,6,5,*,*,8,*,*,*,*,36
12/03/2020,*,*,*,*,6,7,10,*,7,11,*,6,*,*,60
13/03/2020,*,*,*,*,6,9,20,*,7,19,*,8,*,*,84
14/03/2020,6,5,*,6,6,9,31,*,10,25,*,13,11,*,123
15/03/2020,6,7,*,7,10,12,39,*,16,28,*,13,15,*,155
16/03/2020,6,7,*,7,10,12,44,*,20,29,*,15,17,*,170
17/03/2020,6,7,*,7,12,18,49,5,21,30,*,15,20,*,191
18/03/2020,9,7,*,8,15,18,57,5,25,33,*,16,24,*,221
19/03/2020,12,8,6,9,17,18,71,6,33,35,*,24,27,*,266
20/03/2020,16,9,10,12,23,19,91,6,41,40,*,24,31,*,322
21/03/2020,21,10,13,13,27,20,110,8,49,44,*,24,34,*,373
22/03/2020,25,11,16,16,30,23,130,8,49,46,*,24,38,*,416
23/03/2020,34,12,18,19,40,24,152,12,58,59,*,24,47,*,499
24/03/2020,41,12,26,25,43,24,183,13,75,70,*,24,48,*,584
25/03/2020,57,15,31,29,59,29,221,22,87,88,*,24,57,*,719
26/03/2020,74,23,39,40,75,31,258,29,114,111,*,24,76,*,894
27/03/2020,75,28,47,41,81,45,299,33,140,139,*,24,107,*,1059
28/03/2020,90,35,60,51,94,52,376,36,165,151,*,27,127,*,1264
29/03/2020,108,50,63,58,94,62,401,41,184,188,*,27,141,*,1417
30/03/2020,154,63,74,70,103,66,449,44,197,208,*,27,177,*,1632
31/03/2020,177,77,92,76,131,86,547,51,244,269,*,29,214,*,1993
01/04/2020,199,87,100,96,146,108,632,58,284,311,*,30,254,*,2310
02/04/2020,221,93,104,119,172,128,682,65,320,356,*,30,307,*,2602
03/04/2020,240,100,122,147,189,173,779,72,377,408,*,36,353,*,3001
