date,nhs_ayrshire_arran,nhs_borders,nhs_dumfries_galloway,nhs_fife,nhs_forth_valley,nhs_grampian,nhs_greater_glasgow_clyde,nhs_highland,nhs_lanarkshire,nhs_lothian,nhs_orkney,nhs_shetland,nhs_tayside,nhs_western_isles_scotland,golden_jubilee_nationalhospital,scotland
18/03/2020,*,*,*,*,*,*,*,*,*,5,*,*,*,*,*,6
19/03/2020,*,*,*,*,*,*,*,*,*,5,*,*,*,*,*,11
20/03/2020,*,*,*,*,*,*,*,*,*,6,*,*,*,*,*,16
21/03/2020,*,*,*,*,*,*,*,*,*,9,*,*,*,*,*,20
22/03/2020,*,*,*,*,*,*,*,*,*,7,*,*,*,*,*,23
23/03/2020,*,*,*,*,*,*,6,*,*,7,*,*,5,*,*,30
24/03/2020,*,*,*,*,*,*,8,*,5,14,*,*,6,*,*,42
25/03/2020,*,*,*,*,*,*,11,*,8,14,*,*,6,*,*,52
26/03/2020,*,*,*,*,*,*,12,*,11,12,*,*,5,*,*,57
27/03/2020,7,*,*,*,*,*,18,*,9,15,*,*,6,*,*,72
28/03/2020,7,*,*,5,*,*,24,*,11,17,*,*,7,*,*,81
29/03/2020,7,*,5,6,*,*,23,*,17,24,*,*,7,*,*,95
30/03/2020,9,*,*,6,*,*,22,*,18,29,*,*,9,*,*,108
31/03/2020,10,5,*,7,*,5,34,*,22,32,*,*,10,*,*,135
01/04/2020,11,6,*,10,*,*,36,5,26,33,*,*,10,*,*,147
02/04/2020,11,7,5,11,*,5,38,5,28,35,*,*,12,*,*,162
03/04/2020,14,7,6,12,*,5,45,5,28,36,*,*,14,*,*,176
04/04/2020,14,6,5,12,*,5,51,5,31,41,*,*,17,*,*,192
05/04/2020,14,8,5,10,*,6,54,5,31,46,*,*,13,*,*,197
06/04/2020,16,7,5,9,5,10,51,5,34,40,*,*,15,*,*,199
07/04/2020,14,7,5,11,7,11,54,6,30,41,*,*,11,*,*,199
08/04/2020,16,9,6,13,9,11,62,6,28,41,*,*,7,*,*,210
09/04/2020,15,7,9,13,7,13,64,6,31,39,*,*,7,*,*,212
10/04/2020,14,6,8,9,7,13,65,7,27,40,*,*,8,*,*,207
11/04/2020,15,6,7,10,7,13,69,7,30,36,*,*,8,*,*,212
12/04/2020,14,8,9,9,9,14,74,8,29,35,*,*,8,*,*,221
13/04/2020,14,8,8,6,7,12,74,6,30,36,*,*,8,*,*,211
14/04/2020,13,6,6,5,5,13,73,*,27,33,*,*,8,*,*,196
15/04/2020,13,6,6,5,7,15,71,5,29,28,*,*,6,*,*,195
16/04/2020,13,6,6,6,5,16,70,6,30,28,*,*,6,*,*,196
17/04/2020,11,6,5,6,6,15,67,6,29,30,*,*,5,*,*,189
18/04/2020,12,6,5,6,*,15,65,6,27,28,*,*,7,*,*,182
19/04/2020,10,6,5,5,*,13,62,6,27,29,*,*,6,*,*,174
20/04/2020,11,7,5,5,*,9,64,5,24,27,*,*,8,*,*,169
21/04/2020,10,9,5,6,*,10,60,5,22,29,*,*,7,*,*,166
22/04/2020,8,7,*,7,*,8,55,5,22,29,*,*,7,*,*,155
23/04/2020,10,*,*,6,5,12,49,*,19,27,*,*,6,*,*,148
24/04/2020,7,5,*,6,*,9,50,*,17,26,*,*,6,*,*,141
25/04/2020,7,5,*,6,6,9,49,*,18,25,*,*,5,*,*,140
26/04/2020,8,*,*,6,5,9,49,*,16,24,*,*,*,*,*,133
27/04/2020,7,*,*,6,6,9,47,*,17,24,*,*,*,*,*,134
28/04/2020,5,*,*,6,5,10,48,5,13,21,*,*,*,*,*,126
29/04/2020,6,*,*,6,6,10,42,*,12,17,*,*,*,*,*,114
30/04/2020,5,*,*,6,7,10,43,*,8,16,*,*,*,*,*,109
01/05/2020,6,*,*,6,6,13,44,*,8,16,*,*,*,*,*,110
02/05/2020,8,*,*,6,5,12,42,*,9,15,*,*,*,*,*,108
03/05/2020,8,*,*,6,*,13,39,*,8,12,*,*,*,*,*,99
04/05/2020,6,*,*,6,6,13,39,*,7,14,*,*,*,*,*,99
05/05/2020,8,*,*,5,*,13,32,*,10,18,*,*,*,*,*,104
06/05/2020,7,*,*,*,*,11,30,*,5,18,*,*,*,*,*,89
07/05/2020,7,*,*,*,*,11,32,*,7,12,*,*,*,*,*,86
08/05/2020,6,*,*,*,*,11,31,*,6,13,*,*,*,*,*,84
09/05/2020,9,*,*,*,*,10,30,*,8,20,*,*,*,*,*,93
10/05/2020,7,*,*,*,*,10,29,*,7,11,*,*,*,*,*,82
11/05/2020,8,*,*,*,5,11,28,*,9,8,*,*,*,*,*,80
12/05/2020,7,*,*,*,*,11,29,*,9,10,*,*,*,*,*,81
13/05/2020,7,*,*,*,*,9,27,*,6,6,*,*,*,*,*,66
14/05/2020,5,*,*,*,*,11,26,*,7,10,*,*,*,*,*,71
15/05/2020,*,*,*,*,*,8,22,*,12,12,*,*,*,*,*,71
16/05/2020,*,*,*,*,*,5,21,*,10,11,*,*,*,*,*,59
17/05/2020,*,*,*,*,*,5,20,*,11,7,*,*,*,*,*,59
18/05/2020,5,*,*,*,*,7,20,*,10,10,*,*,*,*,*,63
19/05/2020,*,*,*,*,*,6,20,*,7,7,*,*,*,*,*,59
20/05/2020,*,*,*,*,*,6,18,*,8,8,*,*,*,*,*,53
21/05/2020,*,*,*,*,*,6,16,*,*,12,*,*,*,*,*,51
22/05/2020,*,*,*,*,*,6,14,*,8,9,*,*,*,*,*,50
23/05/2020,*,*,*,*,*,*,13,*,6,10,*,*,*,*,*,50
24/05/2020,*,*,*,*,*,*,12,*,*,8,*,*,*,*,*,44
25/05/2020,*,*,*,*,*,*,12,*,*,9,*,*,*,*,*,40
26/05/2020,*,*,*,*,*,*,11,*,*,5,*,*,*,*,*,36
