date,nhs_ayrshire_arran,nhs_borders,nhs_dumfries_galloway,nhs_fife,nhs_forth_valley,nhs_grampian,nhs_greater_glasgow_clyde,nhs_highland,nhs_lanarkshire,nhs_lothian,nhs_orkney,nhs_shetland,nhs_tayside,nhs_western_isles_scotland,scotland
07/03/2020,*,*,*,*,*,*,*,*,*,*,*,*,*,*,16
08/03/2020,*,*,*,*,*,*,*,*,*,*,*,*,*,*,21
09/03/2020,*,*,*,*,*,*,*,*,*,5,*,*,*,*,23
10/03/2020,*,*,*,*,*,6,*,*,*,7,*,*,*,*,27
11/03/2020,*,*,*,*,*,6,5,*,*,8,*,*,*,*,36
12/03/2020,*,*,*,*,6,7,10,*,7,11,*,6,*,*,60
13/03/2020,*,*,*,*,6,9,20,*,7,19,*,8,*,*,84
14/03/2020,6,5,*,6,6,9,31,*,10,25,*,13,11,*,123
15/03/2020,6,7,*,7,10,12,39,*,16,28,*,13,15,*,155
16/03/2020,6,7,*,7,10,12,44,*,20,29,*,15,17,*,170
17/03/2020,6,7,*,7,12,18,49,5,21,30,*,15,20,*,191
18/03/2020,9,7,*,8,15,18,57,5,25,33,*,16,24,*,221
19/03/2020,12,8,6,9,17,18,71,6,33,35,*,24,27,*,266
20/03/2020,16,9,10,12,23,19,91,6,41,40,*,24,31,*,322
21/03/2020,21,10,13,13,27,20,110,8,49,44,*,24,34,*,373
22/03/2020,25,11,16,16,30,23,130,8,49,46,*,24,38,*,416
23/03/2020,34,12,18,19,40,24,152,12,58,59,*,24,47,*,499
24/03/2020,41,12,26,25,43,24,183,13,75,70,*,24,48,*,584
25/03/2020,57,15,31,29,59,29,221,22,87,88,*,24,57,*,719
26/03/2020,74,23,39,40,75,31,258,29,114,111,*,24,76,*,894
27/03/2020,75,28,47,41,81,45,299,33,140,139,*,24,107,*,1059
28/03/2020,90,35,60,51,94,52,376,36,165,151,*,27,127,*,1264
29/03/2020,108,50,63,58,94,62,401,41,184,188,*,27,141,*,1417
30/03/2020,154,63,74,70,103,66,449,44,197,208,*,27,177,*,1632
31/03/2020,177,77,92,76,131,86,547,51,244,269,*,29,214,*,1993
01/04/2020,199,87,100,96,146,108,632,58,284,311,*,30,254,*,2310
02/04/2020,221,93,104,119,172,128,682,65,320,356,*,30,307,*,2602
03/04/2020,240,100,122,147,189,173,779,72,377,408,*,36,353,*,3001
04/04/2020,254,110,127,173,208,177,851,85,427,476,*,40,410,*,3345
05/04/2020,267,130,141,200,226,194,931,99,478,534,*,41,457,*,3706
06/04/2020,288,139,144,227,231,209,984,102,512,577,*,41,499,*,3961
07/04/2020,296,149,152,239,243,210,1094,112,547,621,*,42,516,*,4229
08/04/2020,312,160,155,255,259,223,1166,122,575,700,*,43,586,*,4565
09/04/2020,362,167,163,288,280,236,1251,137,607,747,*,43,667,*,4957
10/04/2020,364,177,164,333,302,251,1314,144,662,799,*,43,712,*,5275
11/04/2020,376,189,179,356,324,261,1387,148,707,856,5,43,753,6,5590
12/04/2020,390,199,186,379,337,291,1449,151,758,915,5,43,803,6,5912
13/04/2020,390,204,192,383,352,313,1486,163,784,932,5,45,812,6,6067
14/04/2020,416,208,199,397,367,335,1575,168,822,989,5,45,826,6,6358
15/04/2020,457,215,207,424,380,357,1661,180,873,1040,5,45,898,6,6748
16/04/2020,503,220,207,446,400,389,1742,184,911,1107,5,45,937,6,7102
17/04/2020,536,229,209,488,431,394,1794,187,934,1172,5,45,979,6,7409
18/04/2020,560,231,222,514,451,432,1905,193,995,1239,5,45,1022,6,7820
19/04/2020,586,237,229,532,509,464,1949,197,1022,1344,5,51,1056,6,8187
20/04/2020,604,239,231,542,542,490,2020,198,1051,1399,6,51,1071,6,8450
21/04/2020,623,240,231,561,562,519,2085,201,1076,1426,6,52,1084,6,8672
22/04/2020,640,243,235,593,569,550,2174,211,1118,1515,6,54,1124,6,9038
23/04/2020,653,248,235,619,604,602,2250,214,1155,1604,6,54,1159,6,9409
24/04/2020,678,253,235,637,606,638,2311,214,1176,1684,6,54,1199,6,9697
25/04/2020,692,258,237,653,655,700,2428,220,1187,1730,7,54,1224,6,10051
26/04/2020,705,259,240,672,662,748,2479,225,1231,1785,7,54,1251,6,10324
27/04/2020,721,269,243,681,680,771,2531,228,1265,1804,7,54,1261,6,10521
28/04/2020,738,272,243,692,689,782,2604,232,1297,1832,7,54,1273,6,10721
29/04/2020,745,279,244,712,717,813,2672,236,1329,1907,7,54,1313,6,11034
30/04/2020,762,279,246,737,724,834,2759,242,1374,1980,7,54,1349,6,11353
01/05/2020,778,281,249,750,747,866,2864,259,1400,2014,7,54,1379,6,11654
02/05/2020,793,283,250,768,757,889,2939,288,1436,2065,7,54,1392,6,11927
03/05/2020,799,284,250,776,788,898,2985,297,1454,2089,7,54,1410,6,12097
04/05/2020,818,284,250,778,794,931,3029,299,1492,2113,7,54,1411,6,12266
05/05/2020,825,284,254,784,802,946,3070,307,1520,2149,7,54,1429,6,12437
06/05/2020,846,285,254,792,809,957,3203,310,1541,2200,7,54,1445,6,12709
07/05/2020,853,286,254,801,818,973,3277,313,1576,2241,7,54,1465,6,12924
08/05/2020,885,286,255,804,828,1001,3333,317,1628,2274,7,54,1471,6,13149
09/05/2020,895,286,255,810,828,1035,3367,317,1635,2324,7,54,1486,6,13305
10/05/2020,904,286,255,811,828,1050,3449,320,1660,2359,7,54,1497,6,13486
11/05/2020,912,292,255,813,839,1078,3479,322,1693,2380,7,54,1497,6,13627
12/05/2020,925,294,255,813,856,1102,3510,324,1715,2397,7,54,1505,6,13763
13/05/2020,946,297,254,816,859,1123,3579,324,1721,2428,7,54,1515,6,13929
14/05/2020,952,298,255,823,863,1142,3628,328,1762,2459,7,54,1540,6,14117
15/05/2020,964,304,255,824,867,1152,3663,331,1781,2497,7,54,1555,6,14260
16/05/2020,966,310,257,824,871,1181,3707,331,1812,2539,7,54,1582,6,14447
17/05/2020,974,313,257,824,873,1189,3731,331,1828,2561,7,54,1589,6,14537
18/05/2020,976,316,257,824,880,1200,3742,331,1840,2568,7,54,1593,6,14594
19/05/2020,981,317,257,825,883,1206,3759,333,1853,2575,7,54,1599,6,14655
20/05/2020,987,322,257,826,894,1216,3780,334,1867,2584,7,54,1617,6,14751
21/05/2020,995,322,257,826,896,1218,3806,334,1892,2611,7,54,1632,6,14856
22/05/2020,1001,322,257,826,909,1223,3841,335,1913,2634,7,54,1641,6,14969
23/05/2020,1015,322,257,826,915,1223,3865,335,1922,2649,7,54,1645,6,15041
24/05/2020,1019,322,258,826,917,1224,3876,335,1934,2665,7,54,1658,6,15101
25/05/2020,1019,322,260,827,917,1245,3892,335,1944,2669,7,54,1659,6,15156
26/05/2020,1023,323,260,828,918,1250,3898,336,1948,2675,7,54,1659,6,15185
27/05/2020,1029,323,260,830,919,1256,3916,337,1957,2685,7,54,1661,6,15240
28/05/2020,1035,323,260,830,919,1259,3934,337,1968,2691,7,54,1665,6,15288
29/05/2020,1039,325,260,831,919,1269,3939,337,1974,2698,8,54,1668,6,15327
30/05/2020,1058,325,260,834,924,1273,3943,337,1984,2706,8,54,1670,6,15382
31/05/2020,1060,325,260,835,928,1274,3946,337,1987,2709,8,54,1671,6,15400
01/06/2020,1061,325,260,836,931,1278,3949,338,1987,2714,8,54,1671,6,15418
02/06/2020,1061,325,260,871,935,1281,3950,338,1995,2716,8,54,1671,6,15471
03/06/2020,1066,325,260,876,942,1282,3954,339,1998,2723,8,54,1671,6,15504
04/06/2020,1071,325,261,877,944,1283,3961,338,2002,2752,8,54,1671,6,15553
05/06/2020,1076,326,261,877,946,1284,3968,338,2005,2760,8,54,1673,6,15582
06/06/2020,1077,326,261,879,946,1284,3971,339,2007,2769,8,54,1676,6,15603
07/06/2020,1079,326,261,879,946,1286,3981,339,2008,2772,8,54,1676,6,15621
08/06/2020,1080,326,261,879,947,1286,3988,340,2013,2774,8,54,1677,6,15639
09/06/2020,1081,326,261,879,948,1287,3990,340,2018,2777,8,54,1678,6,15653
10/06/2020,1081,327,261,880,948,1287,3990,340,2021,2778,8,54,1684,6,15665
11/06/2020,1082,327,261,882,948,1288,3995,341,2022,2783,8,54,1685,6,15682
12/06/2020,1086,327,261,883,948,1288,4000,341,2028,2794,8,54,1685,6,15709
13/06/2020,1087,327,261,884,950,1288,4004,341,2031,2803,8,54,1686,6,15730
14/06/2020,1088,327,261,885,952,1294,4010,341,2035,2807,8,54,1687,6,15755
15/06/2020,1243,345,274,926,1048,1405,4805,373,2671,3110,9,54,1760,7,18030
16/06/2020,1243,345,274,926,1051,1405,4808,373,2674,3116,9,54,1760,7,18045
17/06/2020,1245,345,274,928,1051,1409,4810,373,2678,3123,9,54,1760,7,18066
18/06/2020,1245,345,274,928,1053,1410,4813,373,2681,3125,9,54,1760,7,18077
19/06/2020,1248,345,284,928,1053,1410,4814,373,2685,3134,9,54,1760,7,18104
20/06/2020,1249,345,284,928,1055,1410,4819,373,2698,3139,9,54,1760,7,18130
21/06/2020,1250,346,284,928,1056,1412,4827,373,2704,3145,9,54,1761,7,18156
22/06/2020,1250,346,285,928,1057,1412,4830,373,2712,3146,9,54,1761,7,18170
23/06/2020,1251,346,285,928,1058,1413,4832,374,2715,3147,9,54,1763,7,18182
24/06/2020,1251,346,285,928,1061,1413,4834,374,2715,3150,9,54,1764,7,18191
25/06/2020,1252,345,285,930,1061,1414,4838,374,2716,3146,9,54,1765,7,18196
26/06/2020,1253,345,285,929,1064,1417,4844,374,2717,3148,9,54,1767,7,18213
27/06/2020,1253,345,285,930,1066,1418,4848,374,2720,3151,9,54,1768,7,18228
28/06/2020,1253,345,285,930,1068,1419,4850,375,2722,3151,9,54,1768,7,18236
29/06/2020,1255,345,285,930,1069,1419,4851,375,2723,3151,9,54,1768,7,18241
30/06/2020,1255,345,290,930,1070,1419,4853,375,2724,3151,9,54,1769,7,18251
01/07/2020,1255,345,291,930,1070,1421,4858,375,2724,3151,9,54,1769,7,18259
02/07/2020,1255,345,292,930,1070,1423,4858,375,2726,3151,9,54,1769,7,18264
03/07/2020,1256,345,292,932,1076,1423,4858,375,2727,3153,9,54,1769,7,18276
04/07/2020,1256,345,293,932,1076,1425,4860,375,2728,3156,9,54,1771,7,18287
05/07/2020,1257,345,294,932,1076,1426,4861,376,2730,3157,9,54,1772,7,18296
06/07/2020,1257,345,295,932,1077,1426,4861,376,2731,3158,9,54,1772,7,18300
07/07/2020,1257,345,295,932,1078,1426,4862,376,2731,3158,9,54,1772,7,18302
08/07/2020,1257,345,295,932,1083,1427,4863,376,2731,3158,9,54,1772,7,18309
09/07/2020,1257,345,296,932,1085,1427,4865,376,2731,3159,9,54,1772,7,18315
10/07/2020,1258,345,298,933,1085,1429,4871,376,2733,3163,9,54,1772,7,18333
11/07/2020,1258,345,299,933,1085,1429,4872,377,2734,3165,9,54,1773,7,18340
12/07/2020,1258,345,299,933,1086,1430,4884,377,2736,3166,9,54,1775,7,18359
13/07/2020,1258,345,299,933,1087,1431,4887,377,2737,3166,9,54,1775,7,18365
14/07/2020,1259,345,299,933,1087,1432,4887,377,2738,3166,9,54,1775,7,18368
15/07/2020,1260,345,299,933,1087,1432,4890,377,2739,3166,9,54,1775,7,18373
16/07/2020,1260,345,299,933,1088,1432,4896,377,2742,3167,9,54,1775,7,18384
17/07/2020,1262,345,299,937,1091,1433,4897,377,2743,3169,9,54,1778,7,18401
18/07/2020,1263,346,300,937,1092,1435,4905,377,2744,3174,9,54,1779,7,18422
19/07/2020,1266,346,300,936,1092,1440,4912,378,2747,3177,9,54,1781,7,18445
20/07/2020,1267,346,300,936,1092,1440,4914,378,2748,3180,9,54,1781,7,18452
21/07/2020,1269,346,300,937,1092,1440,4918,378,2762,3181,9,54,1781,7,18474
