date,male___1-14 years
2019-12-30,0
2020-01-06,2
2020-01-13,0
2020-01-20,3
2020-01-27,1
2020-02-03,2
2020-02-10,1
2020-02-17,1
2020-02-24,1
2020-03-02,0
2020-03-09,2
2020-03-16,0
2020-03-23,1
2020-03-30,1
2020-04-06,1
2020-04-13,0
2020-04-20,1
2020-04-27,0
2020-05-04,2
2020-05-11,0
2020-05-18,3
2020-05-25,1
2020-06-01,0
2020-06-08,1
2020-06-15,0
2020-06-22,4
2020-06-29,0
2020-07-06,2
2020-07-13,1
2020-07-20,0
2020-07-27,2
2020-08-03,0
2020-08-10,0
2020-08-17,0
2020-08-24,0
2020-08-31,1
2020-09-07,0
2020-09-14,1
2020-09-21,0
2020-09-28,1
2020-10-05,1
2020-10-12,0
2020-10-19,0
2020-10-26,1
2020-11-02,2
2020-11-09,1
2020-11-16,0
2020-11-23,1
2020-11-30,1
2020-12-07,0
2020-12-14,1
2020-12-21,0
2020-12-28,2
2021,377
2021-01-04,0
2021-01-11,2
2021-01-18,0
2021-01-25,0
