date,female___0 years,female___1-14 years,female___15-44 years,female___45-64 years,female___65-74 years,female___75-84 years,female___85 years and over,male___0 years,male___1-14 years,male___15-44 years,male___45-64 years,male___65-74 years,male___75-84 years,male___85 years and over
2019-12-30,1,1,11,61,81,195,266,2,0,13,92,116,177,145
2020-01-06,0,1,17,95,127,220,357,0,2,42,120,161,208,217
2020-01-13,1,0,9,80,107,186,288,2,0,27,113,132,199,178
2020-01-20,1,0,14,80,104,155,273,0,3,36,91,127,188,154
2020-01-27,2,2,12,63,96,173,232,1,1,19,111,118,195,163
2020-02-03,1,2,15,64,92,191,251,5,2,16,106,119,187,165
2020-02-10,0,0,8,64,96,143,233,4,1,31,102,144,185,151
2020-02-17,1,1,17,65,101,173,239,1,1,28,86,123,181,145
2020-02-24,0,2,16,73,95,152,253,2,1,31,92,119,181,154
2020-03-02,3,0,21,71,86,178,264,0,0,27,102,131,182,143
2020-03-09,3,0,25,75,87,163,235,2,2,26,108,138,168,166
2020-03-16,3,0,11,81,91,171,223,1,0,30,108,137,192,148
2020-03-23,4,0,10,56,89,171,248,1,1,16,90,113,146,134
2020-03-30,2,1,18,101,127,251,337,1,1,43,125,206,291,240
2020-04-06,1,1,22,78,122,300,403,5,1,33,163,208,341,300
2020-04-13,3,0,15,75,115,283,447,0,0,32,139,180,323,304
2020-04-20,1,0,19,84,134,285,438,1,1,35,146,175,293,224
2020-04-27,1,1,16,61,126,230,419,0,0,35,146,144,249,251
2020-05-04,1,0,17,80,97,245,305,1,2,22,102,144,222,197
2020-05-11,2,2,16,71,98,184,323,2,0,41,132,133,222,195
2020-05-18,2,0,17,68,82,174,293,2,3,29,96,133,175,152
2020-05-25,0,1,18,61,81,158,258,2,1,28,104,116,171,129
2020-06-01,3,0,12,47,90,164,200,1,0,39,117,116,158,146
2020-06-08,1,0,16,49,92,151,217,1,1,36,90,113,159,108
2020-06-15,1,0,15,53,83,161,219,1,0,33,100,89,173,137
2020-06-22,1,2,12,55,74,161,213,2,4,36,84,97,159,108
2020-06-29,1,0,21,59,72,122,191,1,0,32,102,118,157,107
2020-07-06,0,1,14,56,90,141,192,0,2,35,90,104,136,115
2020-07-13,2,0,13,62,90,143,209,4,1,34,94,101,152,128
2020-07-20,0,2,14,68,59,157,183,1,0,36,85,102,141,113
2020-07-27,1,1,15,66,83,167,201,0,2,30,109,109,142,117
2020-08-03,0,0,17,62,80,151,196,0,0,32,91,128,157,97
2020-08-10,2,2,19,58,81,115,172,0,0,34,98,106,128,107
2020-08-17,0,2,9,65,93,149,190,1,0,33,93,111,169,131
2020-08-24,3,0,11,63,86,139,188,2,0,35,103,126,160,114
2020-08-31,0,1,17,68,91,137,172,1,1,31,104,130,158,139
2020-09-07,1,0,14,60,91,142,210,1,0,30,96,115,179,130
2020-09-14,5,0,8,73,82,139,186,1,1,32,81,92,130,122
2020-09-21,2,0,10,60,58,130,202,4,0,27,78,111,135,116
2020-09-28,0,1,19,75,99,168,262,4,1,27,124,122,175,119
2020-10-05,0,0,12,51,85,188,225,0,1,30,96,81,150,152
2020-10-12,0,0,9,63,89,178,240,1,0,31,85,104,200,134
2020-10-19,0,0,21,67,97,174,215,4,0,31,117,144,162,155
2020-10-26,0,2,13,64,92,190,240,1,1,26,108,151,203,171
2020-11-02,3,1,19,63,104,172,266,1,2,34,107,125,200,153
2020-11-09,2,1,12,84,106,181,257,2,1,19,123,132,228,190
2020-11-16,1,0,11,74,117,141,324,1,0,26,116,133,210,206
2020-11-23,4,1,13,77,104,186,266,2,1,30,122,144,204,175
2020-11-30,0,0,15,69,113,188,254,3,1,25,115,150,180,183
2020-12-07,0,0,11,75,106,179,280,0,0,30,100,132,198,173
2020-12-14,2,1,12,75,98,182,298,0,1,26,113,121,204,164
2020-12-21,0,0,17,84,88,165,230,1,0,29,109,138,197,147
2020-12-28,0,1,10,59,88,191,233,3,2,18,81,129,187,176
2021,5,62,468,1359,2,535,947,3,377,911,6,159,692,896
2021-01-04,2,1,9,106,125,271,344,1,0,47,135,198,235,246
2021-01-11,0,0,19,98,112,208,330,4,2,40,130,173,220,214
2021-01-18,2,1,13,77,117,219,336,1,0,40,143,160,230,220
2021-01-25,1,1,21,96,114,213,349,0,0,32,127,161,262,216
