date,female___0 years,female___1-14 years,female___15-44 years,female___45-64 years,female___65-74 years,female___75-84 years,female___85 years and over,male___0 years,male___1-14 years,male___15-44 years,male___45-64 years,male___65-74 years,male___75-84 years,male___85 years and over
2020-03-16,0,0,0,1,3,0,1,0,0,0,0,2,3,1
2020-03-23,0,0,0,3,3,9,11,0,0,0,9,8,15,4
2020-03-30,0,0,2,12,20,50,43,0,0,2,18,47,57,31
2020-04-06,0,0,3,17,32,97,113,0,0,2,47,68,131,100
2020-04-13,0,0,1,16,32,93,168,0,0,1,30,49,129,131
2020-04-20,0,0,3,17,43,105,178,0,0,4,37,57,122,96
2020-04-27,0,0,2,12,26,66,173,0,0,0,26,48,78,96
2020-05-04,0,0,1,16,20,66,118,0,0,1,19,30,79,65
2020-05-11,0,0,0,10,21,42,108,0,0,2,15,26,51,61
2020-05-18,0,0,0,5,4,41,73,0,0,0,7,19,30,51
2020-05-25,0,0,1,5,8,20,35,0,0,0,4,8,25,25
2020-06-01,0,0,0,2,6,11,27,0,0,2,7,4,14,16
2020-06-08,0,0,1,0,2,12,27,0,0,0,2,4,12,8
2020-06-15,0,0,0,2,4,9,15,0,0,0,1,0,7,11
2020-06-22,0,0,0,0,0,7,12,0,0,0,3,4,6,4
2020-06-29,0,0,1,0,1,2,7,0,0,0,2,0,5,1
2020-07-06,0,0,0,0,2,1,5,0,0,0,0,0,3,2
2020-07-13,0,0,0,0,0,2,2,0,0,0,0,0,2,0
2020-07-20,0,0,0,1,0,2,2,0,0,0,0,0,3,0
2020-07-27,0,0,0,1,0,2,1,0,0,0,1,1,0,0
2020-08-03,0,0,0,0,1,2,2,0,0,0,0,0,0,0
2020-08-10,0,0,0,1,0,0,1,0,0,0,0,1,0,0
2020-08-17,0,0,0,0,0,1,3,0,0,0,0,0,1,0
2020-08-24,0,0,0,0,1,0,2,0,0,0,1,0,1,2
2020-08-31,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2020-09-07,0,0,0,0,1,0,0,0,0,0,0,1,3,0
2020-09-14,0,0,0,0,0,1,4,0,0,0,2,0,1,3
2020-09-21,0,0,0,0,0,1,2,0,0,0,1,0,3,3
2020-09-28,0,0,0,0,0,5,4,0,0,0,1,3,7,0
2020-10-05,0,0,1,3,1,3,3,0,0,0,1,3,6,4
2020-10-12,0,0,0,3,7,13,9,0,0,2,6,2,26,8
2020-10-19,0,0,0,5,5,20,15,0,0,2,9,15,22,13
2020-10-26,0,0,0,5,16,25,24,0,0,0,8,24,33,33
2020-11-02,0,0,0,9,18,31,45,0,0,0,11,17,40,36
2020-11-09,0,0,0,9,19,37,54,0,0,1,23,34,62,40
2020-11-16,0,0,1,8,20,19,72,0,0,1,23,21,49,32
2020-11-23,0,0,2,13,16,37,51,0,0,0,21,23,45,44
2020-11-30,0,0,0,4,17,40,44,0,0,2,15,23,37,50
2020-12-07,0,0,0,7,17,40,46,0,0,0,17,17,43,39
2020-12-14,1,0,0,5,10,25,57,0,0,0,9,14,45,42
2020-12-21,0,0,0,9,16,27,47,0,0,0,7,34,31,29
2020-12-28,0,0,1,5,13,31,47,0,0,1,9,18,29,33
2021,0,0,6,84,112,214,392,0,0,9,103,186,257,294
2021-01-04,0,0,2,14,21,61,75,0,0,2,20,50,61,86
2021-01-11,0,0,0,17,33,46,80,0,0,1,20,53,59,64
2021-01-18,0,0,1,24,25,64,115,0,0,4,34,40,69,76
2021-01-25,0,0,3,29,33,43,122,0,0,2,29,43,68,68
