date,1-14 years
2019-12-30,1
2020-01-06,3
2020-01-13,0
2020-01-20,3
2020-01-27,3
2020-02-03,4
2020-02-10,1
2020-02-17,2
2020-02-24,3
2020-03-02,0
2020-03-09,2
2020-03-16,0
2020-03-23,1
2020-03-30,2
2020-04-06,2
2020-04-13,0
2020-04-20,1
2020-04-27,1
2020-05-04,2
2020-05-11,2
2020-05-18,3
2020-05-25,2
2020-06-01,0
2020-06-08,1
2020-06-15,0
2020-06-22,6
2020-06-29,0
2020-07-06,3
2020-07-13,1
2020-07-20,2
2020-07-27,3
2020-08-03,0
2020-08-10,2
2020-08-17,2
2020-08-24,0
2020-08-31,2
2020-09-07,0
2020-09-14,1
2020-09-21,0
2020-09-28,2
2020-10-05,1
2020-10-12,0
2020-10-19,0
2020-10-26,3
2020-11-02,3
2020-11-09,2
2020-11-16,0
2020-11-23,2
2020-11-30,1
2020-12-07,0
2020-12-14,2
2020-12-21,0
2020-12-28,3
2021,5
2021-01-04,1
2021-01-11,2
2021-01-18,1
2021-01-25,1
