date,85 years and over
2019-12-30,411
2020-01-06,574
2020-01-13,466
2020-01-20,427
2020-01-27,395
2020-02-03,416
2020-02-10,384
2020-02-17,384
2020-02-24,407
2020-03-02,407
2020-03-09,401
2020-03-16,371
2020-03-23,382
2020-03-30,577
2020-04-06,703
2020-04-13,751
2020-04-20,662
2020-04-27,670
2020-05-04,502
2020-05-11,518
2020-05-18,445
2020-05-25,387
2020-06-01,346
2020-06-08,325
2020-06-15,356
2020-06-22,321
2020-06-29,298
2020-07-06,307
2020-07-13,337
2020-07-20,296
2020-07-27,318
2020-08-03,293
2020-08-10,279
2020-08-17,321
2020-08-24,302
2020-08-31,311
2020-09-07,340
2020-09-14,308
2020-09-21,318
2020-09-28,381
2020-10-05,377
2020-10-12,374
2020-10-19,370
2020-10-26,411
2020-11-02,419
2020-11-09,447
2020-11-16,530
2020-11-23,441
2020-11-30,437
2020-12-07,453
2020-12-14,462
2020-12-21,377
2020-12-28,409
2021,2255
2021-01-04,590
2021-01-11,544
2021-01-18,556
2021-01-25,565
