date,65-74 years
2020-03-16,5
2020-03-23,11
2020-03-30,67
2020-04-06,100
2020-04-13,81
2020-04-20,100
2020-04-27,74
2020-05-04,50
2020-05-11,47
2020-05-18,23
2020-05-25,16
2020-06-01,10
2020-06-08,6
2020-06-15,4
2020-06-22,4
2020-06-29,1
2020-07-06,2
2020-07-13,0
2020-07-20,0
2020-07-27,1
2020-08-03,1
2020-08-10,1
2020-08-17,0
2020-08-24,1
2020-08-31,0
2020-09-07,2
2020-09-14,0
2020-09-21,0
2020-09-28,3
2020-10-05,4
2020-10-12,9
2020-10-19,20
2020-10-26,40
2020-11-02,35
2020-11-09,53
2020-11-16,41
2020-11-23,39
2020-11-30,40
2020-12-07,34
2020-12-14,24
2020-12-21,50
2020-12-28,31
2021,298
2021-01-04,71
2021-01-11,86
2021-01-18,65
2021-01-25,76
