date,Aberdeen City
2019-12-30,38
2020-01-06,56
2020-01-13,46
2020-01-20,39
2020-01-27,49
2020-02-03,47
2020-02-10,41
2020-02-17,49
2020-02-24,50
2020-03-02,55
2020-03-09,43
2020-03-16,47
2020-03-23,38
2020-03-30,62
2020-04-06,56
2020-04-13,64
2020-04-20,45
2020-04-27,56
2020-05-04,37
2020-05-11,42
2020-05-18,48
2020-05-25,49
2020-06-01,45
2020-06-08,35
2020-06-15,35
2020-06-22,34
2020-06-29,36
2020-07-06,44
2020-07-13,32
2020-07-20,32
2020-07-27,40
2020-08-03,34
2020-08-10,25
2020-08-17,40
2020-08-24,30
2020-08-31,38
2020-09-07,32
2020-09-14,43
2020-09-21,32
2020-09-28,37
2020-10-05,34
2020-10-12,33
2020-10-19,33
2020-10-26,51
2020-11-02,28
2020-11-09,45
2020-11-16,46
2020-11-23,38
2020-11-30,50
2020-12-07,46
2020-12-14,42
2020-12-21,40
2020-12-28,61
2021,244
2021-01-04,73
2021-01-11,52
2021-01-18,71
2021-01-25,48
