date,Angus
2019-12-30,26
2020-01-06,34
2020-01-13,29
2020-01-20,24
2020-01-27,29
2020-02-03,34
2020-02-10,26
2020-02-17,29
2020-02-24,19
2020-03-02,23
2020-03-09,29
2020-03-16,33
2020-03-23,22
2020-03-30,37
2020-04-06,42
2020-04-13,46
2020-04-20,50
2020-04-27,34
2020-05-04,26
2020-05-11,28
2020-05-18,23
2020-05-25,35
2020-06-01,35
2020-06-08,29
2020-06-15,28
2020-06-22,20
2020-06-29,23
2020-07-06,23
2020-07-13,24
2020-07-20,25
2020-07-27,23
2020-08-03,21
2020-08-10,14
2020-08-17,29
2020-08-24,26
2020-08-31,30
2020-09-07,24
2020-09-14,11
2020-09-21,16
2020-09-28,30
2020-10-05,28
2020-10-12,26
2020-10-19,33
2020-10-26,27
2020-11-02,25
2020-11-09,31
2020-11-16,30
2020-11-23,24
2020-11-30,21
2020-12-07,40
2020-12-14,33
2020-12-21,30
2020-12-28,27
2021,152
2021-01-04,32
2021-01-11,42
2021-01-18,39
2021-01-25,39
