date,Argyll and Bute
2019-12-30,16
2020-01-06,35
2020-01-13,30
2020-01-20,25
2020-01-27,23
2020-02-03,25
2020-02-10,26
2020-02-17,17
2020-02-24,15
2020-03-02,22
2020-03-09,23
2020-03-16,16
2020-03-23,29
2020-03-30,34
2020-04-06,29
2020-04-13,41
2020-04-20,35
2020-04-27,31
2020-05-04,24
2020-05-11,26
2020-05-18,20
2020-05-25,20
2020-06-01,21
2020-06-08,19
2020-06-15,22
2020-06-22,11
2020-06-29,17
2020-07-06,12
2020-07-13,26
2020-07-20,18
2020-07-27,17
2020-08-03,25
2020-08-10,15
2020-08-17,22
2020-08-24,19
2020-08-31,24
2020-09-07,21
2020-09-14,19
2020-09-21,16
2020-09-28,29
2020-10-05,17
2020-10-12,25
2020-10-19,19
2020-10-26,19
2020-11-02,28
2020-11-09,15
2020-11-16,29
2020-11-23,13
2020-11-30,23
2020-12-07,21
2020-12-14,28
2020-12-21,19
2020-12-28,20
2021,102
2021-01-04,24
2021-01-11,30
2021-01-18,29
2021-01-25,19
