date,Glasgow City
2019-12-30,123
2020-01-06,189
2020-01-13,143
2020-01-20,114
2020-01-27,139
2020-02-03,130
2020-02-10,113
2020-02-17,119
2020-02-24,126
2020-03-02,154
2020-03-09,136
2020-03-16,117
2020-03-23,77
2020-03-30,234
2020-04-06,257
2020-04-13,224
2020-04-20,271
2020-04-27,191
2020-05-04,162
2020-05-11,172
2020-05-18,151
2020-05-25,127
2020-06-01,109
2020-06-08,119
2020-06-15,103
2020-06-22,122
2020-06-29,101
2020-07-06,106
2020-07-13,113
2020-07-20,100
2020-07-27,117
2020-08-03,112
2020-08-10,96
2020-08-17,92
2020-08-24,109
2020-08-31,106
2020-09-07,118
2020-09-14,120
2020-09-21,97
2020-09-28,131
2020-10-05,126
2020-10-12,122
2020-10-19,146
2020-10-26,152
2020-11-02,199
2020-11-09,186
2020-11-16,166
2020-11-23,161
2020-11-30,146
2020-12-07,138
2020-12-14,141
2020-12-21,124
2020-12-28,117
2021,689
2021-01-04,205
2021-01-11,171
2021-01-18,149
2021-01-25,164
