date,Inverclyde
2019-12-30,25
2020-01-06,24
2020-01-13,28
2020-01-20,18
2020-01-27,23
2020-02-03,23
2020-02-10,20
2020-02-17,20
2020-02-24,26
2020-03-02,21
2020-03-09,15
2020-03-16,23
2020-03-23,13
2020-03-30,63
2020-04-06,64
2020-04-13,62
2020-04-20,43
2020-04-27,36
2020-05-04,27
2020-05-11,23
2020-05-18,26
2020-05-25,21
2020-06-01,25
2020-06-08,22
2020-06-15,23
2020-06-22,22
2020-06-29,18
2020-07-06,15
2020-07-13,15
2020-07-20,24
2020-07-27,19
2020-08-03,19
2020-08-10,15
2020-08-17,30
2020-08-24,24
2020-08-31,18
2020-09-07,20
2020-09-14,18
2020-09-21,14
2020-09-28,19
2020-10-05,12
2020-10-12,14
2020-10-19,16
2020-10-26,19
2020-11-02,21
2020-11-09,13
2020-11-16,20
2020-11-23,15
2020-11-30,21
2020-12-07,22
2020-12-14,27
2020-12-21,16
2020-12-28,19
2021,127
2021-01-04,34
2021-01-11,21
2021-01-18,38
2021-01-25,34
