date,Moray
2019-12-30,27
2020-01-06,23
2020-01-13,20
2020-01-20,23
2020-01-27,15
2020-02-03,30
2020-02-10,18
2020-02-17,19
2020-02-24,14
2020-03-02,20
2020-03-09,21
2020-03-16,27
2020-03-23,21
2020-03-30,25
2020-04-06,17
2020-04-13,29
2020-04-20,18
2020-04-27,14
2020-05-04,28
2020-05-11,15
2020-05-18,17
2020-05-25,27
2020-06-01,24
2020-06-08,19
2020-06-15,20
2020-06-22,24
2020-06-29,16
2020-07-06,17
2020-07-13,19
2020-07-20,20
2020-07-27,20
2020-08-03,24
2020-08-10,20
2020-08-17,23
2020-08-24,14
2020-08-31,16
2020-09-07,27
2020-09-14,11
2020-09-21,17
2020-09-28,22
2020-10-05,23
2020-10-12,21
2020-10-19,18
2020-10-26,15
2020-11-02,20
2020-11-09,12
2020-11-16,18
2020-11-23,13
2020-11-30,18
2020-12-07,14
2020-12-14,17
2020-12-21,19
2020-12-28,13
2021,98
2021-01-04,28
2021-01-11,31
2021-01-18,18
2021-01-25,21
