date,South Lanarkshire
2019-12-30,63
2020-01-06,91
2020-01-13,82
2020-01-20,75
2020-01-27,68
2020-02-03,87
2020-02-10,85
2020-02-17,78
2020-02-24,71
2020-03-02,70
2020-03-09,67
2020-03-16,67
2020-03-23,59
2020-03-30,114
2020-04-06,141
2020-04-13,131
2020-04-20,123
2020-04-27,100
2020-05-04,104
2020-05-11,101
2020-05-18,86
2020-05-25,72
2020-06-01,72
2020-06-08,64
2020-06-15,81
2020-06-22,80
2020-06-29,53
2020-07-06,44
2020-07-13,64
2020-07-20,60
2020-07-27,63
2020-08-03,67
2020-08-10,63
2020-08-17,68
2020-08-24,68
2020-08-31,67
2020-09-07,78
2020-09-14,61
2020-09-21,52
2020-09-28,69
2020-10-05,69
2020-10-12,71
2020-10-19,81
2020-10-26,92
2020-11-02,81
2020-11-09,102
2020-11-16,98
2020-11-23,121
2020-11-30,94
2020-12-07,103
2020-12-14,96
2020-12-21,65
2020-12-28,70
2021,374
2021-01-04,102
2021-01-11,80
2021-01-18,97
2021-01-25,95
