date,Stirling
2019-12-30,20
2020-01-06,18
2020-01-13,14
2020-01-20,22
2020-01-27,21
2020-02-03,17
2020-02-10,21
2020-02-17,18
2020-02-24,17
2020-03-02,16
2020-03-09,17
2020-03-16,20
2020-03-23,12
2020-03-30,32
2020-04-06,34
2020-04-13,27
2020-04-20,23
2020-04-27,23
2020-05-04,29
2020-05-11,24
2020-05-18,10
2020-05-25,10
2020-06-01,17
2020-06-08,18
2020-06-15,16
2020-06-22,16
2020-06-29,15
2020-07-06,16
2020-07-13,27
2020-07-20,16
2020-07-27,12
2020-08-03,11
2020-08-10,15
2020-08-17,13
2020-08-24,18
2020-08-31,11
2020-09-07,17
2020-09-14,15
2020-09-21,18
2020-09-28,23
2020-10-05,18
2020-10-12,14
2020-10-19,18
2020-10-26,22
2020-11-02,21
2020-11-09,21
2020-11-16,33
2020-11-23,26
2020-11-30,20
2020-12-07,23
2020-12-14,27
2020-12-21,25
2020-12-28,14
2021,104
2021-01-04,23
2021-01-11,21
2021-01-18,29
2021-01-25,31
