date,West Lothian
2019-12-30,36
2020-01-06,35
2020-01-13,29
2020-01-20,33
2020-01-27,40
2020-02-03,40
2020-02-10,44
2020-02-17,34
2020-02-24,36
2020-03-02,28
2020-03-09,40
2020-03-16,39
2020-03-23,30
2020-03-30,45
2020-04-06,51
2020-04-13,43
2020-04-20,41
2020-04-27,51
2020-05-04,42
2020-05-11,44
2020-05-18,38
2020-05-25,41
2020-06-01,29
2020-06-08,38
2020-06-15,41
2020-06-22,30
2020-06-29,30
2020-07-06,31
2020-07-13,26
2020-07-20,30
2020-07-27,23
2020-08-03,24
2020-08-10,31
2020-08-17,27
2020-08-24,29
2020-08-31,27
2020-09-07,22
2020-09-14,21
2020-09-21,28
2020-09-28,25
2020-10-05,38
2020-10-12,50
2020-10-19,37
2020-10-26,48
2020-11-02,33
2020-11-09,48
2020-11-16,45
2020-11-23,52
2020-11-30,47
2020-12-07,36
2020-12-14,42
2020-12-21,32
2020-12-28,46
2021,153
2021-01-04,43
2021-01-11,42
2021-01-18,36
2021-01-25,32
