date,Aberdeen City,Aberdeenshire,Angus,Argyll and Bute,City of Edinburgh,Clackmannanshire,Dumfries and Galloway,Dundee City,East Ayrshire,East Dunbartonshire,East Lothian,East Renfrewshire,Falkirk,Fife,Glasgow City,Highland,Inverclyde,Midlothian,Moray,Na h-Eileanan Siar,North Ayrshire,North Lanarkshire,Orkney Islands,Perth and Kinross,Renfrewshire,Scottish Borders,Shetland Islands,South Ayrshire,South Lanarkshire,Stirling,West Dunbartonshire,West Lothian
2019-12-30,38,48,26,16,87,11,37,35,25,21,23,13,45,70,123,59,25,20,27,9,38,75,1,35,43,20,5,42,63,20,25,36
2020-01-06,56,69,34,35,107,13,58,60,37,25,34,26,61,96,189,60,24,20,23,8,43,103,5,62,55,41,4,41,91,18,34,35
2020-01-13,46,56,29,30,86,18,42,50,40,31,26,23,36,96,143,64,28,14,20,10,38,83,2,39,46,38,2,36,82,14,25,29
2020-01-20,39,55,24,25,89,16,42,40,26,16,24,24,40,96,114,52,18,19,23,10,37,86,4,43,43,29,2,40,75,22,20,33
2020-01-27,49,45,29,23,77,17,43,36,26,29,17,18,29,79,139,59,23,20,15,10,39,83,2,34,33,27,5,31,68,21,22,40
2020-02-03,47,54,34,25,106,7,44,28,30,21,28,20,31,81,130,44,23,17,30,11,24,82,5,35,35,24,6,34,87,17,16,40
2020-02-10,41,60,26,26,88,20,43,32,24,31,22,24,32,80,113,42,20,17,18,3,29,70,3,41,39,25,4,23,85,21,16,44
2020-02-17,49,63,29,17,82,12,39,41,24,16,19,18,35,88,119,49,20,17,19,8,46,66,1,28,41,23,4,35,78,18,24,34
2020-02-24,50,47,19,15,91,9,37,42,34,29,23,16,31,79,126,63,26,21,14,10,30,65,4,35,37,35,3,35,71,17,21,36
2020-03-02,55,31,23,22,102,11,40,28,35,25,23,19,48,79,154,48,21,13,20,6,40,81,5,35,43,32,4,30,70,16,21,28
2020-03-09,43,64,29,23,106,10,36,26,37,20,23,10,28,80,136,55,15,13,21,11,36,76,6,39,40,29,3,36,67,17,23,40
2020-03-16,47,58,33,16,93,15,41,31,39,41,18,14,31,70,117,56,23,19,27,5,36,71,7,28,44,36,3,26,67,20,25,39
2020-03-23,38,53,22,29,83,14,28,30,47,10,15,20,48,98,77,41,13,16,21,5,30,78,8,44,26,23,9,31,59,12,21,30
2020-03-30,62,54,37,34,124,16,73,46,26,44,26,20,48,82,234,68,63,33,25,6,52,117,9,43,75,42,8,43,114,32,43,45
2020-04-06,56,85,42,29,174,19,53,71,38,32,55,32,57,109,257,71,64,33,17,8,46,133,11,54,71,37,8,47,141,34,43,51
2020-04-13,64,76,46,41,158,11,42,78,47,35,36,39,47,113,224,66,62,34,29,8,58,141,4,47,81,31,3,53,131,27,41,43
2020-04-20,45,84,50,35,152,13,43,51,42,48,36,28,61,102,271,59,43,29,18,10,58,115,6,51,97,30,2,39,123,23,31,41
2020-04-27,56,69,34,31,154,21,45,63,36,39,25,27,63,110,191,47,36,50,14,5,48,107,3,43,75,27,6,38,100,23,42,51
2020-05-04,37,63,26,24,114,21,35,41,33,39,23,35,54,91,162,59,27,28,28,2,40,103,2,35,53,24,6,27,104,29,28,42
2020-05-11,42,53,28,26,134,13,39,53,45,26,25,31,48,81,172,57,23,21,15,4,39,67,5,45,61,28,6,36,101,24,29,44
2020-05-18,48,32,23,20,115,10,31,42,26,38,16,22,39,67,151,53,26,20,17,5,44,65,8,40,50,32,2,29,86,10,21,38
2020-05-25,49,34,35,20,83,12,33,36,29,24,18,9,28,90,127,54,21,14,27,7,32,70,5,34,42,18,5,27,72,10,22,41
2020-06-01,45,42,35,21,84,11,31,27,22,24,24,19,41,71,109,52,25,17,24,5,30,62,8,28,39,33,3,23,72,17,20,29
2020-06-08,35,41,29,19,71,9,37,38,29,21,14,14,36,51,119,48,22,13,19,10,32,65,2,23,31,27,4,27,64,18,28,38
2020-06-15,35,40,28,22,89,9,42,34,24,20,18,15,27,63,103,44,23,20,20,8,31,56,5,30,36,29,3,33,81,16,20,41
2020-06-22,34,39,20,11,66,11,32,21,29,20,12,18,40,72,122,43,22,17,24,6,28,68,4,22,32,21,0,27,80,16,21,30
2020-06-29,36,31,23,17,69,11,37,42,23,14,20,16,27,76,101,48,18,20,16,5,26,56,2,36,36,25,4,27,53,15,23,30
2020-07-06,44,49,23,12,55,7,37,33,29,14,27,21,21,64,106,55,15,12,17,5,27,67,4,32,26,34,7,27,44,16,15,31
2020-07-13,32,43,24,26,61,13,31,37,25,21,18,11,28,75,113,46,15,15,19,7,36,63,3,34,44,24,5,31,64,27,16,26
2020-07-20,32,35,25,18,64,5,31,28,19,17,29,17,34,63,100,38,24,12,20,5,29,76,4,21,36,30,3,22,60,16,18,30
2020-07-27,40,62,23,17,64,5,43,21,25,19,12,21,42,94,117,42,19,15,20,7,34,65,4,35,35,19,3,28,63,12,14,23
2020-08-03,34,33,21,25,73,7,33,29,31,24,12,10,30,75,112,61,19,16,24,7,28,62,3,29,34,26,4,32,67,11,15,24
2020-08-10,25,47,14,15,69,5,30,24,12,15,20,9,21,73,96,46,15,11,20,11,30,62,5,29,39,24,1,21,63,15,24,31
2020-08-17,40,48,29,22,75,10,43,25,21,13,11,16,31,93,92,58,30,14,23,6,33,63,3,27,31,25,2,31,68,13,23,27
2020-08-24,30,41,26,19,73,12,28,31,17,25,21,18,34,76,109,46,24,20,14,8,18,83,8,27,32,24,3,31,68,18,17,29
2020-08-31,38,43,30,24,70,9,42,23,22,27,19,18,43,79,106,43,18,7,16,4,33,79,4,32,43,19,6,31,67,11,17,27
2020-09-07,32,46,24,21,65,13,40,37,27,24,19,17,33,69,118,45,20,22,27,6,27,60,6,38,29,31,6,34,78,17,16,22
2020-09-14,43,46,11,19,63,14,38,33,16,21,14,13,25,78,120,44,18,10,11,9,20,65,3,27,28,23,3,22,61,15,18,21
2020-09-21,32,51,16,16,73,12,34,26,16,17,13,12,29,69,97,35,14,7,17,5,26,74,5,27,45,23,2,31,52,18,11,28
2020-09-28,37,43,30,29,105,9,40,45,26,14,27,18,43,86,131,48,19,15,22,3,30,85,3,28,45,30,2,44,69,23,22,25
2020-10-05,34,44,28,17,82,13,37,28,23,24,12,13,33,81,126,40,12,15,23,7,31,72,6,34,33,23,4,33,69,18,18,38
2020-10-12,33,51,26,25,84,18,42,23,34,24,22,17,40,69,122,45,14,19,21,6,28,71,2,36,41,17,4,32,71,14,33,50
2020-10-19,33,49,33,19,96,10,42,31,38,22,24,24,42,73,146,61,16,15,18,3,33,67,3,35,46,25,6,25,81,18,16,37
2020-10-26,51,45,27,19,82,9,62,25,40,35,28,22,27,70,152,43,19,19,15,7,35,91,5,36,47,19,4,43,92,22,23,48
2020-11-02,28,45,25,28,86,11,31,35,30,25,15,22,39,79,199,45,21,12,20,6,49,71,4,32,43,30,4,49,81,21,31,33
2020-11-09,45,38,31,15,94,8,35,40,38,43,17,28,44,73,186,54,13,21,12,2,47,95,6,39,55,23,2,36,102,21,27,48
2020-11-16,46,49,30,29,99,13,33,40,27,32,32,28,39,79,166,54,20,18,18,7,44,85,8,32,52,22,2,49,98,33,31,45
2020-11-23,38,40,24,13,80,4,39,37,42,27,21,23,42,92,161,51,15,18,13,12,39,93,7,46,51,28,4,46,121,26,24,52
2020-11-30,50,44,21,23,92,17,39,38,33,22,11,29,28,86,146,46,21,27,18,7,41,89,6,41,66,19,4,42,94,20,29,47
2020-12-07,46,60,40,21,93,10,38,28,27,19,16,13,31,112,138,66,22,21,14,8,30,88,4,45,49,21,1,34,103,23,27,36
2020-12-14,42,56,33,28,88,10,31,34,32,22,23,23,33,93,141,54,27,30,17,6,50,69,8,48,44,27,7,31,96,27,25,42
2020-12-21,40,59,30,19,78,20,45,27,42,28,21,14,30,85,124,46,16,23,19,7,37,91,8,35,49,24,4,31,65,25,31,32
2020-12-28,61,67,27,20,101,14,51,33,37,24,18,18,30,79,117,42,19,14,13,5,46,56,5,32,28,30,3,35,70,14,23,46
2021,244,279,152,102,455,64,260,198,182,116,113,97,173,496,689,250,127,81,98,41,212,476,23,212,241,129,20,152,374,104,109,153
2021-01-04,73,68,32,24,117,18,53,50,58,26,35,28,45,128,205,53,34,26,28,9,58,152,4,54,85,38,1,27,102,23,23,43
2021-01-11,52,55,42,30,123,14,70,66,39,28,20,26,47,127,171,51,21,26,31,12,52,109,5,42,45,29,6,38,80,21,30,42
2021-01-18,71,77,39,29,97,16,62,40,46,24,29,22,39,108,149,70,38,12,18,9,52,113,4,70,58,33,5,38,97,29,29,36
2021-01-25,48,79,39,19,118,16,75,42,39,38,29,21,42,133,164,76,34,17,21,11,50,102,10,46,53,29,8,49,95,31,27,32
