date,South Lanarkshire
2020-03-16,0
2020-03-23,3
2020-03-30,12
2020-04-06,44
2020-04-13,44
2020-04-20,50
2020-04-27,37
2020-05-04,36
2020-05-11,26
2020-05-18,22
2020-05-25,8
2020-06-01,13
2020-06-08,5
2020-06-15,5
2020-06-22,8
2020-06-29,3
2020-07-06,0
2020-07-13,0
2020-07-20,1
2020-07-27,1
2020-08-03,0
2020-08-10,0
2020-08-17,0
2020-08-24,0
2020-08-31,0
2020-09-07,0
2020-09-14,0
2020-09-21,1
2020-09-28,0
2020-10-05,1
2020-10-12,3
2020-10-19,14
2020-10-26,23
2020-11-02,23
2020-11-09,31
2020-11-16,28
2020-11-23,30
2020-11-30,31
2020-12-07,34
2020-12-14,25
2020-12-21,16
2020-12-28,14
2021,98
2021-01-04,24
2021-01-11,18
2021-01-18,28
2021-01-25,28
