date,Aberdeen City,Aberdeenshire,Angus,Argyll and Bute,City of Edinburgh,Clackmannanshire,Dumfries and Galloway,Dundee City,East Ayrshire,East Dunbartonshire,East Lothian,East Renfrewshire,Falkirk,Fife,Glasgow City,Highland,Inverclyde,Midlothian,Moray,Na h-Eileanan Siar,North Ayrshire,North Lanarkshire,Orkney Islands,Perth and Kinross,Renfrewshire,Scottish Borders,Shetland Islands,South Ayrshire,South Lanarkshire,Stirling,West Dunbartonshire,West Lothian
2020-03-16,1,1,0,0,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1
2020-03-23,0,1,1,5,3,1,0,0,3,0,0,1,6,4,7,0,3,2,2,0,5,5,0,2,0,3,0,1,3,0,2,2
2020-03-30,2,4,2,4,17,3,12,8,3,7,2,5,6,9,46,7,18,5,0,0,10,28,0,4,15,13,1,4,12,11,16,8
2020-04-06,12,21,7,7,61,3,9,21,10,9,21,15,17,31,98,6,29,11,2,0,15,46,2,9,26,15,4,15,44,12,17,15
2020-04-13,18,25,12,12,64,4,10,29,12,12,21,14,16,39,95,9,26,16,0,0,13,46,0,10,33,7,1,26,44,11,17,8
2020-04-20,15,23,19,14,72,4,3,27,11,18,15,13,25,33,125,8,17,15,2,0,11,33,0,13,40,3,0,17,50,5,19,12
2020-04-27,15,13,7,13,61,11,6,22,10,20,5,10,16,25,85,3,6,27,2,0,13,37,0,5,33,4,1,12,37,5,17,6
2020-05-04,15,11,5,3,43,9,6,17,12,22,7,20,17,19,58,6,4,18,2,0,7,15,0,11,11,3,0,9,36,5,11,13
2020-05-11,16,8,5,1,39,6,1,12,4,16,3,11,9,15,59,5,3,9,3,0,8,20,0,8,17,6,0,9,26,2,12,3
2020-05-18,13,3,3,2,26,2,0,13,3,18,2,5,8,4,32,2,3,7,1,0,12,8,0,3,13,4,0,6,22,2,4,9
