date,Adult care homes - Adult care homes which submitted a return
2020-04-21,708
2020-04-28,862
2020-05-05,822
2020-05-12,813
2020-05-19,879
2020-05-26,880
2020-06-02,824
2020-06-09,858
2020-06-16,877
2020-06-23,688
2020-06-30,821
2020-07-07,807
2020-07-14,772
2020-07-21,790
2020-07-28,768
2020-08-04,799
2020-08-11,829
2020-08-18,818
2020-08-25,775
2020-09-01,796
2020-09-08,825
2020-09-15,806
2020-09-22,792
2020-09-29,810
2020-10-06,794
2020-10-13,768
2020-10-20,801
2020-10-27,789
2020-11-03,817
2020-11-10,808
2020-11-17,803
2020-11-24,809
2020-12-01,819
2020-12-08,774
2020-12-15,705
2020-12-22,670
2021-01-05,709
