date,COVID-19 patients in hospital - Confirmed
2020-09-11,45
2020-09-12,42
2020-09-13,45
2020-09-14,51
2020-09-15,48
2020-09-16,51
2020-09-17,52
2020-09-18,61
2020-09-19,64
2020-09-20,63
2020-09-21,73
2020-09-22,73
2020-09-23,83
2020-09-24,85
2020-09-25,89
2020-09-26,99
2020-09-27,105
2020-09-28,122
2020-09-29,123
2020-09-30,137
2020-10-01,154
2020-10-02,175
2020-10-03,191
2020-10-04,210
2020-10-05,218
2020-10-06,262
2020-10-07,319
2020-10-08,377
2020-10-09,397
2020-10-10,432
2020-10-11,449
2020-10-12,487
2020-10-13,527
2020-10-14,570
2020-10-15,601
2020-10-16,627
2020-10-17,672
2020-10-18,712
2020-10-19,755
2020-10-20,824
2020-10-21,873
2020-10-22,934
2020-10-23,975
2020-10-24,985
2020-10-25,1016
2020-10-26,1052
2020-10-27,1100
2020-10-28,1117
2020-10-29,1152
2020-10-30,1171
2020-10-31,1154
2020-11-01,1203
2020-11-02,1235
2020-11-03,1264
2020-11-04,1257
2020-11-05,1252
2020-11-06,1237
2020-11-07,1245
2020-11-08,1245
2020-11-09,1227
2020-11-10,1239
2020-11-11,1235
2020-11-12,1207
2020-11-13,1228
2020-11-14,1198
2020-11-15,1241
2020-11-16,1227
2020-11-17,1250
2020-11-18,1241
2020-11-19,1212
2020-11-20,1234
2020-11-21,1194
2020-11-22,1170
2020-11-23,1208
2020-11-24,1197
2020-11-25,1156
2020-11-26,1125
2020-11-27,1099
2020-11-28,1074
2020-11-29,1049
2020-11-30,1041
2020-12-01,1021
2020-12-02,991
2020-12-03,982
2020-12-04,965
2020-12-05,945
2020-12-06,951
2020-12-07,974
2020-12-08,983
2020-12-09,972
2020-12-10,984
2020-12-11,999
2020-12-12,994
2020-12-13,1015
2020-12-14,1012
2020-12-15,996
2020-12-16,1031
2020-12-17,1012
2020-12-18,1032
2020-12-19,1033
2020-12-20,1061
2020-12-21,1078
2020-12-22,1045
2020-12-23,1025
2020-12-24,1008
2020-12-25,973
2020-12-26,985
2020-12-27,993
2020-12-28,1040
2020-12-29,1092
2020-12-30,1133
2020-12-31,1174
2021-01-01,1189
2021-01-02,1212
2021-01-03,1246
2021-01-04,1282
2021-01-05,1347
2021-01-06,1384
2021-01-07,1467
2021-01-08,1530
2021-01-09,1596
2021-01-10,1598
2021-01-11,1664
2021-01-12,1717
