date,NHS workforce COVID-19 absences - Nursing and midwifery staff
2020-04-01,4354
2020-04-02,4378
2020-04-03,4403
2020-04-04,4227
2020-04-05,4192
2020-04-06,3138
2020-04-07,3342
2020-04-08,3777
2020-04-09,3601
2020-04-10,3448
2020-04-11,3397
2020-04-12,3387
2020-04-13,2980
2020-04-14,3209
2020-04-15,3321
2020-04-16,3453
2020-04-17,3740
2020-04-18,3363
2020-04-19,3425
2020-04-20,3253
2020-04-21,3348
2020-04-22,3434
2020-04-23,3496
2020-04-24,3530
2020-04-25,3185
2020-04-26,3202
2020-04-27,3217
2020-04-28,3263
2020-04-29,3346
2020-04-30,3455
2020-05-01,3427
2020-05-02,3238
2020-05-03,3281
2020-05-04,2690
2020-05-05,2867
2020-05-06,2985
2020-05-07,3096
2020-05-08,3072
2020-05-09,3035
2020-05-10,3066
2020-05-11,2876
2020-05-12,2824
2020-05-13,2981
2020-05-14,3080
2020-05-15,3152
2020-05-16,2988
2020-05-17,3066
2020-05-18,2854
2020-05-19,2936
2020-05-20,2956
2020-05-21,2998
2020-05-22,3016
2020-05-23,2907
2020-05-24,2932
2020-05-25,2669
2020-05-26,2735
2020-05-27,2751
2020-05-28,2808
2020-05-29,2864
2020-05-30,2784
2020-05-31,2788
2020-06-01,2241
2020-06-02,2298
2020-06-03,2366
2020-06-04,2455
2020-06-05,2526
2020-06-06,2476
2020-06-07,2486
2020-06-08,2262
2020-06-09,2300
2020-06-10,2326
2020-06-11,2368
2020-06-12,2413
2020-06-13,2345
2020-06-14,2393
2020-06-15,2127
2020-06-16,2134
2020-06-17,2162
2020-06-18,2194
2020-06-19,2247
2020-06-20,2225
2020-06-21,2225
2020-06-22,2096
2020-06-23,2137
2020-06-24,2181
2020-06-25,2213
2020-06-26,2264
2020-06-27,2269
2020-06-28,2250
2020-06-29,1987
2020-06-30,2047
2020-07-01,2037
2020-07-02,2089
2020-07-03,2103
2020-07-04,2073
2020-07-05,2086
2020-07-06,1768
2020-07-07,1784
2020-07-08,1813
2020-07-09,1862
2020-07-10,1923
2020-07-11,1892
2020-07-12,1912
2020-07-13,1727
2020-07-14,1790
2020-07-15,1810
2020-07-16,1855
2020-07-17,1910
2020-07-18,1882
2020-07-19,1897
2020-07-20,1798
2020-07-21,1804
