date,Testing - Daily people found positive
2020-03-02,1
2020-03-03,0
2020-03-04,2
2020-03-05,3
2020-03-06,5
2020-03-07,5
2020-03-08,2
2020-03-09,5
2020-03-10,4
2020-03-11,9
2020-03-12,24
2020-03-13,25
2020-03-14,36
2020-03-15,32
2020-03-16,18
2020-03-17,24
2020-03-18,32
2020-03-19,39
2020-03-20,56
2020-03-21,51
2020-03-22,43
2020-03-23,83
2020-03-24,85
2020-03-25,135
2020-03-26,175
2020-03-27,165
2020-03-28,186
2020-03-29,139
2020-03-30,179
2020-03-31,430
2020-04-01,317
2020-04-02,292
2020-04-03,399
2020-04-04,344
2020-04-05,361
2020-04-06,255
2020-04-07,268
2020-04-08,336
2020-04-09,392
2020-04-10,318
2020-04-11,315
2020-04-12,322
2020-04-13,155
2020-04-14,291
2020-04-15,390
2020-04-16,354
2020-04-17,307
2020-04-18,411
2020-04-19,367
2020-04-20,263
2020-04-21,222
2020-04-22,366
2020-04-23,371
2020-04-24,288
2020-04-25,354
2020-04-26,273
2020-04-27,197
2020-04-28,200
2020-04-29,313
2020-04-30,319
2020-05-01,301
2020-05-02,273
2020-05-03,170
2020-05-04,169
2020-05-05,171
2020-05-06,272
2020-05-07,215
2020-05-08,225
2020-05-09,156
2020-05-10,181
2020-05-11,141
2020-05-12,136
2020-05-13,166
2020-05-14,188
2020-05-15,143
2020-05-16,187
2020-05-17,90
2020-05-18,57
2020-05-19,61
2020-05-20,96
2020-05-21,105
2020-05-22,113
2020-05-23,72
2020-05-24,60
2020-05-25,55
2020-05-26,29
2020-05-27,55
2020-05-28,48
2020-05-29,39
2020-05-30,55
2020-05-31,18
2020-06-01,18
2020-06-02,53
2020-06-03,33
2020-06-04,49
2020-06-05,29
2020-06-06,21
2020-06-07,18
2020-06-08,18
2020-06-09,14
2020-06-10,12
2020-06-11,17
2020-06-12,27
2020-06-13,21
2020-06-14,25
2020-06-15,29
2020-06-16,15
2020-06-17,21
2020-06-18,11
2020-06-19,27
2020-06-20,26
2020-06-21,26
2020-06-22,14
2020-06-23,12
2020-06-24,9
2020-06-25,5
2020-06-26,17
2020-06-27,15
2020-06-28,8
2020-06-29,5
2020-06-30,10
2020-07-01,8
2020-07-02,5
2020-07-03,12
2020-07-04,11
2020-07-05,9
2020-07-06,4
2020-07-07,2
2020-07-08,7
2020-07-09,6
2020-07-10,18
2020-07-11,7
2020-07-12,19
2020-07-13,6
2020-07-14,3
2020-07-15,5
2020-07-16,11
2020-07-17,17
2020-07-18,21
2020-07-19,23
2020-07-20,7
2020-07-21,22
2020-07-22,10
2020-07-23,16
2020-07-24,20
2020-07-25,27
2020-07-26,4
2020-07-27,3
2020-07-28,4
2020-07-29,22
2020-07-30,17
2020-07-31,30
2020-08-01,18
2020-08-02,31
2020-08-03,18
2020-08-04,23
2020-08-05,64
2020-08-06,66
2020-08-07,43
2020-08-08,60
2020-08-09,48
2020-08-10,29
2020-08-11,52
2020-08-12,47
2020-08-13,47
2020-08-14,65
2020-08-15,51
2020-08-16,43
2020-08-17,26
2020-08-18,49
2020-08-19,50
2020-08-20,77
2020-08-21,71
2020-08-22,123
2020-08-23,83
2020-08-24,66
2020-08-25,44
2020-08-26,67
2020-08-27,68
2020-08-28,51
2020-08-29,88
2020-08-30,123
2020-08-31,160
2020-09-01,154
2020-09-02,156
2020-09-03,101
2020-09-04,159
2020-09-05,141
2020-09-06,208
2020-09-07,146
2020-09-08,176
2020-09-09,159
2020-09-10,161
2020-09-11,175
2020-09-12,221
2020-09-13,244
2020-09-14,70
2020-09-15,267
2020-09-16,267
2020-09-17,290
2020-09-18,203
2020-09-19,350
2020-09-20,245
2020-09-21,255
2020-09-22,383
