date,School education - Percentage absence for non COVID-19 related reasons
2020-08-17,0.93784989
2020-08-18,1.06860233
2020-08-19,1.16284715
2020-08-20,1.36003527
2020-08-21,1.69070726
2020-08-24,2.72096432
2020-08-25,3.26929438
2020-08-26,3.4919371
2020-08-27,3.38384646
2020-08-28,3.47676163
2020-08-31,2.48319781
2020-09-01,2.40364328
2020-09-02,2.22580754
2020-09-03,2.11916771
2020-09-04,2.06637144
2020-09-07,1.65771734
2020-09-08,1.7409596
2020-09-09,1.69833363
2020-09-10,1.59872752
2020-09-11,1.64288237
2020-09-14,1.41372783
2020-09-15,1.47207066
2020-09-16,1.50453501
2020-09-17,1.52462546
2020-09-18,1.57643128
2020-09-21,1.59188564
2020-09-22,1.6416834
2020-09-23,1.67560433
2020-09-24,1.64407267
2020-09-25,1.19855024
2020-09-28,1.35365151
2020-09-29,1.84784752
2020-09-30,1.99927733
2020-10-01,1.97627584
2020-10-02,2.0493178
2020-10-05,2.44056344
2020-10-06,2.6150284
2020-10-07,2.72139238
2020-10-08,2.80261445
2020-10-09,2.58947598
2020-10-12,2.47299159
2020-10-13,2.59594524
2020-10-14,2.49027578
2020-10-15,2.71639874
2020-10-16,2.60167874
2020-10-19,3.05653278
2020-10-20,3.06792332
2020-10-21,3.14153856
2020-10-22,3.20764773
2020-10-23,3.41193662
2020-10-26,2.61399303
2020-10-27,2.73446178
2020-10-28,2.85015763
2020-10-29,2.98466166
2020-10-30,3.2153646
2020-11-02,3.28046668
2020-11-03,3.49233481
2020-11-04,3.53808708
2020-11-05,3.65696081
2020-11-06,3.99947643
2020-11-09,4.11498928
2020-11-10,4.4153583
2020-11-11,4.48153344
2020-11-12,4.60031898
2020-11-13,4.60663538
2020-11-16,4.49221665
2020-11-17,4.67927695
2020-11-18,4.6063778
2020-11-19,4.52645473
2020-11-20,4.8332443
2020-11-23,4.22647345
2020-11-24,4.08373869
2020-11-25,3.94782098
2020-11-26,3.8471963
2020-11-27,3.81675038
2020-11-30,3.53156265
2020-12-01,3.50708684
2020-12-02,3.52708274
2020-12-03,3.45968369
2020-12-04,3.63455907
2020-12-07,3.62604013
2020-12-08,3.70573054
2020-12-09,3.70309422
2020-12-10,3.80608407
2020-12-11,3.78042702
2020-12-14,3.91275574
2020-12-15,4.31984373
2020-12-16,4.98688509
2020-12-17,5.59149944
