date,School education - Number of pupils absent due to COVID-19 related reasons
2020-08-17,6691
2020-08-18,7628
2020-08-19,8328
2020-08-20,9744
2020-08-21,11815
2020-08-24,19695
2020-08-25,23503
2020-08-26,25022
2020-08-27,24240
2020-08-28,24407
2020-08-31,17956
2020-09-01,17279
2020-09-02,15936
2020-09-03,15131
2020-09-04,14197
2020-09-07,11386
2020-09-08,12429
2020-09-09,12053
2020-09-10,11427
2020-09-11,11288
2020-09-14,9685
2020-09-15,10058
2020-09-16,10796
2020-09-17,10647
2020-09-18,9838
2020-09-21,9161
2020-09-22,11232
2020-09-23,11993
2020-09-24,10792
2020-09-25,5287
2020-09-28,6082
2020-09-29,12280
2020-09-30,14222
2020-10-01,14065
2020-10-02,14346
2020-10-05,15874
2020-10-06,17001
2020-10-07,17609
2020-10-08,18062
2020-10-09,13750
2020-10-12,2017
2020-10-13,2111
2020-10-14,2034
2020-10-15,2207
2020-10-16,2086
2020-10-19,8295
2020-10-20,11170
2020-10-21,12658
2020-10-22,12905
2020-10-23,13540
2020-10-26,16336
2020-10-27,19197
2020-10-28,20214
2020-10-29,21106
2020-10-30,21470
2020-11-02,23399
2020-11-03,24754
2020-11-04,25098
2020-11-05,25915
2020-11-06,26935
2020-11-09,29350
2020-11-10,31276
2020-11-11,31692
2020-11-12,31073
2020-11-13,26855
2020-11-16,27107
2020-11-17,33047
2020-11-18,32553
2020-11-19,32024
2020-11-20,28857
2020-11-23,29202
2020-11-24,28845
2020-11-25,27865
2020-11-26,27236
2020-11-27,25419
2020-11-30,23340
2020-12-01,24836
2020-12-02,24495
2020-12-03,23975
2020-12-04,24227
2020-12-07,25714
2020-12-08,26248
2020-12-09,26356
2020-12-10,27017
2020-12-11,26070
2020-12-14,27728
2020-12-15,30646
2020-12-16,35267
2020-12-17,39386
