date,Adult care homes - Response rate
2020-04-21,65
2020-04-28,79
2020-05-05,76
2020-05-12,75
2020-05-19,81
2020-05-26,81
2020-06-02,76
2020-06-09,79
2020-06-16,81
2020-06-23,64
2020-06-30,76
2020-07-07,75
2020-07-14,71
2020-07-21,73
2020-07-28,71
2020-08-04,74
2020-08-11,77
2020-08-18,76
2020-08-25,72
2020-09-01,74
2020-09-08,76
2020-09-15,75
2020-09-22,73
2020-09-29,75
2020-10-06,74
2020-10-13,71
2020-10-20,74
2020-10-27,73
2020-11-03,76
2020-11-10,75
2020-11-17,75
2020-11-24,75
2020-12-01,76
2020-12-08,72
2020-12-15,66
2020-12-22,62
2021-01-05,66
