date,Adult care homes - Total number of staff in adult care homes which submitted a return
2020-04-21,37213
2020-04-28,45068
2020-05-05,43403
2020-05-12,42626
2020-05-19,46272
2020-05-26,46237
2020-06-02,43864
2020-06-09,45816
2020-06-16,45912
2020-06-23,36257
2020-06-30,43025
2020-07-07,41680
2020-07-14,40038
2020-07-21,40858
2020-07-28,40005
2020-08-04,41702
2020-08-11,43887
2020-08-18,42682
2020-08-25,40323
2020-09-01,42316
2020-09-08,43053
2020-09-15,42935
2020-09-22,41727
2020-09-29,42474
2020-10-06,41454
2020-10-13,40635
2020-10-20,41950
2020-10-27,40996
2020-11-03,42985
2020-11-10,41234
2020-11-17,42319
2020-11-24,42704
2020-12-01,42687
2020-12-08,40403
2020-12-15,35954
2020-12-22,34066
2021-01-05,36734
