day,S_mean,S_min,S_max,E_mean,E_min,E_max,H_mean,H_min,H_max,R_mean,R_min,R_max,D_mean,D_min,D_max,I_mean,I_min,I_max,IS_mean,IS_min,IS_max
0,113093.0,113093,113093,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
1,113093.0,113093,113093,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
2,113093.0,113093,113093,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
3,113093.0,113093,113093,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
4,113093.0,113093,113093,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
5,113093.0,113093,113093,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
6,111742.707,110713,112380,1350.293,713,2380,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7,107914.85,105641,109664,5035.069,3354,7198,0.0,0,0,0.0,0,0,0.0,0,0,104.011,47,205,0.0,0,0
8,100502.841,96723,103570,11911.464,9107,15334,0.0,0,0,4.56,0,13,0.0,0,0,489.081,283,762,38.977,13,73
9,88665.777,84269,93667,22481.601,17957,26384,0.0,0,0,25.844,9,47,0.0,0,0,1389.423,967,1864,185.054,102,271
10,72195.978,67601,78434,36564.868,31191,40490,0.0,0,0,86.829,46,129,0.0,0,0,3062.36,2361,3782,530.355,376,751
11,51996.531,46700,59098,52876.519,47132,57262,0.0,0,0,221.145,158,296,0.0,0,0,5753.488,4642,6748,1182.965,924,1510
12,30843.439,25446,38219,68410.875,62995,72507,3.949,0,11,509.222,391,640,0.029,0,1,9585.065,8260,10823,2206.34,1786,2659
13,12959.777,9637,17155,79019.154,76801,81231,18.046,5,35,1061.868,822,1294,0.157,0,3,14454.778,12809,15829,3594.344,3107,4099
14,2430.363,1241,3898,81145.454,79570,82849,48.241,27,72,2013.247,1622,2430,0.558,0,4,19928.914,18116,21366,5233.919,4633,5681
15,0.0,0,0,74949.46,72845,77737,98.558,68,137,3492.481,2950,4050,1.702,0,7,25321.464,23688,26738,6873.613,6291,7272
16,0.0,0,0,66983.166,65062,69401,166.836,122,226,5601.215,4856,6330,4.186,0,11,29993.856,28701,31234,8166.983,7746,8546
17,0.0,0,0,59862.415,58204,62168,243.036,180,316,8377.706,7484,9284,8.683,0,21,33849.126,32677,34912,8809.66,8431,9105
18,0.0,0,0,53500.609,52044,55628,309.889,240,368,11784.813,10594,12749,16.08,5,31,36979.203,36035,37845,8767.158,8446,9081
19,0.0,0,0,47813.56,46326,49741,352.525,285,416,15655.836,14268,16718,26.14,12,43,39482.046,38687,40418,8210.102,7870,8524
20,0.0,0,0,42733.227,41472,44474,368.811,303,427,19724.224,18259,20745,37.939,21,58,41433.194,40722,42211,7407.171,7062,7744
21,0.0,0,0,38190.284,37029,39736,368.343,306,434,23717.492,22296,24611,49.292,28,70,42908.328,42294,43579,6618.847,6290,6978
22,0.0,0,0,34128.747,33052,35380,361.811,301,426,27548.126,26151,28371,59.775,35,85,43968.399,43434,44538,5916.887,5676,6248
23,0.0,0,0,30499.779,29466,31543,353.275,287,420,31221.406,29805,32066,69.318,43,97,44667.963,44118,45256,5290.894,5043,5570
24,0.0,0,0,27257.078,26304,28254,344.241,280,415,34742.871,33275,35624,77.915,50,107,45058.213,44457,45685,4728.468,4498,4979
25,0.0,0,0,24359.546,23504,25353,334.596,276,399,38117.01,36611,38967,85.661,56,118,45180.717,44580,45733,4224.248,3991,4464
26,0.0,0,0,21769.318,20981,22619,324.881,264,395,41350.171,39859,42221,92.597,61,124,45073.889,44519,45639,3775.056,3576,4010
27,0.0,0,0,19455.531,18799,20210,315.279,252,380,44448.886,43065,45343,98.872,65,138,44769.359,44196,45358,3372.889,3176,3565
28,0.0,0,0,17387.464,16754,18067,305.931,242,373,47414.979,46093,48308,104.573,70,142,44301.15,43716,44901,3014.708,2839,3203
29,0.0,0,0,15539.516,14939,16162,296.804,228,361,50254.8,48990,50991,109.576,73,151,43692.938,43076,44296,2694.689,2512,2865
30,0.0,0,0,13887.612,13328,14462,287.803,217,346,52977.011,51758,53717,114.093,80,153,42967.358,42258,43534,2408.144,2238,2584
31,0.0,0,0,12413.065,11902,12988,279.294,212,336,55582.587,54430,56344,118.178,82,156,42146.11,41456,42704,2152.035,1976,2321
32,0.0,0,0,11096.038,10640,11617,270.961,207,324,58076.157,56937,58781,121.863,86,162,41247.285,40520,41857,1921.582,1777,2085
33,0.0,0,0,9914.882,9471,10363,262.693,199,315,60463.841,59332,61128,125.24,92,165,40287.064,39598,40880,1716.501,1562,1859
34,0.0,0,0,8862.302,8426,9276,254.924,191,307,62748.102,61662,63387,128.24,93,171,39278.125,38637,39870,1534.603,1404,1689
35,0.0,0,0,7921.453,7470,8282,247.407,184,301,64932.232,63935,65618,130.845,94,173,38233.625,37558,38793,1370.328,1236,1520
36,0.0,0,0,7079.887,6646,7407,240.148,179,294,67023.958,66050,67715,133.239,96,174,37159.72,36524,37753,1225.707,1089,1344
37,0.0,0,0,6326.954,5974,6628,233.151,174,291,69025.232,68126,69784,135.483,100,175,36069.673,35475,36633,1096.934,971,1212
38,0.0,0,0,5655.342,5320,5917,226.411,173,285,70944.029,70089,71660,137.469,101,178,34967.121,34380,35547,979.728,875,1079
39,0.0,0,0,5054.074,4757,5312,219.636,172,278,72775.112,71888,73453,139.291,102,179,33864.861,33297,34462,875.924,791,977
40,0.0,0,0,4517.626,4217,4778,213.386,163,268,74529.829,73695,75151,140.846,103,179,32761.941,32237,33329,782.916,700,878
41,0.0,0,0,4037.75,3780,4312,207.278,156,264,76209.757,75401,76830,142.352,103,181,31665.861,31135,32262,699.031,612,781
42,0.0,0,0,3608.064,3379,3855,201.273,153,244,77816.785,77061,78418,143.736,104,186,30581.686,30051,31128,624.429,534,707
43,0.0,0,0,3224.913,2987,3482,195.352,146,240,79352.922,78683,79899,144.967,105,186,29511.874,29051,30022,558.552,471,628
44,0.0,0,0,2883.632,2670,3106,189.623,145,234,80823.262,80216,81380,146.138,105,186,28458.271,27969,28961,498.864,397,570
45,0.0,0,0,2577.511,2377,2766,184.158,142,228,82229.247,81650,82736,147.105,106,187,27425.914,26957,27925,445.597,359,511
46,0.0,0,0,2303.594,2125,2497,178.782,135,223,83573.666,83008,84051,148.065,107,187,26415.598,25948,26939,398.083,334,471
47,0.0,0,0,2058.942,1887,2238,173.583,129,219,84858.507,84335,85353,148.912,109,188,25429.984,24979,25897,356.258,302,418
