age_group,day,S_mean,S_min,S_max,E_mean,E_min,E_max,H_mean,H_min,H_max,R_mean,R_min,R_max,D_mean,D_min,D_max,I_mean,I_min,I_max,IS_mean,IS_min,IS_max,type
0,99.0,73126.71153768845,72546.1055276382,73647.71859296483,30633.419542713567,29955.773869346733,31327.613065326634,602.1587236180904,545.4874371859296,662.9346733668342,1056728.6891658292,1055945.1306532663,1057622.7236180904,760.9354271356782,688.8592964824121,847.0904522613065,40591.68670854271,40081.10552763819,41140.88944723618,23471.62944221106,23085.18592964824,23869.070351758794,average
1,99.0,34338.566899497484,34021.5527638191,34619.01507537688,15438.3631959799,15051.75879396985,15825.663316582915,193.9788693467337,164.40201005025125,226.58793969849245,530491.7184924623,529961.6733668342,531053.7537688442,587.5744572864323,514.4321608040201,652.1557788944724,32519.81609547738,32024.22110552764,32982.608040201005,9020.402216080402,8808.824120603014,9233.281407035176,average
2,99.0,36400.53198492462,36086.87939698492,36675.76884422111,16095.502241206028,15709.417085427136,16497.668341708544,204.4109447236181,174.15577889447235,237.92964824120602,552464.8701407035,551871.0351758794,553052.5728643216,611.9633819095479,537.3819095477387,672.7537688442211,33906.54757286432,33432.39698492462,34385.95477386934,9404.314959798996,9191.21608040201,9628.577889447237,average
3,99.0,44031.69161809045,43633.62311557789,44370.884422110554,19593.417195979902,19127.834170854272,20068.291457286432,218.46365829145728,186.23618090452263,255.23618090452263,672145.9196683418,671521.4070351758,672822.7688442211,1492.438819095478,1379.140703517588,1616.4321608040202,41279.32648743719,40745.42211055276,41806.91959798995,11448.389577889446,11189.02512562814,11700.417085427136,average
4,99.0,39714.943175879394,39379.70351758794,40021.12060301508,17188.374165829144,16774.386934673366,17600.552763819094,229.56580904522613,197.10552763819095,265.1256281407035,585561.8351356785,584888.567839196,586232.9798994975,4243.183924623115,4036.713567839196,4429.994974874372,36214.05286432161,35751.24120603015,36719.70854271357,10041.914020100503,9819.713567839195,10275.391959798995,average
5,99.0,37362.18633165829,37090.427135678394,37628.27638190955,14532.856306532662,14192.201005025127,14881.608040201005,295.7654974874372,255.98994974874373,338.51256281407035,485110.4541557789,484431.7035175879,485742.22110552766,9861.45264824121,9556.8391959799,10206.989949748744,30625.200839195983,30191.743718592967,31118.75879396985,8494.369030150754,8291.236180904523,8696.824120603014,average
6,99.0,40829.338869346735,40543.909547738695,41100.668341708544,15297.391447236181,14941.417085427136,15644.21608040201,469.46357788944727,416.3819095477387,527.3618090452261,486543.4254572865,485744.2412060301,487399.44221105526,32782.50901005024,32249.015075376883,33283.0703517588,32234.71077386935,31788.13567839196,32668.175879396986,8940.867778894471,8739.447236180904,9157.417085427136,average
7,99.0,7740.5253869346725,7601.442211055276,7870.371859296482,2740.608763819095,2569.748743718593,2924.5829145728644,29.745713567839193,18.969849246231156,42.663316582914575,92171.19801507538,91906.31658291457,92392.5879396985,268.32629648241203,222.26633165829145,314.6030150753769,5763.411974874371,5571.497487437186,5965.452261306533,1598.4363869346735,1512.6231155778894,1690.5879396984924,average
,,39193.06197550251,38862.955402010055,39491.72801507538,16439.99160741206,16040.317211055277,16846.274497487437,280.44409924623113,244.84108040201005,319.5439698492462,557652.2637788946,557033.7594221105,558289.8812814071,6326.047995603015,6148.081030150754,6502.886306532664,31641.844164572864,31198.22047738693,32098.558417085427,10302.540426507538,10079.65891959799,10531.445979899498,aoa
,,17735.489767926836,17614.832829212915,17842.014538932715,7612.914673915403,7472.593982703927,7754.639389233674,178.08526878599298,163.94104837411632,192.9199322771871,264769.7187254645,264643.21311312675,264939.353670376,11170.06731967421,11007.889253034458,11323.66248072477,11153.88377448278,11048.907198156145,11260.604464202426,6072.673600579338,5990.886832216679,6155.59265679849,std
