Parameter,S1,S1_conf,ST,ST_conf
p_inf,0.06547784486252071,0.013897537105921176,0.09912492219355122,0.006157826998058215
p_hcw,0.0008549744826540052,0.003390371716513955,0.005533805751683436,0.00041436180487483353
c_hcw,0.0016502804778736051,0.00323671840490033,0.0061275857277026755,0.0004669773004398915
d,0.009173175184589395,0.006996555103759732,0.028761831531605803,0.0025478194715246724
q,0.004929731309077301,0.005250273655597421,0.019164837621388615,0.001466322999830814
p_s,0.8025271971843656,0.037119203064898076,0.8411055307145735,0.03418223560552162
lambda,-0.0001266797865223669,0.00391960693350822,0.008723127278338572,0.0007067487794401041
T_lat,0.00208159602726494,0.0036428142727924317,0.007665293569244084,0.0005892526403295629
juvp_s,0.0014489377278257213,0.004792992050354851,0.011172786701978936,0.0009224743005974422
T_inf,0.010556829614838352,0.006880447832204599,0.027656749751243884,0.0018330783067626688
T_rec,0.001023356778087207,0.0031092057433065984,0.0074596973772138595,0.000593000400008362
T_sym,0.002851360398951464,0.004849503686692289,0.012902584268632023,0.000977333660703756
T_hos,0.0059940616880898015,0.004631668706333975,0.01209083297785687,0.0008506944269434561
inf_asym,0.0022397324302053357,0.004329040941514962,0.011257612582488903,0.0009158253348115486
