Index,p_inf,p_hcw,c_hcw,d,q,p_s,rrd,lambda,T_lat,juvp_s,T_inf,T_rec,T_sym,T_hos,K,inf_asym,total_deaths_mean,total_deaths_variance
0,0.446117898,0.153946549,43.23772046,0.488280101,0.392321076,0.597940421,1,0.000575764,11.59445661,0.563076613,3.816095381,3.496901631,10.13528855,4.04384946,10000,0.261024211,61176.919,57469.852439
1,0.311253828,0.255804457,38.90386923,0.956302783,0.322508997,0.926647152,1,0.000812773,3.674131703,0.01674102,12.57366231,12.3850187,9.818292627,10.75102086,10000,0.037852984,99656.084,95233.732944
2,0.8580382,0.989384387,18.51155355,0.865427909,0.278175095,0.463853537,1,0.000901497,10.94561171,0.481633876,1.173388273,21.1287366,12.18304402,29.79564726,10000,0.065225313,47155.492,47718.06793600001
3,0.00339079,0.062736017,51.29511805,0.108825905,0.719835039,0.069902261,1,0.00072525,3.134351498,0.552805662,2.123118255,25.59660809,8.016461227,3.453685808,10000,0.418989551,159.404,153.23278399999998
4,0.084283486,0.437928334,30.20261549,0.563644711,0.839423532,0.350217394,1,0.000436808,6.983772274,0.582096532,20.27513492,25.70347667,3.064531865,34.13441795,10000,0.912087891,33437.686,34274.517404
5,0.701880392,0.490872365,33.01870272,0.874744865,0.293635385,0.293409947,1,0.000850468,12.0422667,0.546891581,14.00018074,24.21028278,12.95826268,13.41045881,10000,0.343190131,32728.412,30982.364256
6,0.818679655,0.566027806,38.09584748,0.89025837,0.328409147,0.819759969,1,0.000664332,6.411429316,0.813751781,5.769254199,17.5191048,13.5743544,33.1950545,10000,0.696836917,90710.789,84761.454479
7,0.294866663,0.165211556,11.40206033,0.247547521,0.676524662,0.430809668,1,0.000492086,13.38535502,0.260639116,13.40257775,25.05064591,7.848146215,11.25347741,10000,0.942252806,47466.433,49404.909511000005
8,0.11382598,0.573438338,67.21871247,0.530079052,0.758732824,0.577465572,1,6.41e-05,2.187443509,0.902324396,17.91956215,8.716908054,3.862130047,8.090328118,10000,0.92027994,56044.229,51720.626559
9,0.090526724,0.049446899,19.92659206,0.697418896,0.875631924,0.432261391,1,0.00088241,10.52885971,0.092904943,2.552897361,4.864850911,10.67808231,29.98864768,10000,0.803605197,2405.083,2585.656111
