date,Forth Valley
2011-01-12,73
2020-09-11,0
2020-09-12,0
2020-09-13,0
2020-09-14,0
2020-09-15,0
2020-09-16,0
2020-09-17,0
2020-09-18,0
2020-09-19,5
2020-09-20,5
2020-09-21,0
2020-09-22,0
2020-09-23,0
2020-09-24,0
2020-09-25,0
2020-09-26,0
2020-09-27,7
2020-09-28,6
2020-09-29,6
2020-09-30,5
2020-10-01,5
2020-10-02,5
2020-10-03,9
2020-10-04,10
2020-10-05,9
2020-10-06,13
2020-10-07,16
2020-10-08,17
2020-10-09,17
2020-10-10,15
2020-10-11,18
2020-10-12,19
2020-10-13,24
2020-10-14,29
2020-10-15,28
2020-10-16,28
2020-10-17,28
2020-10-18,27
2020-10-19,28
2020-10-20,30
2020-10-21,25
2020-10-22,30
2020-10-23,33
2020-10-24,34
2020-10-25,39
2020-10-26,43
2020-10-27,46
2020-10-28,40
2020-10-29,45
2020-10-30,45
2020-10-31,34
2020-11-01,33
2020-11-02,40
2020-11-03,43
2020-11-04,41
2020-11-05,46
2020-11-06,36
2020-11-07,36
2020-11-08,33
2020-11-09,34
2020-11-10,36
2020-11-11,32
2020-11-12,33
2020-11-13,35
2020-11-14,35
2020-11-15,33
2020-11-16,30
2020-11-17,33
2020-11-18,38
2020-11-19,37
2020-11-20,36
2020-11-21,30
2020-11-22,26
2020-11-23,26
2020-11-24,30
2020-11-25,33
2020-11-26,33
2020-11-27,33
2020-11-28,27
2020-11-29,26
2020-11-30,25
2020-12-01,27
2020-12-02,27
2020-12-03,28
2020-12-04,25
2020-12-05,31
2020-12-06,31
2020-12-07,33
2020-12-08,31
2020-12-09,32
2020-12-10,29
2020-12-11,34
2020-12-12,33
2020-12-13,39
2020-12-14,40
2020-12-15,44
2020-12-16,48
2020-12-17,44
2020-12-18,45
2020-12-19,44
2020-12-20,43
2020-12-21,47
2020-12-22,49
2020-12-23,43
2020-12-24,43
2020-12-25,44
2020-12-26,39
2020-12-27,40
2020-12-28,45
2020-12-29,48
2020-12-30,54
2020-12-31,50
2021-01-01,47
2021-01-02,48
2021-01-03,47
2021-01-04,52
2021-01-05,57
2021-01-06,60
2021-01-07,66
2021-01-08,67
2021-01-09,65
2021-01-10,63
2021-01-11,66
