date,Greater Glasgow and Clyde
2011-01-12,489
2020-09-11,25
2020-09-12,25
2020-09-13,25
2020-09-14,26
2020-09-15,22
2020-09-16,25
2020-09-17,27
2020-09-18,33
2020-09-19,35
2020-09-20,34
2020-09-21,40
2020-09-22,37
2020-09-23,40
2020-09-24,38
2020-09-25,41
2020-09-26,45
2020-09-27,46
2020-09-28,51
2020-09-29,51
2020-09-30,60
2020-10-01,73
2020-10-02,87
2020-10-03,94
2020-10-04,98
2020-10-05,95
2020-10-06,112
2020-10-07,144
2020-10-08,177
2020-10-09,189
2020-10-10,204
2020-10-11,214
2020-10-12,220
2020-10-13,248
2020-10-14,257
2020-10-15,276
2020-10-16,290
2020-10-17,306
2020-10-18,301
2020-10-19,322
2020-10-20,344
2020-10-21,374
2020-10-22,406
2020-10-23,412
2020-10-24,426
2020-10-25,435
2020-10-26,446
2020-10-27,479
2020-10-28,486
2020-10-29,499
2020-10-30,512
2020-10-31,511
2020-11-01,527
2020-11-02,530
2020-11-03,518
2020-11-04,493
2020-11-05,500
2020-11-06,493
2020-11-07,477
2020-11-08,477
2020-11-09,476
2020-11-10,481
2020-11-11,476
2020-11-12,473
2020-11-13,490
2020-11-14,495
2020-11-15,492
2020-11-16,476
2020-11-17,487
2020-11-18,486
2020-11-19,456
2020-11-20,471
2020-11-21,449
2020-11-22,431
2020-11-23,450
2020-11-24,432
2020-11-25,415
2020-11-26,404
2020-11-27,383
2020-11-28,373
2020-11-29,370
2020-11-30,375
2020-12-01,364
2020-12-02,359
2020-12-03,363
2020-12-04,365
2020-12-05,349
2020-12-06,352
2020-12-07,349
2020-12-08,358
2020-12-09,358
2020-12-10,349
2020-12-11,349
2020-12-12,349
2020-12-13,346
2020-12-14,340
2020-12-15,331
2020-12-16,324
2020-12-17,311
2020-12-18,319
2020-12-19,318
2020-12-20,327
2020-12-21,344
2020-12-22,319
2020-12-23,318
2020-12-24,308
2020-12-25,282
2020-12-26,289
2020-12-27,295
2020-12-28,296
2020-12-29,300
2020-12-30,325
2020-12-31,332
2021-01-01,328
2021-01-02,328
2021-01-03,345
2021-01-04,360
2021-01-05,373
2021-01-06,373
2021-01-07,394
2021-01-08,417
2021-01-09,439
2021-01-10,454
2021-01-11,461
