date,Tayside
2011-01-12,168
2020-09-11,0
2020-09-12,0
2020-09-13,0
2020-09-14,0
2020-09-15,0
2020-09-16,0
2020-09-17,0
2020-09-18,0
2020-09-19,0
2020-09-20,0
2020-09-21,0
2020-09-22,0
2020-09-23,0
2020-09-24,0
2020-09-25,0
2020-09-26,0
2020-09-27,0
2020-09-28,0
2020-09-29,0
2020-09-30,0
2020-10-01,0
2020-10-02,0
2020-10-03,5
2020-10-04,5
2020-10-05,6
2020-10-06,9
2020-10-07,11
2020-10-08,13
2020-10-09,14
2020-10-10,13
2020-10-11,14
2020-10-12,16
2020-10-13,17
2020-10-14,17
2020-10-15,19
2020-10-16,15
2020-10-17,16
2020-10-18,17
2020-10-19,23
2020-10-20,25
2020-10-21,30
2020-10-22,33
2020-10-23,45
2020-10-24,39
2020-10-25,35
2020-10-26,37
2020-10-27,43
2020-10-28,57
2020-10-29,60
2020-10-30,58
2020-10-31,57
2020-11-01,60
2020-11-02,58
2020-11-03,63
2020-11-04,60
2020-11-05,61
2020-11-06,60
2020-11-07,57
2020-11-08,54
2020-11-09,53
2020-11-10,55
2020-11-11,51
2020-11-12,52
2020-11-13,53
2020-11-14,52
2020-11-15,65
2020-11-16,67
2020-11-17,66
2020-11-18,68
2020-11-19,66
2020-11-20,80
2020-11-21,75
2020-11-22,75
2020-11-23,79
2020-11-24,83
2020-11-25,69
2020-11-26,68
2020-11-27,69
2020-11-28,69
2020-11-29,71
2020-11-30,71
2020-12-01,72
2020-12-02,69
2020-12-03,70
2020-12-04,63
2020-12-05,74
2020-12-06,70
2020-12-07,74
2020-12-08,75
2020-12-09,79
2020-12-10,75
2020-12-11,73
2020-12-12,76
2020-12-13,81
2020-12-14,80
2020-12-15,72
2020-12-16,79
2020-12-17,79
2020-12-18,74
2020-12-19,66
2020-12-20,66
2020-12-21,68
2020-12-22,66
2020-12-23,68
2020-12-24,67
2020-12-25,61
2020-12-26,60
2020-12-27,63
2020-12-28,64
2020-12-29,61
2020-12-30,52
2020-12-31,53
2021-01-01,57
2021-01-02,63
2021-01-03,68
2021-01-04,71
2021-01-05,98
2021-01-06,109
2021-01-07,117
2021-01-08,126
2021-01-09,135
2021-01-10,139
2021-01-11,155
