date,Forth Valley
2020-09-11,0
2020-09-12,0
2020-09-13,0
2020-09-14,0
2020-09-15,0
2020-09-16,0
2020-09-17,0
2020-09-18,0
2020-09-19,0
2020-09-20,0
2020-09-21,0
2020-09-22,0
2020-09-23,0
2020-09-24,0
2020-09-25,0
2020-09-26,0
2020-09-27,0
2020-09-28,0
2020-09-29,0
2020-09-30,0
2020-10-01,0
2020-10-02,0
2020-10-03,0
2020-10-04,0
2020-10-05,0
2020-10-06,0
2020-10-07,0
2020-10-08,0
2020-10-09,0
2020-10-10,0
2020-10-11,0
2020-10-12,0
2020-10-13,0
2020-10-14,0
2020-10-15,0
2020-10-16,5
2020-10-17,0
2020-10-18,0
2020-10-19,0
2020-10-20,0
2020-10-21,5
2020-10-22,6
2020-10-23,7
2020-10-24,9
2020-10-25,10
2020-10-26,11
2020-10-27,12
2020-10-28,11
2020-10-29,11
2020-10-30,8
2020-10-31,7
2020-11-01,6
2020-11-02,10
2020-11-03,9
2020-11-04,10
2020-11-05,10
2020-11-06,9
2020-11-07,10
2020-11-08,10
2020-11-09,10
2020-11-10,10
2020-11-11,10
2020-11-12,8
2020-11-13,8
2020-11-14,10
2020-11-15,10
2020-11-16,9
2020-11-17,9
2020-11-18,8
2020-11-19,7
2020-11-20,6
2020-11-21,6
2020-11-22,0
2020-11-23,0
2020-11-24,0
2020-11-25,0
2020-11-26,0
2020-11-27,0
2020-11-28,0
2020-11-29,0
2020-11-30,0
2020-12-01,5
2020-12-02,0
2020-12-03,5
2020-12-04,5
2020-12-05,5
2020-12-06,5
2020-12-07,5
2020-12-08,5
2020-12-09,5
2020-12-10,5
2020-12-11,5
2020-12-12,0
2020-12-13,0
2020-12-14,0
2020-12-15,5
2020-12-16,7
2020-12-17,7
2020-12-18,7
2020-12-19,6
2020-12-20,6
2020-12-21,5
2020-12-22,5
2020-12-23,5
2020-12-24,5
2020-12-25,0
2020-12-26,0
2020-12-27,5
2020-12-28,6
2020-12-29,6
2020-12-30,6
2020-12-31,5
2021-01-01,5
2021-01-02,0
2021-01-03,0
2021-01-04,5
2021-01-05,6
2021-01-06,6
2021-01-07,8
2021-01-08,6
2021-01-09,5
2021-01-10,5
2021-01-11,6
2021-01-12,6
