date,Lanarkshire
2020-09-11,0
2020-09-12,0
2020-09-13,0
2020-09-14,0
2020-09-15,0
2020-09-16,0
2020-09-17,0
2020-09-18,0
2020-09-19,0
2020-09-20,0
2020-09-21,0
2020-09-22,0
2020-09-23,0
2020-09-24,0
2020-09-25,0
2020-09-26,0
2020-09-27,0
2020-09-28,6
2020-09-29,0
2020-09-30,0
2020-10-01,5
2020-10-02,5
2020-10-03,6
2020-10-04,0
2020-10-05,0
2020-10-06,0
2020-10-07,0
2020-10-08,0
2020-10-09,0
2020-10-10,0
2020-10-11,5
2020-10-12,5
2020-10-13,6
2020-10-14,10
2020-10-15,10
2020-10-16,9
2020-10-17,10
2020-10-18,11
2020-10-19,12
2020-10-20,16
2020-10-21,15
2020-10-22,16
2020-10-23,16
2020-10-24,18
2020-10-25,18
2020-10-26,20
2020-10-27,19
2020-10-28,20
2020-10-29,22
2020-10-30,21
2020-10-31,21
2020-11-01,19
2020-11-02,21
2020-11-03,22
2020-11-04,23
2020-11-05,24
2020-11-06,25
2020-11-07,24
2020-11-08,24
2020-11-09,24
2020-11-10,23
2020-11-11,20
2020-11-12,23
2020-11-13,21
2020-11-14,20
2020-11-15,20
2020-11-16,21
2020-11-17,22
2020-11-18,19
2020-11-19,19
2020-11-20,20
2020-11-21,21
2020-11-22,20
2020-11-23,19
2020-11-24,19
2020-11-25,19
2020-11-26,20
2020-11-27,20
2020-11-28,19
2020-11-29,19
2020-11-30,19
2020-12-01,16
2020-12-02,17
2020-12-03,17
2020-12-04,17
2020-12-05,17
2020-12-06,16
2020-12-07,16
2020-12-08,15
2020-12-09,13
2020-12-10,13
2020-12-11,13
2020-12-12,14
2020-12-13,12
2020-12-14,13
2020-12-15,13
2020-12-16,12
2020-12-17,12
2020-12-18,12
2020-12-19,15
2020-12-20,15
2020-12-21,14
2020-12-22,12
2020-12-23,12
2020-12-24,12
2020-12-25,10
2020-12-26,11
2020-12-27,11
2020-12-28,9
2020-12-29,10
2020-12-30,11
2020-12-31,11
2021-01-01,11
2021-01-02,11
2021-01-03,10
2021-01-04,11
2021-01-05,13
2021-01-06,13
2021-01-07,13
2021-01-08,16
2021-01-09,14
2021-01-10,17
2021-01-11,16
2021-01-12,14
