date,Forth Valley
2019-12-30,76
2020-01-06,92
2020-01-13,68
2020-01-20,78
2020-01-27,67
2020-02-03,55
2020-02-10,73
2020-02-17,65
2020-02-24,57
2020-03-02,75
2020-03-09,55
2020-03-16,66
2020-03-23,74
2020-03-30,96
2020-04-06,110
2020-04-13,85
2020-04-20,97
2020-04-27,107
2020-05-04,104
2020-05-11,85
2020-05-18,59
2020-05-25,50
2020-06-01,69
2020-06-08,63
2020-06-15,52
2020-06-22,67
2020-06-29,53
2020-07-06,44
2020-07-13,68
2020-07-20,55
2020-07-27,59
2020-08-03,48
2020-08-10,41
2020-08-17,54
2020-08-24,64
2020-08-31,63
2020-09-07,63
2020-09-14,54
2020-09-21,59
2020-09-28,75
2020-10-05,64
2020-10-12,72
2020-10-19,70
2020-10-26,58
2020-11-02,71
2020-11-09,73
2020-11-16,85
2020-11-23,72
2020-11-30,65
2020-12-07,64
2020-12-14,70
2020-12-21,75
2020-12-28,58
2021,341
2021-01-04,86
2021-01-11,82
2021-01-18,84
2021-01-25,89
