date,Grampian
2019-12-30,113
2020-01-06,148
2020-01-13,122
2020-01-20,117
2020-01-27,109
2020-02-03,131
2020-02-10,119
2020-02-17,131
2020-02-24,111
2020-03-02,106
2020-03-09,128
2020-03-16,132
2020-03-23,112
2020-03-30,141
2020-04-06,158
2020-04-13,169
2020-04-20,147
2020-04-27,139
2020-05-04,128
2020-05-11,110
2020-05-18,97
2020-05-25,110
2020-06-01,111
2020-06-08,95
2020-06-15,95
2020-06-22,97
2020-06-29,83
2020-07-06,110
2020-07-13,94
2020-07-20,87
2020-07-27,122
2020-08-03,91
2020-08-10,92
2020-08-17,111
2020-08-24,85
2020-08-31,97
2020-09-07,105
2020-09-14,100
2020-09-21,100
2020-09-28,102
2020-10-05,101
2020-10-12,105
2020-10-19,100
2020-10-26,111
2020-11-02,93
2020-11-09,95
2020-11-16,113
2020-11-23,91
2020-11-30,112
2020-12-07,120
2020-12-14,115
2020-12-21,118
2020-12-28,141
2021,621
2021-01-04,169
2021-01-11,138
2021-01-18,166
2021-01-25,148
