date,Greater Glasgow and Clyde
2019-12-30,250
2020-01-06,353
2020-01-13,296
2020-01-20,235
2020-01-27,264
2020-02-03,245
2020-02-10,243
2020-02-17,238
2020-02-24,255
2020-03-02,283
2020-03-09,244
2020-03-16,264
2020-03-23,167
2020-03-30,479
2020-04-06,499
2020-04-13,482
2020-04-20,518
2020-04-27,410
2020-05-04,344
2020-05-11,342
2020-05-18,308
2020-05-25,245
2020-06-01,236
2020-06-08,235
2020-06-15,217
2020-06-22,235
2020-06-29,208
2020-07-06,197
2020-07-13,220
2020-07-20,212
2020-07-27,225
2020-08-03,214
2020-08-10,198
2020-08-17,205
2020-08-24,225
2020-08-31,229
2020-09-07,224
2020-09-14,218
2020-09-21,196
2020-09-28,249
2020-10-05,226
2020-10-12,251
2020-10-19,270
2020-10-26,298
2020-11-02,341
2020-11-09,352
2020-11-16,329
2020-11-23,301
2020-11-30,313
2020-12-07,268
2020-12-14,282
2020-12-21,262
2020-12-28,229
2021,1379
2021-01-04,401
2021-01-11,321
2021-01-18,320
2021-01-25,337
