date,Lanarkshire
2019-12-30,138
2020-01-06,194
2020-01-13,165
2020-01-20,161
2020-01-27,151
2020-02-03,169
2020-02-10,155
2020-02-17,144
2020-02-24,136
2020-03-02,151
2020-03-09,143
2020-03-16,138
2020-03-23,137
2020-03-30,231
2020-04-06,274
2020-04-13,272
2020-04-20,238
2020-04-27,207
2020-05-04,207
2020-05-11,168
2020-05-18,151
2020-05-25,142
2020-06-01,134
2020-06-08,129
2020-06-15,137
2020-06-22,148
2020-06-29,109
2020-07-06,111
2020-07-13,127
2020-07-20,136
2020-07-27,128
2020-08-03,129
2020-08-10,125
2020-08-17,131
2020-08-24,151
2020-08-31,146
2020-09-07,138
2020-09-14,126
2020-09-21,126
2020-09-28,154
2020-10-05,141
2020-10-12,142
2020-10-19,148
2020-10-26,183
2020-11-02,152
2020-11-09,197
2020-11-16,183
2020-11-23,214
2020-11-30,183
2020-12-07,191
2020-12-14,165
2020-12-21,156
2020-12-28,126
2021,850
2021-01-04,254
2021-01-11,189
2021-01-18,210
2021-01-25,197
