date,Lothian
2019-12-30,166
2020-01-06,196
2020-01-13,155
2020-01-20,165
2020-01-27,154
2020-02-03,191
2020-02-10,171
2020-02-17,152
2020-02-24,171
2020-03-02,166
2020-03-09,182
2020-03-16,169
2020-03-23,144
2020-03-30,228
2020-04-06,313
2020-04-13,271
2020-04-20,258
2020-04-27,280
2020-05-04,207
2020-05-11,224
2020-05-18,189
2020-05-25,156
2020-06-01,154
2020-06-08,136
2020-06-15,168
2020-06-22,125
2020-06-29,139
2020-07-06,125
2020-07-13,120
2020-07-20,135
2020-07-27,114
2020-08-03,125
2020-08-10,131
2020-08-17,127
2020-08-24,143
2020-08-31,123
2020-09-07,128
2020-09-14,108
2020-09-21,121
2020-09-28,172
2020-10-05,147
2020-10-12,175
2020-10-19,172
2020-10-26,177
2020-11-02,146
2020-11-09,180
2020-11-16,194
2020-11-23,171
2020-11-30,177
2020-12-07,166
2020-12-14,183
2020-12-21,154
2020-12-28,179
2021,802
2021-01-04,221
2021-01-11,211
2021-01-18,174
2021-01-25,196
