date,Borders
2020-03-16,0
2020-03-23,3
2020-03-30,13
2020-04-06,15
2020-04-13,7
2020-04-20,3
2020-04-27,4
2020-05-04,3
2020-05-11,6
2020-05-18,4
2020-05-25,4
2020-06-01,6
2020-06-08,3
2020-06-15,1
2020-06-22,0
2020-06-29,1
2020-07-06,1
2020-07-13,0
2020-07-20,0
2020-07-27,0
2020-08-03,0
2020-08-10,0
2020-08-17,0
2020-08-24,1
2020-08-31,0
2020-09-07,0
2020-09-14,0
2020-09-21,0
2020-09-28,2
2020-10-05,0
2020-10-12,0
2020-10-19,1
2020-10-26,2
2020-11-02,1
2020-11-09,2
2020-11-16,1
2020-11-23,2
2020-11-30,1
2020-12-07,2
2020-12-14,5
2020-12-21,1
2020-12-28,9
2021,24
2021-01-04,3
2021-01-11,3
2021-01-18,9
2021-01-25,9
