date,Grampian
2020-03-16,2
2020-03-23,3
2020-03-30,6
2020-04-06,35
2020-04-13,43
2020-04-20,40
2020-04-27,30
2020-05-04,28
2020-05-11,27
2020-05-18,17
2020-05-25,9
2020-06-01,5
2020-06-08,6
2020-06-15,4
2020-06-22,3
2020-06-29,0
2020-07-06,1
2020-07-13,1
2020-07-20,0
2020-07-27,0
2020-08-03,0
2020-08-10,0
2020-08-17,1
2020-08-24,1
2020-08-31,0
2020-09-07,1
2020-09-14,1
2020-09-21,0
2020-09-28,0
2020-10-05,0
2020-10-12,1
2020-10-19,5
2020-10-26,5
2020-11-02,3
2020-11-09,4
2020-11-16,7
2020-11-23,7
2020-11-30,10
2020-12-07,18
2020-12-14,20
2020-12-21,15
2020-12-28,15
2021,134
2021-01-04,37
2021-01-11,21
2021-01-18,44
2021-01-25,32
