date,Greater Glasgow and Clyde
2020-03-16,3
2020-03-23,13
2020-03-30,107
2020-04-06,194
2020-04-13,197
2020-04-20,232
2020-04-27,171
2020-05-04,126
2020-05-11,118
2020-05-18,75
2020-05-25,30
2020-06-01,21
2020-06-08,17
2020-06-15,15
2020-06-22,8
2020-06-29,4
2020-07-06,1
2020-07-13,0
2020-07-20,3
2020-07-27,2
2020-08-03,3
2020-08-10,1
2020-08-17,1
2020-08-24,2
2020-08-31,1
2020-09-07,3
2020-09-14,3
2020-09-21,3
2020-09-28,6
2020-10-05,7
2020-10-12,31
2020-10-19,44
2020-10-26,51
2020-11-02,85
2020-11-09,106
2020-11-16,81
2020-11-23,82
2020-11-30,73
2020-12-07,60
2020-12-14,60
2020-12-21,50
2020-12-28,44
2021,407
2021-01-04,111
2021-01-11,95
2021-01-18,95
2021-01-25,106
