date,Tayside
2020-03-16,0
2020-03-23,3
2020-03-30,14
2020-04-06,37
2020-04-13,51
2020-04-20,59
2020-04-27,34
2020-05-04,33
2020-05-11,25
2020-05-18,19
2020-05-25,13
2020-06-01,9
2020-06-08,9
2020-06-15,2
2020-06-22,2
2020-06-29,3
2020-07-06,2
2020-07-13,0
2020-07-20,0
2020-07-27,0
2020-08-03,1
2020-08-10,0
2020-08-17,0
2020-08-24,0
2020-08-31,1
2020-09-07,0
2020-09-14,0
2020-09-21,1
2020-09-28,0
2020-10-05,0
2020-10-12,2
2020-10-19,3
2020-10-26,8
2020-11-02,12
2020-11-09,13
2020-11-16,10
2020-11-23,19
2020-11-30,18
2020-12-07,10
2020-12-14,11
2020-12-21,13
2020-12-28,16
2021,157
2021-01-04,25
2021-01-11,42
2021-01-18,48
2021-01-25,42
