Date,HBName,Sex,AgeGroup,Population,Dose,NumberVaccinated,PercentCoverage,CumulativeNumberVaccinated,CumulativePercentCoverage
20201208,Dumfries and Galloway,Female,18 - 29,8566.0,Dose 1,2,0.0233481204763017,2,0.0233481204763017
20201208,Dumfries and Galloway,Female,18 years and over,63598.0,Dose 1,20,0.0314475297965345,20,0.0314475297965345
20201208,Dumfries and Galloway,Female,30 - 39,7733.0,Dose 1,6,0.0775895512737618,6,0.0775895512737618
20201208,Dumfries and Galloway,Female,40 - 49,8623.0,Dose 1,4,0.0463875681317407,4,0.0463875681317407
20201208,Dumfries and Galloway,Female,50 - 54,6112.0,Dose 1,5,0.0818062827225131,5,0.0818062827225131
20201208,Dumfries and Galloway,Female,55 - 59,6334.0,Dose 1,2,0.0315756236185665,2,0.0315756236185665
20201208,Dumfries and Galloway,Female,60 - 64,5776.0,Dose 1,1,0.0173130193905817,1,0.0173130193905817
20201208,Dumfries and Galloway,Female,65 - 69,5440.0,Dose 1,0,0.0,0,0.0
20201208,Dumfries and Galloway,Female,70 - 74,5238.0,Dose 1,0,0.0,0,0.0
20201208,Dumfries and Galloway,Female,75 - 79,4066.0,Dose 1,0,0.0,0,0.0
20201208,Dumfries and Galloway,Female,80 years and over,5710.0,Dose 1,0,0.0,0,0.0
20201208,Dumfries and Galloway,Male,18 - 29,9114.0,Dose 1,1,0.010972130787799,1,0.010972130787799
20201208,Dumfries and Galloway,Male,18 years and over,59094.0,Dose 1,13,0.0219988492909602,13,0.0219988492909602
20201208,Dumfries and Galloway,Male,30 - 39,7160.0,Dose 1,2,0.0279329608938547,2,0.0279329608938547
20201208,Dumfries and Galloway,Male,40 - 49,7817.0,Dose 1,4,0.0511705257771524,4,0.0511705257771524
20201208,Dumfries and Galloway,Male,50 - 54,5547.0,Dose 1,4,0.0721110510185686,4,0.0721110510185686
20201208,Dumfries and Galloway,Male,55 - 59,5918.0,Dose 1,1,0.0168976005407232,1,0.0168976005407232
20201208,Dumfries and Galloway,Male,60 - 64,5422.0,Dose 1,0,0.0,0,0.0
20201208,Dumfries and Galloway,Male,65 - 69,5312.0,Dose 1,1,0.0188253012048193,1,0.0188253012048193
20201208,Dumfries and Galloway,Male,70 - 74,5053.0,Dose 1,0,0.0,0,0.0
20201208,Dumfries and Galloway,Male,75 - 79,3559.0,Dose 1,0,0.0,0,0.0
20201208,Dumfries and Galloway,Male,80 years and over,4192.0,Dose 1,0,0.0,0,0.0
20201208,Dumfries and Galloway,Total,18 - 29,17680.0,Dose 1,3,0.0169683257918552,3,0.0169683257918552
20201208,Dumfries and Galloway,Total,18 years and over,122692.0,Dose 1,33,0.0268966191764744,33,0.0268966191764744
20201208,Dumfries and Galloway,Total,30 - 39,14893.0,Dose 1,8,0.0537165111126032,8,0.0537165111126032
20201208,Dumfries and Galloway,Total,40 - 49,16440.0,Dose 1,8,0.048661800486617994,8,0.048661800486617994
20201208,Dumfries and Galloway,Total,50 - 54,11659.0,Dose 1,9,0.0771935843554336,9,0.0771935843554336
20201208,Dumfries and Galloway,Total,50 years and over,73679.0,Dose 1,14,0.019001343666445,14,0.019001343666445
20201208,Dumfries and Galloway,Total,55 - 59,12252.0,Dose 1,3,0.0244857982370225,3,0.0244857982370225
20201208,Dumfries and Galloway,Total,60 - 64,11198.0,Dose 1,1,0.00893016610108948,1,0.00893016610108948
20201208,Dumfries and Galloway,Total,65 - 69,10752.0,Dose 1,1,0.009300595238095241,1,0.009300595238095241
20201208,Dumfries and Galloway,Total,70 - 74,10291.0,Dose 1,0,0.0,0,0.0
20201208,Dumfries and Galloway,Total,75 - 79,7625.0,Dose 1,0,0.0,0,0.0
20201208,Dumfries and Galloway,Total,80 years and over,9902.0,Dose 1,0,0.0,0,0.0
20201208,Dumfries and Galloway,Female,18 - 29,8566.0,Dose 2,0,0.0,0,0.0
20201208,Dumfries and Galloway,Female,18 years and over,63598.0,Dose 2,0,0.0,0,0.0
20201208,Dumfries and Galloway,Female,30 - 39,7733.0,Dose 2,0,0.0,0,0.0
20201208,Dumfries and Galloway,Female,40 - 49,8623.0,Dose 2,0,0.0,0,0.0
20201208,Dumfries and Galloway,Female,50 - 54,6112.0,Dose 2,0,0.0,0,0.0
20201208,Dumfries and Galloway,Female,55 - 59,6334.0,Dose 2,0,0.0,0,0.0
20201208,Dumfries and Galloway,Female,60 - 64,5776.0,Dose 2,0,0.0,0,0.0
20201208,Dumfries and Galloway,Female,65 - 69,5440.0,Dose 2,0,0.0,0,0.0
20201208,Dumfries and Galloway,Female,70 - 74,5238.0,Dose 2,0,0.0,0,0.0
20201208,Dumfries and Galloway,Female,75 - 79,4066.0,Dose 2,0,0.0,0,0.0
20201208,Dumfries and Galloway,Female,80 years and over,5710.0,Dose 2,0,0.0,0,0.0
20201208,Dumfries and Galloway,Male,18 - 29,9114.0,Dose 2,0,0.0,0,0.0
20201208,Dumfries and Galloway,Male,18 years and over,59094.0,Dose 2,0,0.0,0,0.0
20201208,Dumfries and Galloway,Male,30 - 39,7160.0,Dose 2,0,0.0,0,0.0
20201208,Dumfries and Galloway,Male,40 - 49,7817.0,Dose 2,0,0.0,0,0.0
20201208,Dumfries and Galloway,Male,50 - 54,5547.0,Dose 2,0,0.0,0,0.0
20201208,Dumfries and Galloway,Male,55 - 59,5918.0,Dose 2,0,0.0,0,0.0
20201208,Dumfries and Galloway,Male,60 - 64,5422.0,Dose 2,0,0.0,0,0.0
20201208,Dumfries and Galloway,Male,65 - 69,5312.0,Dose 2,0,0.0,0,0.0
20201208,Dumfries and Galloway,Male,70 - 74,5053.0,Dose 2,0,0.0,0,0.0
20201208,Dumfries and Galloway,Male,75 - 79,3559.0,Dose 2,0,0.0,0,0.0
20201208,Dumfries and Galloway,Male,80 years and over,4192.0,Dose 2,0,0.0,0,0.0
20201208,Dumfries and Galloway,Total,18 - 29,17680.0,Dose 2,0,0.0,0,0.0
20201208,Dumfries and Galloway,Total,18 years and over,122692.0,Dose 2,0,0.0,0,0.0
20201208,Dumfries and Galloway,Total,30 - 39,14893.0,Dose 2,0,0.0,0,0.0
20201208,Dumfries and Galloway,Total,40 - 49,16440.0,Dose 2,0,0.0,0,0.0
20201208,Dumfries and Galloway,Total,50 - 54,11659.0,Dose 2,0,0.0,0,0.0
20201208,Dumfries and Galloway,Total,50 years and over,73679.0,Dose 2,0,0.0,0,0.0
20201208,Dumfries and Galloway,Total,55 - 59,12252.0,Dose 2,0,0.0,0,0.0
20201208,Dumfries and Galloway,Total,60 - 64,11198.0,Dose 2,0,0.0,0,0.0
20201208,Dumfries and Galloway,Total,65 - 69,10752.0,Dose 2,0,0.0,0,0.0
20201208,Dumfries and Galloway,Total,70 - 74,10291.0,Dose 2,0,0.0,0,0.0
20201208,Dumfries and Galloway,Total,75 - 79,7625.0,Dose 2,0,0.0,0,0.0
20201208,Dumfries and Galloway,Total,80 years and over,9902.0,Dose 2,0,0.0,0,0.0
20201209,Dumfries and Galloway,Female,18 - 29,8566.0,Dose 1,13,0.151762783095961,15,0.175110903572262
20201209,Dumfries and Galloway,Female,18 years and over,63598.0,Dose 1,52,0.0817635774709897,72,0.11321110726752401
20201209,Dumfries and Galloway,Female,30 - 39,7733.0,Dose 1,10,0.12931591878960302,16,0.206905470063365
20201209,Dumfries and Galloway,Female,40 - 49,8623.0,Dose 1,10,0.11596892032935198,14,0.162356488461092
20201209,Dumfries and Galloway,Female,50 - 54,6112.0,Dose 1,8,0.130890052356021,13,0.212696335078534
20201209,Dumfries and Galloway,Female,55 - 59,6334.0,Dose 1,6,0.0947268708556994,8,0.12630249447426597
20201209,Dumfries and Galloway,Female,60 - 64,5776.0,Dose 1,4,0.0692520775623269,5,0.0865650969529086
20201209,Dumfries and Galloway,Female,65 - 69,5440.0,Dose 1,1,0.0183823529411765,1,0.0183823529411765
20201209,Dumfries and Galloway,Female,70 - 74,5238.0,Dose 1,0,0.0,0,0.0
20201209,Dumfries and Galloway,Female,75 - 79,4066.0,Dose 1,0,0.0,0,0.0
20201209,Dumfries and Galloway,Female,80 years and over,5710.0,Dose 1,0,0.0,0,0.0
20201209,Dumfries and Galloway,Male,18 - 29,9114.0,Dose 1,2,0.021944261575598,3,0.032916392363397
20201209,Dumfries and Galloway,Male,18 years and over,59094.0,Dose 1,16,0.0270755068196433,29,0.0490743561106034
20201209,Dumfries and Galloway,Male,30 - 39,7160.0,Dose 1,3,0.0418994413407821,5,0.0698324022346369
20201209,Dumfries and Galloway,Male,40 - 49,7817.0,Dose 1,3,0.0383778943328643,7,0.0895484201100166
20201209,Dumfries and Galloway,Male,50 - 54,5547.0,Dose 1,5,0.0901388137732107,9,0.162249864791779
20201209,Dumfries and Galloway,Male,55 - 59,5918.0,Dose 1,0,0.0,1,0.0168976005407232
20201209,Dumfries and Galloway,Male,60 - 64,5422.0,Dose 1,2,0.0368867576540022,2,0.0368867576540022
20201209,Dumfries and Galloway,Male,65 - 69,5312.0,Dose 1,1,0.0188253012048193,2,0.0376506024096386
20201209,Dumfries and Galloway,Male,70 - 74,5053.0,Dose 1,0,0.0,0,0.0
20201209,Dumfries and Galloway,Male,75 - 79,3559.0,Dose 1,0,0.0,0,0.0
20201209,Dumfries and Galloway,Male,80 years and over,4192.0,Dose 1,0,0.0,0,0.0
20201209,Dumfries and Galloway,Total,18 - 29,17680.0,Dose 1,15,0.08484162895927601,18,0.101809954751131
20201209,Dumfries and Galloway,Total,18 years and over,122692.0,Dose 1,68,0.0554233364848564,101,0.0823199556613308
20201209,Dumfries and Galloway,Total,30 - 39,14893.0,Dose 1,13,0.0872893305579803,21,0.141005841670583
20201209,Dumfries and Galloway,Total,40 - 49,16440.0,Dose 1,13,0.0790754257907543,21,0.127737226277372
20201209,Dumfries and Galloway,Total,50 - 54,11659.0,Dose 1,13,0.11150184406896001,22,0.18869542842439302
20201209,Dumfries and Galloway,Total,50 years and over,73679.0,Dose 1,27,0.0366454484995725,41,0.0556467921660175
20201209,Dumfries and Galloway,Total,55 - 59,12252.0,Dose 1,6,0.048971596474045,9,0.0734573947110676
20201209,Dumfries and Galloway,Total,60 - 64,11198.0,Dose 1,6,0.0535809966065369,7,0.0625111627076264
20201209,Dumfries and Galloway,Total,65 - 69,10752.0,Dose 1,2,0.0186011904761905,3,0.0279017857142857
20201209,Dumfries and Galloway,Total,70 - 74,10291.0,Dose 1,0,0.0,0,0.0
20201209,Dumfries and Galloway,Total,75 - 79,7625.0,Dose 1,0,0.0,0,0.0
20201209,Dumfries and Galloway,Total,80 years and over,9902.0,Dose 1,0,0.0,0,0.0
20201209,Dumfries and Galloway,Female,18 - 29,8566.0,Dose 2,0,0.0,0,0.0
20201209,Dumfries and Galloway,Female,18 years and over,63598.0,Dose 2,0,0.0,0,0.0
20201209,Dumfries and Galloway,Female,30 - 39,7733.0,Dose 2,0,0.0,0,0.0
20201209,Dumfries and Galloway,Female,40 - 49,8623.0,Dose 2,0,0.0,0,0.0
20201209,Dumfries and Galloway,Female,50 - 54,6112.0,Dose 2,0,0.0,0,0.0
20201209,Dumfries and Galloway,Female,55 - 59,6334.0,Dose 2,0,0.0,0,0.0
20201209,Dumfries and Galloway,Female,60 - 64,5776.0,Dose 2,0,0.0,0,0.0
20201209,Dumfries and Galloway,Female,65 - 69,5440.0,Dose 2,0,0.0,0,0.0
20201209,Dumfries and Galloway,Female,70 - 74,5238.0,Dose 2,0,0.0,0,0.0
20201209,Dumfries and Galloway,Female,75 - 79,4066.0,Dose 2,0,0.0,0,0.0
20201209,Dumfries and Galloway,Female,80 years and over,5710.0,Dose 2,0,0.0,0,0.0
20201209,Dumfries and Galloway,Male,18 - 29,9114.0,Dose 2,0,0.0,0,0.0
20201209,Dumfries and Galloway,Male,18 years and over,59094.0,Dose 2,0,0.0,0,0.0
20201209,Dumfries and Galloway,Male,30 - 39,7160.0,Dose 2,0,0.0,0,0.0
20201209,Dumfries and Galloway,Male,40 - 49,7817.0,Dose 2,0,0.0,0,0.0
20201209,Dumfries and Galloway,Male,50 - 54,5547.0,Dose 2,0,0.0,0,0.0
20201209,Dumfries and Galloway,Male,55 - 59,5918.0,Dose 2,0,0.0,0,0.0
20201209,Dumfries and Galloway,Male,60 - 64,5422.0,Dose 2,0,0.0,0,0.0
20201209,Dumfries and Galloway,Male,65 - 69,5312.0,Dose 2,0,0.0,0,0.0
20201209,Dumfries and Galloway,Male,70 - 74,5053.0,Dose 2,0,0.0,0,0.0
20201209,Dumfries and Galloway,Male,75 - 79,3559.0,Dose 2,0,0.0,0,0.0
20201209,Dumfries and Galloway,Male,80 years and over,4192.0,Dose 2,0,0.0,0,0.0
20201209,Dumfries and Galloway,Total,18 - 29,17680.0,Dose 2,0,0.0,0,0.0
