Date,HBName,Sex,AgeGroup,Population,Dose,NumberVaccinated,PercentCoverage,CumulativeNumberVaccinated,CumulativePercentCoverage
20201208,Forth Valley,Female,18 - 29,22492.0,Dose 1,48,0.213409212164325,48,0.213409212164325
20201208,Forth Valley,Female,18 years and over,128456.0,Dose 1,441,0.343308214485894,441,0.343308214485894
20201208,Forth Valley,Female,30 - 39,18988.0,Dose 1,93,0.48978302085527703,93,0.48978302085527703
20201208,Forth Valley,Female,40 - 49,21000.0,Dose 1,113,0.538095238095238,113,0.538095238095238
20201208,Forth Valley,Female,50 - 54,12322.0,Dose 1,57,0.46258724233079,57,0.46258724233079
20201208,Forth Valley,Female,55 - 59,11512.0,Dose 1,81,0.7036136205698399,81,0.7036136205698399
20201208,Forth Valley,Female,60 - 64,9837.0,Dose 1,41,0.41679373792823,41,0.41679373792823
20201208,Forth Valley,Female,65 - 69,8868.0,Dose 1,7,0.07893549842129,7,0.07893549842129
20201208,Forth Valley,Female,70 - 74,8387.0,Dose 1,1,0.0119232144986288,1,0.0119232144986288
20201208,Forth Valley,Female,75 - 79,6182.0,Dose 1,0,0.0,0,0.0
20201208,Forth Valley,Female,80 years and over,8868.0,Dose 1,0,0.0,0,0.0
20201208,Forth Valley,Male,18 - 29,22885.0,Dose 1,5,0.0218483722962639,5,0.0218483722962639
20201208,Forth Valley,Male,18 years and over,119275.0,Dose 1,86,0.0721022846363446,86,0.0721022846363446
20201208,Forth Valley,Male,30 - 39,17614.0,Dose 1,13,0.0738049278982627,13,0.0738049278982627
20201208,Forth Valley,Male,40 - 49,19675.0,Dose 1,25,0.127064803049555,25,0.127064803049555
20201208,Forth Valley,Male,50 - 54,11768.0,Dose 1,19,0.161454792658056,19,0.161454792658056
20201208,Forth Valley,Male,55 - 59,11174.0,Dose 1,13,0.116341507069984,13,0.116341507069984
20201208,Forth Valley,Male,60 - 64,9290.0,Dose 1,10,0.107642626480086,10,0.107642626480086
20201208,Forth Valley,Male,65 - 69,8229.0,Dose 1,1,0.0121521448535667,1,0.0121521448535667
20201208,Forth Valley,Male,70 - 74,7738.0,Dose 1,0,0.0,0,0.0
20201208,Forth Valley,Male,75 - 79,5040.0,Dose 1,0,0.0,0,0.0
20201208,Forth Valley,Male,80 years and over,5862.0,Dose 1,0,0.0,0,0.0
20201208,Forth Valley,Total,18 - 29,45377.0,Dose 1,53,0.11679925953677,53,0.11679925953677
20201208,Forth Valley,Total,18 years and over,247731.0,Dose 1,527,0.21273074423467397,527,0.21273074423467397
20201208,Forth Valley,Total,30 - 39,36602.0,Dose 1,106,0.289601661111415,106,0.289601661111415
20201208,Forth Valley,Total,40 - 49,40675.0,Dose 1,138,0.33927473878303605,138,0.33927473878303605
20201208,Forth Valley,Total,50 - 54,24090.0,Dose 1,76,0.315483603154836,76,0.315483603154836
20201208,Forth Valley,Total,50 years and over,125077.0,Dose 1,230,0.18388672577692103,230,0.18388672577692103
20201208,Forth Valley,Total,55 - 59,22686.0,Dose 1,94,0.41435246407476,94,0.41435246407476
20201208,Forth Valley,Total,60 - 64,19127.0,Dose 1,51,0.266638782872379,51,0.266638782872379
20201208,Forth Valley,Total,65 - 69,17097.0,Dose 1,8,0.0467918348248231,8,0.0467918348248231
20201208,Forth Valley,Total,70 - 74,16125.0,Dose 1,1,0.0062015503875969,1,0.0062015503875969
20201208,Forth Valley,Total,75 - 79,11222.0,Dose 1,0,0.0,0,0.0
20201208,Forth Valley,Total,80 years and over,14730.0,Dose 1,0,0.0,0,0.0
20201208,Forth Valley,Female,18 - 29,22492.0,Dose 2,0,0.0,0,0.0
20201208,Forth Valley,Female,18 years and over,128456.0,Dose 2,0,0.0,0,0.0
20201208,Forth Valley,Female,30 - 39,18988.0,Dose 2,0,0.0,0,0.0
20201208,Forth Valley,Female,40 - 49,21000.0,Dose 2,0,0.0,0,0.0
20201208,Forth Valley,Female,50 - 54,12322.0,Dose 2,0,0.0,0,0.0
20201208,Forth Valley,Female,55 - 59,11512.0,Dose 2,0,0.0,0,0.0
20201208,Forth Valley,Female,60 - 64,9837.0,Dose 2,0,0.0,0,0.0
20201208,Forth Valley,Female,65 - 69,8868.0,Dose 2,0,0.0,0,0.0
20201208,Forth Valley,Female,70 - 74,8387.0,Dose 2,0,0.0,0,0.0
20201208,Forth Valley,Female,75 - 79,6182.0,Dose 2,0,0.0,0,0.0
20201208,Forth Valley,Female,80 years and over,8868.0,Dose 2,0,0.0,0,0.0
20201208,Forth Valley,Male,18 - 29,22885.0,Dose 2,0,0.0,0,0.0
20201208,Forth Valley,Male,18 years and over,119275.0,Dose 2,0,0.0,0,0.0
20201208,Forth Valley,Male,30 - 39,17614.0,Dose 2,0,0.0,0,0.0
20201208,Forth Valley,Male,40 - 49,19675.0,Dose 2,0,0.0,0,0.0
20201208,Forth Valley,Male,50 - 54,11768.0,Dose 2,0,0.0,0,0.0
20201208,Forth Valley,Male,55 - 59,11174.0,Dose 2,0,0.0,0,0.0
20201208,Forth Valley,Male,60 - 64,9290.0,Dose 2,0,0.0,0,0.0
20201208,Forth Valley,Male,65 - 69,8229.0,Dose 2,0,0.0,0,0.0
20201208,Forth Valley,Male,70 - 74,7738.0,Dose 2,0,0.0,0,0.0
20201208,Forth Valley,Male,75 - 79,5040.0,Dose 2,0,0.0,0,0.0
20201208,Forth Valley,Male,80 years and over,5862.0,Dose 2,0,0.0,0,0.0
20201208,Forth Valley,Total,18 - 29,45377.0,Dose 2,0,0.0,0,0.0
20201208,Forth Valley,Total,18 years and over,247731.0,Dose 2,0,0.0,0,0.0
20201208,Forth Valley,Total,30 - 39,36602.0,Dose 2,0,0.0,0,0.0
20201208,Forth Valley,Total,40 - 49,40675.0,Dose 2,0,0.0,0,0.0
20201208,Forth Valley,Total,50 - 54,24090.0,Dose 2,0,0.0,0,0.0
20201208,Forth Valley,Total,50 years and over,125077.0,Dose 2,0,0.0,0,0.0
20201208,Forth Valley,Total,55 - 59,22686.0,Dose 2,0,0.0,0,0.0
20201208,Forth Valley,Total,60 - 64,19127.0,Dose 2,0,0.0,0,0.0
20201208,Forth Valley,Total,65 - 69,17097.0,Dose 2,0,0.0,0,0.0
20201208,Forth Valley,Total,70 - 74,16125.0,Dose 2,0,0.0,0,0.0
20201208,Forth Valley,Total,75 - 79,11222.0,Dose 2,0,0.0,0,0.0
20201208,Forth Valley,Total,80 years and over,14730.0,Dose 2,0,0.0,0,0.0
