Date,HBName,Sex,AgeGroup,Population,Dose,NumberVaccinated,PercentCoverage,CumulativeNumberVaccinated,CumulativePercentCoverage
20201208,Grampian,Female,18 - 29,43075.0,Dose 1,3,0.00696459663377829,3,0.00696459663377829
20201208,Grampian,Female,18 years and over,239893.0,Dose 1,30,0.0125055754023669,30,0.0125055754023669
20201208,Grampian,Female,30 - 39,40402.0,Dose 1,4,0.00990049997524875,4,0.00990049997524875
20201208,Grampian,Female,40 - 49,38030.0,Dose 1,16,0.0420720483828556,16,0.0420720483828556
20201208,Grampian,Female,50 - 54,21205.0,Dose 1,4,0.0188634755953784,4,0.0188634755953784
20201208,Grampian,Female,55 - 59,20497.0,Dose 1,2,0.00975752549153535,2,0.00975752549153535
20201208,Grampian,Female,60 - 64,18202.0,Dose 1,1,0.00549390176903637,1,0.00549390176903637
20201208,Grampian,Female,65 - 69,15973.0,Dose 1,0,0.0,0,0.0
20201208,Grampian,Female,70 - 74,15050.0,Dose 1,0,0.0,0,0.0
20201208,Grampian,Female,75 - 79,10794.0,Dose 1,0,0.0,0,0.0
20201208,Grampian,Female,80 years and over,16665.0,Dose 1,0,0.0,0,0.0
20201208,Grampian,Male,18 - 29,45244.0,Dose 1,0,0.0,0,0.0
20201208,Grampian,Male,18 years and over,233914.0,Dose 1,0,0.0,0,0.0
20201208,Grampian,Male,30 - 39,41958.0,Dose 1,0,0.0,0,0.0
20201208,Grampian,Male,40 - 49,38471.0,Dose 1,0,0.0,0,0.0
20201208,Grampian,Male,50 - 54,20742.0,Dose 1,0,0.0,0,0.0
20201208,Grampian,Male,55 - 59,20118.0,Dose 1,0,0.0,0,0.0
20201208,Grampian,Male,60 - 64,17917.0,Dose 1,0,0.0,0,0.0
20201208,Grampian,Male,65 - 69,15498.0,Dose 1,0,0.0,0,0.0
20201208,Grampian,Male,70 - 74,14003.0,Dose 1,0,0.0,0,0.0
20201208,Grampian,Male,75 - 79,9031.0,Dose 1,0,0.0,0,0.0
20201208,Grampian,Male,80 years and over,10932.0,Dose 1,0,0.0,0,0.0
20201208,Grampian,Total,18 - 29,88319.0,Dose 1,3,0.00339677759032598,3,0.00339677759032598
20201208,Grampian,Total,18 years and over,473807.0,Dose 1,30,0.00633169201805799,30,0.00633169201805799
20201208,Grampian,Total,30 - 39,82360.0,Dose 1,4,0.00485672656629432,4,0.00485672656629432
20201208,Grampian,Total,40 - 49,76501.0,Dose 1,16,0.0209147592841924,16,0.0209147592841924
20201208,Grampian,Total,50 - 54,41947.0,Dose 1,4,0.00953584284930984,4,0.00953584284930984
20201208,Grampian,Total,50 years and over,226627.0,Dose 1,7,0.00308877582988788,7,0.00308877582988788
20201208,Grampian,Total,55 - 59,40615.0,Dose 1,2,0.00492428905576757,2,0.00492428905576757
20201208,Grampian,Total,60 - 64,36119.0,Dose 1,1,0.0027686259309504697,1,0.0027686259309504697
20201208,Grampian,Total,65 - 69,31471.0,Dose 1,0,0.0,0,0.0
20201208,Grampian,Total,70 - 74,29053.0,Dose 1,0,0.0,0,0.0
20201208,Grampian,Total,75 - 79,19825.0,Dose 1,0,0.0,0,0.0
