Date,HBName,Sex,AgeGroup,Population,Dose,NumberVaccinated,PercentCoverage,CumulativeNumberVaccinated,CumulativePercentCoverage
20201208,Greater Glasgow and Clyde,Female,18 - 29,105579.0,Dose 1,20,0.0189431610452836,20,0.0189431610452836
20201208,Greater Glasgow and Clyde,Female,18 years and over,500789.0,Dose 1,84,0.0167735313675021,84,0.0167735313675021
20201208,Greater Glasgow and Clyde,Female,30 - 39,86511.0,Dose 1,17,0.0196506802603137,17,0.0196506802603137
20201208,Greater Glasgow and Clyde,Female,40 - 49,73707.0,Dose 1,15,0.0203508486303879,15,0.0203508486303879
20201208,Greater Glasgow and Clyde,Female,50 - 54,43963.0,Dose 1,6,0.0136478402292837,6,0.0136478402292837
20201208,Greater Glasgow and Clyde,Female,55 - 59,43239.0,Dose 1,17,0.0393163579176207,17,0.0393163579176207
20201208,Greater Glasgow and Clyde,Female,60 - 64,36860.0,Dose 1,8,0.021703743895822,8,0.021703743895822
20201208,Greater Glasgow and Clyde,Female,65 - 69,29357.0,Dose 1,1,0.00340634260993971,1,0.00340634260993971
20201208,Greater Glasgow and Clyde,Female,70 - 74,26929.0,Dose 1,0,0.0,0,0.0
20201208,Greater Glasgow and Clyde,Female,75 - 79,20492.0,Dose 1,0,0.0,0,0.0
20201208,Greater Glasgow and Clyde,Female,80 years and over,34152.0,Dose 1,0,0.0,0,0.0
20201208,Greater Glasgow and Clyde,Male,18 - 29,107230.0,Dose 1,12,0.0111908980695701,12,0.0111908980695701
20201208,Greater Glasgow and Clyde,Male,18 years and over,461715.0,Dose 1,45,0.009746272050940509,45,0.009746272050940509
20201208,Greater Glasgow and Clyde,Male,30 - 39,87822.0,Dose 1,18,0.0204960032793605,18,0.0204960032793605
20201208,Greater Glasgow and Clyde,Male,40 - 49,69206.0,Dose 1,9,0.0130046527757709,9,0.0130046527757709
20201208,Greater Glasgow and Clyde,Male,50 - 54,39626.0,Dose 1,2,0.00504719123807601,2,0.00504719123807601
20201208,Greater Glasgow and Clyde,Male,55 - 59,39191.0,Dose 1,3,0.00765481870837692,3,0.00765481870837692
20201208,Greater Glasgow and Clyde,Male,60 - 64,33618.0,Dose 1,1,0.00297459694211434,1,0.00297459694211434
20201208,Greater Glasgow and Clyde,Male,65 - 69,26902.0,Dose 1,0,0.0,0,0.0
20201208,Greater Glasgow and Clyde,Male,70 - 74,23247.0,Dose 1,0,0.0,0,0.0
20201208,Greater Glasgow and Clyde,Male,75 - 79,15606.0,Dose 1,0,0.0,0,0.0
20201208,Greater Glasgow and Clyde,Male,80 years and over,19267.0,Dose 1,0,0.0,0,0.0
20201208,Greater Glasgow and Clyde,Total,18 - 29,212809.0,Dose 1,32,0.0150369580233919,32,0.0150369580233919
20201208,Greater Glasgow and Clyde,Total,18 years and over,962504.0,Dose 1,129,0.0134025417037228,129,0.0134025417037228
20201208,Greater Glasgow and Clyde,Total,30 - 39,174333.0,Dose 1,35,0.020076520222792,35,0.020076520222792
20201208,Greater Glasgow and Clyde,Total,40 - 49,142913.0,Dose 1,24,0.0167934337673969,24,0.0167934337673969
20201208,Greater Glasgow and Clyde,Total,50 - 54,83589.0,Dose 1,8,0.0095706372848102,8,0.0095706372848102
20201208,Greater Glasgow and Clyde,Total,50 years and over,432449.0,Dose 1,38,0.00878716334180447,38,0.00878716334180447
20201208,Greater Glasgow and Clyde,Total,55 - 59,82430.0,Dose 1,20,0.024263011039669997,20,0.024263011039669997
20201208,Greater Glasgow and Clyde,Total,60 - 64,70478.0,Dose 1,9,0.012769942393371,9,0.012769942393371
20201208,Greater Glasgow and Clyde,Total,65 - 69,56259.0,Dose 1,1,0.0017774933788371602,1,0.0017774933788371602
20201208,Greater Glasgow and Clyde,Total,70 - 74,50176.0,Dose 1,0,0.0,0,0.0
20201208,Greater Glasgow and Clyde,Total,75 - 79,36098.0,Dose 1,0,0.0,0,0.0
20201208,Greater Glasgow and Clyde,Total,80 years and over,53419.0,Dose 1,0,0.0,0,0.0
20201208,Greater Glasgow and Clyde,Female,18 - 29,105579.0,Dose 2,0,0.0,0,0.0
20201208,Greater Glasgow and Clyde,Female,18 years and over,500789.0,Dose 2,0,0.0,0,0.0
20201208,Greater Glasgow and Clyde,Female,30 - 39,86511.0,Dose 2,0,0.0,0,0.0
20201208,Greater Glasgow and Clyde,Female,40 - 49,73707.0,Dose 2,0,0.0,0,0.0
20201208,Greater Glasgow and Clyde,Female,50 - 54,43963.0,Dose 2,0,0.0,0,0.0
20201208,Greater Glasgow and Clyde,Female,55 - 59,43239.0,Dose 2,0,0.0,0,0.0
20201208,Greater Glasgow and Clyde,Female,60 - 64,36860.0,Dose 2,0,0.0,0,0.0
20201208,Greater Glasgow and Clyde,Female,65 - 69,29357.0,Dose 2,0,0.0,0,0.0
20201208,Greater Glasgow and Clyde,Female,70 - 74,26929.0,Dose 2,0,0.0,0,0.0
20201208,Greater Glasgow and Clyde,Female,75 - 79,20492.0,Dose 2,0,0.0,0,0.0
20201208,Greater Glasgow and Clyde,Female,80 years and over,34152.0,Dose 2,0,0.0,0,0.0
20201208,Greater Glasgow and Clyde,Male,18 - 29,107230.0,Dose 2,0,0.0,0,0.0
20201208,Greater Glasgow and Clyde,Male,18 years and over,461715.0,Dose 2,0,0.0,0,0.0
20201208,Greater Glasgow and Clyde,Male,30 - 39,87822.0,Dose 2,0,0.0,0,0.0
20201208,Greater Glasgow and Clyde,Male,40 - 49,69206.0,Dose 2,0,0.0,0,0.0
20201208,Greater Glasgow and Clyde,Male,50 - 54,39626.0,Dose 2,0,0.0,0,0.0
20201208,Greater Glasgow and Clyde,Male,55 - 59,39191.0,Dose 2,0,0.0,0,0.0
20201208,Greater Glasgow and Clyde,Male,60 - 64,33618.0,Dose 2,0,0.0,0,0.0
20201208,Greater Glasgow and Clyde,Male,65 - 69,26902.0,Dose 2,0,0.0,0,0.0
20201208,Greater Glasgow and Clyde,Male,70 - 74,23247.0,Dose 2,0,0.0,0,0.0
20201208,Greater Glasgow and Clyde,Male,75 - 79,15606.0,Dose 2,0,0.0,0,0.0
20201208,Greater Glasgow and Clyde,Male,80 years and over,19267.0,Dose 2,0,0.0,0,0.0
20201208,Greater Glasgow and Clyde,Total,18 - 29,212809.0,Dose 2,0,0.0,0,0.0
20201208,Greater Glasgow and Clyde,Total,18 years and over,962504.0,Dose 2,0,0.0,0,0.0
20201208,Greater Glasgow and Clyde,Total,30 - 39,174333.0,Dose 2,0,0.0,0,0.0
20201208,Greater Glasgow and Clyde,Total,40 - 49,142913.0,Dose 2,0,0.0,0,0.0
20201208,Greater Glasgow and Clyde,Total,50 - 54,83589.0,Dose 2,0,0.0,0,0.0
20201208,Greater Glasgow and Clyde,Total,50 years and over,432449.0,Dose 2,0,0.0,0,0.0
20201208,Greater Glasgow and Clyde,Total,55 - 59,82430.0,Dose 2,0,0.0,0,0.0
20201208,Greater Glasgow and Clyde,Total,60 - 64,70478.0,Dose 2,0,0.0,0,0.0
20201208,Greater Glasgow and Clyde,Total,65 - 69,56259.0,Dose 2,0,0.0,0,0.0
20201208,Greater Glasgow and Clyde,Total,70 - 74,50176.0,Dose 2,0,0.0,0,0.0
20201208,Greater Glasgow and Clyde,Total,75 - 79,36098.0,Dose 2,0,0.0,0,0.0
20201208,Greater Glasgow and Clyde,Total,80 years and over,53419.0,Dose 2,0,0.0,0,0.0
20201209,Greater Glasgow and Clyde,Female,18 - 29,105579.0,Dose 1,41,0.0388334801428314,61,0.05777664118811499
20201209,Greater Glasgow and Clyde,Female,18 years and over,500789.0,Dose 1,190,0.0379401304741119,274,0.0547136618416139
20201209,Greater Glasgow and Clyde,Female,30 - 39,86511.0,Dose 1,38,0.0439250499936424,55,0.0635757302539561
20201209,Greater Glasgow and Clyde,Female,40 - 49,73707.0,Dose 1,49,0.0664794388592671,64,0.086830287489655
20201209,Greater Glasgow and Clyde,Female,50 - 54,43963.0,Dose 1,28,0.0636899210699907,34,0.0773377612992744
20201209,Greater Glasgow and Clyde,Female,55 - 59,43239.0,Dose 1,20,0.0462545387266126,37,0.0855708966442332
20201209,Greater Glasgow and Clyde,Female,60 - 64,36860.0,Dose 1,14,0.0379815518176886,22,0.0596852957135106
20201209,Greater Glasgow and Clyde,Female,65 - 69,29357.0,Dose 1,0,0.0,1,0.00340634260993971
20201209,Greater Glasgow and Clyde,Female,70 - 74,26929.0,Dose 1,0,0.0,0,0.0
20201209,Greater Glasgow and Clyde,Female,75 - 79,20492.0,Dose 1,0,0.0,0,0.0
20201209,Greater Glasgow and Clyde,Female,80 years and over,34152.0,Dose 1,0,0.0,0,0.0
20201209,Greater Glasgow and Clyde,Male,18 - 29,107230.0,Dose 1,16,0.0149211974260934,28,0.0261120954956635
20201209,Greater Glasgow and Clyde,Male,18 years and over,461715.0,Dose 1,96,0.0207920470420064,141,0.030538319092947002
20201209,Greater Glasgow and Clyde,Male,30 - 39,87822.0,Dose 1,24,0.0273280043724807,42,0.0478240076518412
20201209,Greater Glasgow and Clyde,Male,40 - 49,69206.0,Dose 1,27,0.0390139583273127,36,0.0520186111030836
20201209,Greater Glasgow and Clyde,Male,50 - 54,39626.0,Dose 1,16,0.0403775299046081,18,0.0454247211426841
20201209,Greater Glasgow and Clyde,Male,55 - 59,39191.0,Dose 1,5,0.0127580311806282,8,0.0204128498890051
20201209,Greater Glasgow and Clyde,Male,60 - 64,33618.0,Dose 1,6,0.0178475816526861,7,0.0208221785948004
20201209,Greater Glasgow and Clyde,Male,65 - 69,26902.0,Dose 1,1,0.0037171957475280602,1,0.0037171957475280602
20201209,Greater Glasgow and Clyde,Male,70 - 74,23247.0,Dose 1,1,0.004301630317890479,1,0.004301630317890479
20201209,Greater Glasgow and Clyde,Male,75 - 79,15606.0,Dose 1,0,0.0,0,0.0
20201209,Greater Glasgow and Clyde,Male,80 years and over,19267.0,Dose 1,0,0.0,0,0.0
20201209,Greater Glasgow and Clyde,Total,18 - 29,212809.0,Dose 1,57,0.0267845814791668,89,0.0418215395025586
20201209,Greater Glasgow and Clyde,Total,18 years and over,962504.0,Dose 1,286,0.0297141622268583,415,0.0431167039305811
20201209,Greater Glasgow and Clyde,Total,30 - 39,174333.0,Dose 1,62,0.0355641215375173,97,0.0556406417603093
20201209,Greater Glasgow and Clyde,Total,40 - 49,142913.0,Dose 1,76,0.0531792069300903,100,0.0699726406974873
20201209,Greater Glasgow and Clyde,Total,50 - 54,83589.0,Dose 1,44,0.0526385050664561,52,0.0622091423512663
20201209,Greater Glasgow and Clyde,Total,50 years and over,432449.0,Dose 1,91,0.021042943792216,129,0.0298301071340204
20201209,Greater Glasgow and Clyde,Total,55 - 59,82430.0,Dose 1,25,0.0303287637995875,45,0.0545917748392575
20201209,Greater Glasgow and Clyde,Total,60 - 64,70478.0,Dose 1,20,0.0283776497630466,29,0.0411475921564176
20201209,Greater Glasgow and Clyde,Total,65 - 69,56259.0,Dose 1,1,0.0017774933788371602,2,0.0035549867576743295
20201209,Greater Glasgow and Clyde,Total,70 - 74,50176.0,Dose 1,1,0.00199298469387755,1,0.00199298469387755
20201209,Greater Glasgow and Clyde,Total,75 - 79,36098.0,Dose 1,0,0.0,0,0.0
20201209,Greater Glasgow and Clyde,Total,80 years and over,53419.0,Dose 1,0,0.0,0,0.0
20201209,Greater Glasgow and Clyde,Female,18 - 29,105579.0,Dose 2,0,0.0,0,0.0
20201209,Greater Glasgow and Clyde,Female,18 years and over,500789.0,Dose 2,0,0.0,0,0.0
20201209,Greater Glasgow and Clyde,Female,30 - 39,86511.0,Dose 2,0,0.0,0,0.0
20201209,Greater Glasgow and Clyde,Female,40 - 49,73707.0,Dose 2,0,0.0,0,0.0
20201209,Greater Glasgow and Clyde,Female,50 - 54,43963.0,Dose 2,0,0.0,0,0.0
20201209,Greater Glasgow and Clyde,Female,55 - 59,43239.0,Dose 2,0,0.0,0,0.0
20201209,Greater Glasgow and Clyde,Female,60 - 64,36860.0,Dose 2,0,0.0,0,0.0
20201209,Greater Glasgow and Clyde,Female,65 - 69,29357.0,Dose 2,0,0.0,0,0.0
20201209,Greater Glasgow and Clyde,Female,70 - 74,26929.0,Dose 2,0,0.0,0,0.0
20201209,Greater Glasgow and Clyde,Female,75 - 79,20492.0,Dose 2,0,0.0,0,0.0
20201209,Greater Glasgow and Clyde,Female,80 years and over,34152.0,Dose 2,0,0.0,0,0.0
20201209,Greater Glasgow and Clyde,Male,18 - 29,107230.0,Dose 2,0,0.0,0,0.0
20201209,Greater Glasgow and Clyde,Male,18 years and over,461715.0,Dose 2,0,0.0,0,0.0
20201209,Greater Glasgow and Clyde,Male,30 - 39,87822.0,Dose 2,0,0.0,0,0.0
20201209,Greater Glasgow and Clyde,Male,40 - 49,69206.0,Dose 2,0,0.0,0,0.0
20201209,Greater Glasgow and Clyde,Male,50 - 54,39626.0,Dose 2,0,0.0,0,0.0
