Date,HBName,Sex,AgeGroup,Population,Dose,NumberVaccinated,PercentCoverage,CumulativeNumberVaccinated,CumulativePercentCoverage
20201208,Lanarkshire,Female,18 - 29,45525.0,Dose 1,8,0.0175727622185612,8,0.0175727622185612
20201208,Lanarkshire,Female,18 years and over,276645.0,Dose 1,54,0.0195196009326032,54,0.0195196009326032
20201208,Lanarkshire,Female,30 - 39,43463.0,Dose 1,15,0.0345121137519269,15,0.0345121137519269
20201208,Lanarkshire,Female,40 - 49,44847.0,Dose 1,14,0.0312172497602961,14,0.0312172497602961
20201208,Lanarkshire,Female,50 - 54,26637.0,Dose 1,6,0.0225250591282802,6,0.0225250591282802
20201208,Lanarkshire,Female,55 - 59,25836.0,Dose 1,7,0.0270939773958817,7,0.0270939773958817
20201208,Lanarkshire,Female,60 - 64,22610.0,Dose 1,2,0.00884564352056612,2,0.00884564352056612
20201208,Lanarkshire,Female,65 - 69,19126.0,Dose 1,1,0.00522848478510928,1,0.00522848478510928
20201208,Lanarkshire,Female,70 - 74,17231.0,Dose 1,0,0.0,0,0.0
20201208,Lanarkshire,Female,75 - 79,12905.0,Dose 1,0,0.0,0,0.0
20201208,Lanarkshire,Female,80 years and over,18465.0,Dose 1,1,0.00541565123206066,1,0.00541565123206066
20201208,Lanarkshire,Male,18 - 29,46966.0,Dose 1,2,0.00425839969339522,2,0.00425839969339522
20201208,Lanarkshire,Male,18 years and over,252618.0,Dose 1,14,0.00554196454726108,14,0.00554196454726108
20201208,Lanarkshire,Male,30 - 39,40037.0,Dose 1,6,0.0149861378225142,6,0.0149861378225142
20201208,Lanarkshire,Male,40 - 49,42153.0,Dose 1,2,0.0047446207861836604,2,0.0047446207861836604
20201208,Lanarkshire,Male,50 - 54,24946.0,Dose 1,1,0.00400865870279804,1,0.00400865870279804
20201208,Lanarkshire,Male,55 - 59,24045.0,Dose 1,2,0.0083177375753795,2,0.0083177375753795
20201208,Lanarkshire,Male,60 - 64,20393.0,Dose 1,0,0.0,0,0.0
20201208,Lanarkshire,Male,65 - 69,17422.0,Dose 1,0,0.0,0,0.0
20201208,Lanarkshire,Male,70 - 74,15218.0,Dose 1,0,0.0,0,0.0
20201208,Lanarkshire,Male,75 - 79,10173.0,Dose 1,0,0.0,0,0.0
20201208,Lanarkshire,Male,80 years and over,11265.0,Dose 1,1,0.00887705281846427,1,0.00887705281846427
20201208,Lanarkshire,Total,18 - 29,92491.0,Dose 1,10,0.0108118627758376,10,0.0108118627758376
20201208,Lanarkshire,Total,18 years and over,529263.0,Dose 1,68,0.0128480547478286,68,0.0128480547478286
20201208,Lanarkshire,Total,30 - 39,83500.0,Dose 1,21,0.0251497005988024,21,0.0251497005988024
20201208,Lanarkshire,Total,40 - 49,87000.0,Dose 1,16,0.0183908045977011,16,0.0183908045977011
20201208,Lanarkshire,Total,50 - 54,51583.0,Dose 1,7,0.0135703623286742,7,0.0135703623286742
20201208,Lanarkshire,Total,50 years and over,266272.0,Dose 1,21,0.00788667227496695,21,0.00788667227496695
20201208,Lanarkshire,Total,55 - 59,49881.0,Dose 1,9,0.0180429422024418,9,0.0180429422024418
20201208,Lanarkshire,Total,60 - 64,43003.0,Dose 1,2,0.00465083831360603,2,0.00465083831360603
20201208,Lanarkshire,Total,65 - 69,36548.0,Dose 1,1,0.0027361278318923103,1,0.0027361278318923103
20201208,Lanarkshire,Total,70 - 74,32449.0,Dose 1,0,0.0,0,0.0
20201208,Lanarkshire,Total,75 - 79,23078.0,Dose 1,0,0.0,0,0.0
20201208,Lanarkshire,Total,80 years and over,29730.0,Dose 1,2,0.0067272115708039,2,0.0067272115708039
20201208,Lanarkshire,Female,18 - 29,45525.0,Dose 2,0,0.0,0,0.0
20201208,Lanarkshire,Female,18 years and over,276645.0,Dose 2,0,0.0,0,0.0
20201208,Lanarkshire,Female,30 - 39,43463.0,Dose 2,0,0.0,0,0.0
20201208,Lanarkshire,Female,40 - 49,44847.0,Dose 2,0,0.0,0,0.0
20201208,Lanarkshire,Female,50 - 54,26637.0,Dose 2,0,0.0,0,0.0
20201208,Lanarkshire,Female,55 - 59,25836.0,Dose 2,0,0.0,0,0.0
20201208,Lanarkshire,Female,60 - 64,22610.0,Dose 2,0,0.0,0,0.0
20201208,Lanarkshire,Female,65 - 69,19126.0,Dose 2,0,0.0,0,0.0
20201208,Lanarkshire,Female,70 - 74,17231.0,Dose 2,0,0.0,0,0.0
20201208,Lanarkshire,Female,75 - 79,12905.0,Dose 2,0,0.0,0,0.0
20201208,Lanarkshire,Female,80 years and over,18465.0,Dose 2,0,0.0,0,0.0
20201208,Lanarkshire,Male,18 - 29,46966.0,Dose 2,0,0.0,0,0.0
20201208,Lanarkshire,Male,18 years and over,252618.0,Dose 2,0,0.0,0,0.0
20201208,Lanarkshire,Male,30 - 39,40037.0,Dose 2,0,0.0,0,0.0
20201208,Lanarkshire,Male,40 - 49,42153.0,Dose 2,0,0.0,0,0.0
20201208,Lanarkshire,Male,50 - 54,24946.0,Dose 2,0,0.0,0,0.0
20201208,Lanarkshire,Male,55 - 59,24045.0,Dose 2,0,0.0,0,0.0
20201208,Lanarkshire,Male,60 - 64,20393.0,Dose 2,0,0.0,0,0.0
20201208,Lanarkshire,Male,65 - 69,17422.0,Dose 2,0,0.0,0,0.0
20201208,Lanarkshire,Male,70 - 74,15218.0,Dose 2,0,0.0,0,0.0
20201208,Lanarkshire,Male,75 - 79,10173.0,Dose 2,0,0.0,0,0.0
20201208,Lanarkshire,Male,80 years and over,11265.0,Dose 2,0,0.0,0,0.0
20201208,Lanarkshire,Total,18 - 29,92491.0,Dose 2,0,0.0,0,0.0
20201208,Lanarkshire,Total,18 years and over,529263.0,Dose 2,0,0.0,0,0.0
20201208,Lanarkshire,Total,30 - 39,83500.0,Dose 2,0,0.0,0,0.0
20201208,Lanarkshire,Total,40 - 49,87000.0,Dose 2,0,0.0,0,0.0
20201208,Lanarkshire,Total,50 - 54,51583.0,Dose 2,0,0.0,0,0.0
20201208,Lanarkshire,Total,50 years and over,266272.0,Dose 2,0,0.0,0,0.0
20201208,Lanarkshire,Total,55 - 59,49881.0,Dose 2,0,0.0,0,0.0
20201208,Lanarkshire,Total,60 - 64,43003.0,Dose 2,0,0.0,0,0.0
20201208,Lanarkshire,Total,65 - 69,36548.0,Dose 2,0,0.0,0,0.0
20201208,Lanarkshire,Total,70 - 74,32449.0,Dose 2,0,0.0,0,0.0
20201208,Lanarkshire,Total,75 - 79,23078.0,Dose 2,0,0.0,0,0.0
20201208,Lanarkshire,Total,80 years and over,29730.0,Dose 2,0,0.0,0,0.0
20201209,Lanarkshire,Female,18 - 29,45525.0,Dose 1,23,0.0505216913783635,31,0.0680944535969248
20201209,Lanarkshire,Female,18 years and over,276645.0,Dose 1,125,0.0451842614180629,179,0.064703862350666
20201209,Lanarkshire,Female,30 - 39,43463.0,Dose 1,30,0.0690242275038538,45,0.103536341255781
20201209,Lanarkshire,Female,40 - 49,44847.0,Dose 1,30,0.066894106629206,44,0.0981113563895021
20201209,Lanarkshire,Female,50 - 54,26637.0,Dose 1,16,0.0600668243420806,22,0.0825918834703608
20201209,Lanarkshire,Female,55 - 59,25836.0,Dose 1,17,0.0657996593899984,24,0.0928936367858802
20201209,Lanarkshire,Female,60 - 64,22610.0,Dose 1,7,0.0309597523219814,9,0.0398053958425475
20201209,Lanarkshire,Female,65 - 69,19126.0,Dose 1,2,0.0104569695702186,3,0.0156854543553278
20201209,Lanarkshire,Female,70 - 74,17231.0,Dose 1,0,0.0,0,0.0
20201209,Lanarkshire,Female,75 - 79,12905.0,Dose 1,0,0.0,0,0.0
20201209,Lanarkshire,Female,80 years and over,18465.0,Dose 1,0,0.0,1,0.00541565123206066
