Date,HBName,Sex,AgeGroup,Population,Dose,NumberVaccinated,PercentCoverage,CumulativeNumberVaccinated,CumulativePercentCoverage
20201208,Orkney,Female,18 - 29,1210.0,Dose 1,0,0.0,0,0.0
20201208,Orkney,Female,18 years and over,9238.0,Dose 1,0,0.0,0,0.0
20201208,Orkney,Female,30 - 39,1279.0,Dose 1,0,0.0,0,0.0
20201208,Orkney,Female,40 - 49,1412.0,Dose 1,0,0.0,0,0.0
20201208,Orkney,Female,50 - 54,923.0,Dose 1,0,0.0,0,0.0
20201208,Orkney,Female,55 - 59,842.0,Dose 1,0,0.0,0,0.0
20201208,Orkney,Female,60 - 64,807.0,Dose 1,0,0.0,0,0.0
20201208,Orkney,Female,65 - 69,730.0,Dose 1,0,0.0,0,0.0
20201208,Orkney,Female,70 - 74,708.0,Dose 1,0,0.0,0,0.0
20201208,Orkney,Female,75 - 79,589.0,Dose 1,0,0.0,0,0.0
20201208,Orkney,Female,80 years and over,738.0,Dose 1,0,0.0,0,0.0
20201208,Orkney,Male,18 - 29,1386.0,Dose 1,0,0.0,0,0.0
20201208,Orkney,Male,18 years and over,9008.0,Dose 1,0,0.0,0,0.0
20201208,Orkney,Male,30 - 39,1207.0,Dose 1,0,0.0,0,0.0
20201208,Orkney,Male,40 - 49,1272.0,Dose 1,0,0.0,0,0.0
20201208,Orkney,Male,50 - 54,871.0,Dose 1,0,0.0,0,0.0
20201208,Orkney,Male,55 - 59,931.0,Dose 1,0,0.0,0,0.0
20201208,Orkney,Male,60 - 64,800.0,Dose 1,0,0.0,0,0.0
20201208,Orkney,Male,65 - 69,750.0,Dose 1,0,0.0,0,0.0
20201208,Orkney,Male,70 - 74,686.0,Dose 1,0,0.0,0,0.0
20201208,Orkney,Male,75 - 79,514.0,Dose 1,0,0.0,0,0.0
20201208,Orkney,Male,80 years and over,591.0,Dose 1,0,0.0,0,0.0
20201208,Orkney,Total,18 - 29,2596.0,Dose 1,0,0.0,0,0.0
20201208,Orkney,Total,18 years and over,18246.0,Dose 1,0,0.0,0,0.0
20201208,Orkney,Total,30 - 39,2486.0,Dose 1,0,0.0,0,0.0
20201208,Orkney,Total,40 - 49,2684.0,Dose 1,0,0.0,0,0.0
20201208,Orkney,Total,50 - 54,1794.0,Dose 1,0,0.0,0,0.0
20201208,Orkney,Total,50 years and over,10480.0,Dose 1,0,0.0,0,0.0
20201208,Orkney,Total,55 - 59,1773.0,Dose 1,0,0.0,0,0.0
20201208,Orkney,Total,60 - 64,1607.0,Dose 1,0,0.0,0,0.0
20201208,Orkney,Total,65 - 69,1480.0,Dose 1,0,0.0,0,0.0
20201208,Orkney,Total,70 - 74,1394.0,Dose 1,0,0.0,0,0.0
20201208,Orkney,Total,75 - 79,1103.0,Dose 1,0,0.0,0,0.0
20201208,Orkney,Total,80 years and over,1329.0,Dose 1,0,0.0,0,0.0
20201208,Orkney,Female,18 - 29,1210.0,Dose 2,0,0.0,0,0.0
20201208,Orkney,Female,18 years and over,9238.0,Dose 2,0,0.0,0,0.0
20201208,Orkney,Female,30 - 39,1279.0,Dose 2,0,0.0,0,0.0
20201208,Orkney,Female,40 - 49,1412.0,Dose 2,0,0.0,0,0.0
20201208,Orkney,Female,50 - 54,923.0,Dose 2,0,0.0,0,0.0
20201208,Orkney,Female,55 - 59,842.0,Dose 2,0,0.0,0,0.0
20201208,Orkney,Female,60 - 64,807.0,Dose 2,0,0.0,0,0.0
20201208,Orkney,Female,65 - 69,730.0,Dose 2,0,0.0,0,0.0
20201208,Orkney,Female,70 - 74,708.0,Dose 2,0,0.0,0,0.0
20201208,Orkney,Female,75 - 79,589.0,Dose 2,0,0.0,0,0.0
20201208,Orkney,Female,80 years and over,738.0,Dose 2,0,0.0,0,0.0
20201208,Orkney,Male,18 - 29,1386.0,Dose 2,0,0.0,0,0.0
20201208,Orkney,Male,18 years and over,9008.0,Dose 2,0,0.0,0,0.0
20201208,Orkney,Male,30 - 39,1207.0,Dose 2,0,0.0,0,0.0
20201208,Orkney,Male,40 - 49,1272.0,Dose 2,0,0.0,0,0.0
20201208,Orkney,Male,50 - 54,871.0,Dose 2,0,0.0,0,0.0
20201208,Orkney,Male,55 - 59,931.0,Dose 2,0,0.0,0,0.0
20201208,Orkney,Male,60 - 64,800.0,Dose 2,0,0.0,0,0.0
20201208,Orkney,Male,65 - 69,750.0,Dose 2,0,0.0,0,0.0
20201208,Orkney,Male,70 - 74,686.0,Dose 2,0,0.0,0,0.0
20201208,Orkney,Male,75 - 79,514.0,Dose 2,0,0.0,0,0.0
20201208,Orkney,Male,80 years and over,591.0,Dose 2,0,0.0,0,0.0
20201208,Orkney,Total,18 - 29,2596.0,Dose 2,0,0.0,0,0.0
20201208,Orkney,Total,18 years and over,18246.0,Dose 2,0,0.0,0,0.0
20201208,Orkney,Total,30 - 39,2486.0,Dose 2,0,0.0,0,0.0
20201208,Orkney,Total,40 - 49,2684.0,Dose 2,0,0.0,0,0.0
20201208,Orkney,Total,50 - 54,1794.0,Dose 2,0,0.0,0,0.0
20201208,Orkney,Total,50 years and over,10480.0,Dose 2,0,0.0,0,0.0
20201208,Orkney,Total,55 - 59,1773.0,Dose 2,0,0.0,0,0.0
20201208,Orkney,Total,60 - 64,1607.0,Dose 2,0,0.0,0,0.0
20201208,Orkney,Total,65 - 69,1480.0,Dose 2,0,0.0,0,0.0
20201208,Orkney,Total,70 - 74,1394.0,Dose 2,0,0.0,0,0.0
20201208,Orkney,Total,75 - 79,1103.0,Dose 2,0,0.0,0,0.0
20201208,Orkney,Total,80 years and over,1329.0,Dose 2,0,0.0,0,0.0
20201209,Orkney,Female,18 - 29,1210.0,Dose 1,9,0.743801652892562,9,0.743801652892562
20201209,Orkney,Female,18 years and over,9238.0,Dose 1,44,0.47629357003680495,44,0.47629357003680495
20201209,Orkney,Female,30 - 39,1279.0,Dose 1,5,0.390930414386239,5,0.390930414386239
20201209,Orkney,Female,40 - 49,1412.0,Dose 1,10,0.708215297450425,10,0.708215297450425
20201209,Orkney,Female,50 - 54,923.0,Dose 1,9,0.9750812567713979,9,0.9750812567713979
20201209,Orkney,Female,55 - 59,842.0,Dose 1,4,0.475059382422803,4,0.475059382422803
20201209,Orkney,Female,60 - 64,807.0,Dose 1,5,0.619578686493185,5,0.619578686493185
20201209,Orkney,Female,65 - 69,730.0,Dose 1,2,0.273972602739726,2,0.273972602739726
20201209,Orkney,Female,70 - 74,708.0,Dose 1,0,0.0,0,0.0
20201209,Orkney,Female,75 - 79,589.0,Dose 1,0,0.0,0,0.0
20201209,Orkney,Female,80 years and over,738.0,Dose 1,0,0.0,0,0.0
20201209,Orkney,Male,18 - 29,1386.0,Dose 1,1,0.0721500721500721,1,0.0721500721500721
20201209,Orkney,Male,18 years and over,9008.0,Dose 1,6,0.06660746003552401,6,0.06660746003552401
20201209,Orkney,Male,30 - 39,1207.0,Dose 1,1,0.0828500414250207,1,0.0828500414250207
20201209,Orkney,Male,40 - 49,1272.0,Dose 1,2,0.157232704402516,2,0.157232704402516
20201209,Orkney,Male,50 - 54,871.0,Dose 1,1,0.114810562571757,1,0.114810562571757
20201209,Orkney,Male,55 - 59,931.0,Dose 1,0,0.0,0,0.0
20201209,Orkney,Male,60 - 64,800.0,Dose 1,1,0.125,1,0.125
20201209,Orkney,Male,65 - 69,750.0,Dose 1,0,0.0,0,0.0
20201209,Orkney,Male,70 - 74,686.0,Dose 1,0,0.0,0,0.0
20201209,Orkney,Male,75 - 79,514.0,Dose 1,0,0.0,0,0.0
20201209,Orkney,Male,80 years and over,591.0,Dose 1,0,0.0,0,0.0
20201209,Orkney,Total,18 - 29,2596.0,Dose 1,10,0.38520801232665597,10,0.38520801232665597
20201209,Orkney,Total,18 years and over,18246.0,Dose 1,50,0.274032664693631,50,0.274032664693631
20201209,Orkney,Total,30 - 39,2486.0,Dose 1,6,0.24135156878519698,6,0.24135156878519698
20201209,Orkney,Total,40 - 49,2684.0,Dose 1,12,0.447093889716841,12,0.447093889716841
20201209,Orkney,Total,50 - 54,1794.0,Dose 1,10,0.5574136008918621,10,0.5574136008918621
20201209,Orkney,Total,50 years and over,10480.0,Dose 1,22,0.20992366412213698,22,0.20992366412213698
20201209,Orkney,Total,55 - 59,1773.0,Dose 1,4,0.225606316976875,4,0.225606316976875
20201209,Orkney,Total,60 - 64,1607.0,Dose 1,6,0.373366521468575,6,0.373366521468575
20201209,Orkney,Total,65 - 69,1480.0,Dose 1,2,0.135135135135135,2,0.135135135135135
20201209,Orkney,Total,70 - 74,1394.0,Dose 1,0,0.0,0,0.0
