Date,HBName,Sex,AgeGroup,Population,Dose,NumberVaccinated,PercentCoverage,CumulativeNumberVaccinated,CumulativePercentCoverage
20201208,Tayside,Female,18 - 29,32009.0,Dose 1,3,0.00937236402261864,3,0.00937236402261864
20201208,Tayside,Female,18 years and over,176904.0,Dose 1,39,0.0220458553791887,39,0.0220458553791887
20201208,Tayside,Female,30 - 39,26126.0,Dose 1,3,0.0114828140549644,3,0.0114828140549644
20201208,Tayside,Female,40 - 49,24749.0,Dose 1,11,0.0444462402521314,11,0.0444462402521314
20201208,Tayside,Female,50 - 54,15440.0,Dose 1,10,0.0647668393782384,10,0.0647668393782384
20201208,Tayside,Female,55 - 59,15582.0,Dose 1,5,0.0320883070209216,5,0.0320883070209216
20201208,Tayside,Female,60 - 64,13847.0,Dose 1,5,0.0361089044558388,5,0.0361089044558388
20201208,Tayside,Female,65 - 69,12599.0,Dose 1,1,0.007937137868084771,1,0.007937137868084771
20201208,Tayside,Female,70 - 74,12502.0,Dose 1,1,0.00799872020476724,1,0.00799872020476724
20201208,Tayside,Female,75 - 79,9066.0,Dose 1,0,0.0,0,0.0
20201208,Tayside,Female,80 years and over,14984.0,Dose 1,0,0.0,0,0.0
20201208,Tayside,Male,18 - 29,33364.0,Dose 1,1,0.00299724253686608,1,0.00299724253686608
20201208,Tayside,Male,18 years and over,164559.0,Dose 1,20,0.0121536956350002,20,0.0121536956350002
20201208,Tayside,Male,30 - 39,25294.0,Dose 1,3,0.0118605202814897,3,0.0118605202814897
20201208,Tayside,Male,40 - 49,23060.0,Dose 1,4,0.0173460537727667,4,0.0173460537727667
20201208,Tayside,Male,50 - 54,14440.0,Dose 1,7,0.0484764542936288,7,0.0484764542936288
20201208,Tayside,Male,55 - 59,14706.0,Dose 1,1,0.0067999456004352,1,0.0067999456004352
20201208,Tayside,Male,60 - 64,13155.0,Dose 1,3,0.0228050171037628,3,0.0228050171037628
20201208,Tayside,Male,65 - 69,11872.0,Dose 1,0,0.0,0,0.0
20201208,Tayside,Male,70 - 74,11240.0,Dose 1,1,0.00889679715302491,1,0.00889679715302491
20201208,Tayside,Male,75 - 79,7673.0,Dose 1,0,0.0,0,0.0
20201208,Tayside,Male,80 years and over,9755.0,Dose 1,0,0.0,0,0.0
20201208,Tayside,Total,18 - 29,65373.0,Dose 1,4,0.00611873403392838,4,0.00611873403392838
20201208,Tayside,Total,18 years and over,341463.0,Dose 1,59,0.0172785924097194,59,0.0172785924097194
20201208,Tayside,Total,30 - 39,51420.0,Dose 1,6,0.0116686114352392,6,0.0116686114352392
20201208,Tayside,Total,40 - 49,47809.0,Dose 1,15,0.0313748457403418,15,0.0313748457403418
20201208,Tayside,Total,50 - 54,29880.0,Dose 1,17,0.0568942436412316,17,0.0568942436412316
20201208,Tayside,Total,50 years and over,176861.0,Dose 1,34,0.0192241364687523,34,0.0192241364687523
20201208,Tayside,Total,55 - 59,30288.0,Dose 1,6,0.0198098256735341,6,0.0198098256735341
20201208,Tayside,Total,60 - 64,27002.0,Dose 1,8,0.0296274350048145,8,0.0296274350048145
20201208,Tayside,Total,65 - 69,24471.0,Dose 1,1,0.00408646969882718,1,0.00408646969882718
20201208,Tayside,Total,70 - 74,23742.0,Dose 1,2,0.00842389015247241,2,0.00842389015247241
20201208,Tayside,Total,75 - 79,16739.0,Dose 1,0,0.0,0,0.0
20201208,Tayside,Total,80 years and over,24739.0,Dose 1,0,0.0,0,0.0
20201208,Tayside,Female,18 - 29,32009.0,Dose 2,0,0.0,0,0.0
20201208,Tayside,Female,18 years and over,176904.0,Dose 2,0,0.0,0,0.0
20201208,Tayside,Female,30 - 39,26126.0,Dose 2,0,0.0,0,0.0
20201208,Tayside,Female,40 - 49,24749.0,Dose 2,0,0.0,0,0.0
20201208,Tayside,Female,50 - 54,15440.0,Dose 2,0,0.0,0,0.0
20201208,Tayside,Female,55 - 59,15582.0,Dose 2,0,0.0,0,0.0
20201208,Tayside,Female,60 - 64,13847.0,Dose 2,0,0.0,0,0.0
20201208,Tayside,Female,65 - 69,12599.0,Dose 2,0,0.0,0,0.0
20201208,Tayside,Female,70 - 74,12502.0,Dose 2,0,0.0,0,0.0
20201208,Tayside,Female,75 - 79,9066.0,Dose 2,0,0.0,0,0.0
20201208,Tayside,Female,80 years and over,14984.0,Dose 2,0,0.0,0,0.0
20201208,Tayside,Male,18 - 29,33364.0,Dose 2,0,0.0,0,0.0
20201208,Tayside,Male,18 years and over,164559.0,Dose 2,0,0.0,0,0.0
20201208,Tayside,Male,30 - 39,25294.0,Dose 2,0,0.0,0,0.0
20201208,Tayside,Male,40 - 49,23060.0,Dose 2,0,0.0,0,0.0
20201208,Tayside,Male,50 - 54,14440.0,Dose 2,0,0.0,0,0.0
20201208,Tayside,Male,55 - 59,14706.0,Dose 2,0,0.0,0,0.0
20201208,Tayside,Male,60 - 64,13155.0,Dose 2,0,0.0,0,0.0
20201208,Tayside,Male,65 - 69,11872.0,Dose 2,0,0.0,0,0.0
20201208,Tayside,Male,70 - 74,11240.0,Dose 2,0,0.0,0,0.0
20201208,Tayside,Male,75 - 79,7673.0,Dose 2,0,0.0,0,0.0
20201208,Tayside,Male,80 years and over,9755.0,Dose 2,0,0.0,0,0.0
20201208,Tayside,Total,18 - 29,65373.0,Dose 2,0,0.0,0,0.0
20201208,Tayside,Total,18 years and over,341463.0,Dose 2,0,0.0,0,0.0
20201208,Tayside,Total,30 - 39,51420.0,Dose 2,0,0.0,0,0.0
20201208,Tayside,Total,40 - 49,47809.0,Dose 2,0,0.0,0,0.0
20201208,Tayside,Total,50 - 54,29880.0,Dose 2,0,0.0,0,0.0
20201208,Tayside,Total,50 years and over,176861.0,Dose 2,0,0.0,0,0.0
20201208,Tayside,Total,55 - 59,30288.0,Dose 2,0,0.0,0,0.0
20201208,Tayside,Total,60 - 64,27002.0,Dose 2,0,0.0,0,0.0
20201208,Tayside,Total,65 - 69,24471.0,Dose 2,0,0.0,0,0.0
20201208,Tayside,Total,70 - 74,23742.0,Dose 2,0,0.0,0,0.0
20201208,Tayside,Total,75 - 79,16739.0,Dose 2,0,0.0,0,0.0
20201208,Tayside,Total,80 years and over,24739.0,Dose 2,0,0.0,0,0.0
20201209,Tayside,Female,18 - 29,32009.0,Dose 1,24,0.0749789121809491,27,0.0843512762035677
20201209,Tayside,Female,18 years and over,176904.0,Dose 1,100,0.0565278343056121,139,0.0785736896848008
20201209,Tayside,Female,30 - 39,26126.0,Dose 1,18,0.0688968843297864,21,0.0803796983847508
20201209,Tayside,Female,40 - 49,24749.0,Dose 1,26,0.105054749686856,37,0.149500989938987
20201209,Tayside,Female,50 - 54,15440.0,Dose 1,11,0.0712435233160622,21,0.136010362694301
20201209,Tayside,Female,55 - 59,15582.0,Dose 1,11,0.0705942754460275,16,0.102682582466949
20201209,Tayside,Female,60 - 64,13847.0,Dose 1,5,0.0361089044558388,10,0.0722178089116776
20201209,Tayside,Female,65 - 69,12599.0,Dose 1,5,0.0396856893404238,6,0.0476228272085086
20201209,Tayside,Female,70 - 74,12502.0,Dose 1,0,0.0,1,0.00799872020476724
20201209,Tayside,Female,75 - 79,9066.0,Dose 1,0,0.0,0,0.0
20201209,Tayside,Female,80 years and over,14984.0,Dose 1,0,0.0,0,0.0
20201209,Tayside,Male,18 - 29,33364.0,Dose 1,4,0.0119889701474643,5,0.0149862126843304
