Date,HBName,Sex,AgeGroup,Population,Dose,NumberVaccinated,PercentCoverage,CumulativeNumberVaccinated,CumulativePercentCoverage
20201208,Western Isles,Female,18 - 29,1291.0,Dose 1,0,0.0,0,0.0
20201208,Western Isles,Female,18 years and over,11216.0,Dose 1,0,0.0,0,0.0
20201208,Western Isles,Female,30 - 39,1383.0,Dose 1,0,0.0,0,0.0
20201208,Western Isles,Female,40 - 49,1721.0,Dose 1,0,0.0,0,0.0
20201208,Western Isles,Female,50 - 54,1078.0,Dose 1,0,0.0,0,0.0
20201208,Western Isles,Female,55 - 59,1042.0,Dose 1,0,0.0,0,0.0
20201208,Western Isles,Female,60 - 64,961.0,Dose 1,0,0.0,0,0.0
20201208,Western Isles,Female,65 - 69,955.0,Dose 1,0,0.0,0,0.0
20201208,Western Isles,Female,70 - 74,884.0,Dose 1,0,0.0,0,0.0
20201208,Western Isles,Female,75 - 79,738.0,Dose 1,0,0.0,0,0.0
20201208,Western Isles,Female,80 years and over,1163.0,Dose 1,0,0.0,0,0.0
20201208,Western Isles,Male,18 - 29,1380.0,Dose 1,0,0.0,0,0.0
20201208,Western Isles,Male,18 years and over,10712.0,Dose 1,0,0.0,0,0.0
20201208,Western Isles,Male,30 - 39,1311.0,Dose 1,0,0.0,0,0.0
20201208,Western Isles,Male,40 - 49,1686.0,Dose 1,0,0.0,0,0.0
20201208,Western Isles,Male,50 - 54,1049.0,Dose 1,0,0.0,0,0.0
20201208,Western Isles,Male,55 - 59,1092.0,Dose 1,0,0.0,0,0.0
20201208,Western Isles,Male,60 - 64,1039.0,Dose 1,0,0.0,0,0.0
20201208,Western Isles,Male,65 - 69,949.0,Dose 1,0,0.0,0,0.0
20201208,Western Isles,Male,70 - 74,878.0,Dose 1,0,0.0,0,0.0
20201208,Western Isles,Male,75 - 79,587.0,Dose 1,0,0.0,0,0.0
20201208,Western Isles,Male,80 years and over,741.0,Dose 1,0,0.0,0,0.0
20201208,Western Isles,Total,18 - 29,2671.0,Dose 1,0,0.0,0,0.0
20201208,Western Isles,Total,18 years and over,21928.0,Dose 1,0,0.0,0,0.0
20201208,Western Isles,Total,30 - 39,2694.0,Dose 1,0,0.0,0,0.0
20201208,Western Isles,Total,40 - 49,3407.0,Dose 1,0,0.0,0,0.0
20201208,Western Isles,Total,50 - 54,2127.0,Dose 1,0,0.0,0,0.0
20201208,Western Isles,Total,50 years and over,13156.0,Dose 1,0,0.0,0,0.0
20201208,Western Isles,Total,55 - 59,2134.0,Dose 1,0,0.0,0,0.0
20201208,Western Isles,Total,60 - 64,2000.0,Dose 1,0,0.0,0,0.0
20201208,Western Isles,Total,65 - 69,1904.0,Dose 1,0,0.0,0,0.0
20201208,Western Isles,Total,70 - 74,1762.0,Dose 1,0,0.0,0,0.0
20201208,Western Isles,Total,75 - 79,1325.0,Dose 1,0,0.0,0,0.0
20201208,Western Isles,Total,80 years and over,1904.0,Dose 1,0,0.0,0,0.0
20201208,Western Isles,Female,18 - 29,1291.0,Dose 2,0,0.0,0,0.0
20201208,Western Isles,Female,18 years and over,11216.0,Dose 2,0,0.0,0,0.0
20201208,Western Isles,Female,30 - 39,1383.0,Dose 2,0,0.0,0,0.0
20201208,Western Isles,Female,40 - 49,1721.0,Dose 2,0,0.0,0,0.0
20201208,Western Isles,Female,50 - 54,1078.0,Dose 2,0,0.0,0,0.0
20201208,Western Isles,Female,55 - 59,1042.0,Dose 2,0,0.0,0,0.0
