Date,CAName,Sex,AgeGroup,Population,Dose,NumberVaccinated,PercentCoverage,CumulativeNumberVaccinated,CumulativePercentCoverage
20201208,Argyll and Bute,Female,18 - 29,4436.0,Dose 1,0,0.0,0,0.0
20201208,Argyll and Bute,Female,18 years and over,36020.0,Dose 1,0,0.0,0,0.0
20201208,Argyll and Bute,Female,30 - 39,4013.0,Dose 1,0,0.0,0,0.0
20201208,Argyll and Bute,Female,40 - 49,5138.0,Dose 1,0,0.0,0,0.0
20201208,Argyll and Bute,Female,50 - 54,3442.0,Dose 1,0,0.0,0,0.0
20201208,Argyll and Bute,Female,55 - 59,3627.0,Dose 1,0,0.0,0,0.0
20201208,Argyll and Bute,Female,60 - 64,3357.0,Dose 1,0,0.0,0,0.0
20201208,Argyll and Bute,Female,65 - 69,3161.0,Dose 1,0,0.0,0,0.0
20201208,Argyll and Bute,Female,70 - 74,3189.0,Dose 1,0,0.0,0,0.0
20201208,Argyll and Bute,Female,75 - 79,2286.0,Dose 1,0,0.0,0,0.0
20201208,Argyll and Bute,Female,80 years and over,3371.0,Dose 1,0,0.0,0,0.0
20201208,Argyll and Bute,Male,18 - 29,6210.0,Dose 1,0,0.0,0,0.0
20201208,Argyll and Bute,Male,18 years and over,35284.0,Dose 1,1,0.00283414578845936,1,0.00283414578845936
20201208,Argyll and Bute,Male,30 - 39,4117.0,Dose 1,0,0.0,0,0.0
20201208,Argyll and Bute,Male,40 - 49,4802.0,Dose 1,0,0.0,0,0.0
20201208,Argyll and Bute,Male,50 - 54,3269.0,Dose 1,0,0.0,0,0.0
20201208,Argyll and Bute,Male,55 - 59,3469.0,Dose 1,0,0.0,0,0.0
20201208,Argyll and Bute,Male,60 - 64,3214.0,Dose 1,0,0.0,0,0.0
20201208,Argyll and Bute,Male,65 - 69,3022.0,Dose 1,0,0.0,0,0.0
20201208,Argyll and Bute,Male,70 - 74,2927.0,Dose 1,1,0.0341646737273659,1,0.0341646737273659
20201208,Argyll and Bute,Male,75 - 79,2036.0,Dose 1,0,0.0,0,0.0
20201208,Argyll and Bute,Male,80 years and over,2218.0,Dose 1,0,0.0,0,0.0
20201208,Argyll and Bute,Total,18 - 29,10646.0,Dose 1,0,0.0,0,0.0
