Date,CAName,Sex,AgeGroup,Population,Dose,NumberVaccinated,PercentCoverage,CumulativeNumberVaccinated,CumulativePercentCoverage
20201208,City of Edinburgh,Female,18 - 29,58467.0,Dose 1,40,0.0684146612619084,40,0.0684146612619084
20201208,City of Edinburgh,Female,18 years and over,226135.0,Dose 1,285,0.12603091073916,285,0.12603091073916
20201208,City of Edinburgh,Female,30 - 39,45899.0,Dose 1,51,0.11111353188522599,51,0.11111353188522599
20201208,City of Edinburgh,Female,40 - 49,32537.0,Dose 1,83,0.25509420044872,83,0.25509420044872
20201208,City of Edinburgh,Female,50 - 54,15892.0,Dose 1,46,0.28945381323936603,46,0.28945381323936603
20201208,City of Edinburgh,Female,55 - 59,15477.0,Dose 1,41,0.26490922013310103,41,0.26490922013310103
20201208,City of Edinburgh,Female,60 - 64,13419.0,Dose 1,23,0.171398762948059,23,0.171398762948059
20201208,City of Edinburgh,Female,65 - 69,11652.0,Dose 1,1,0.00858221764503948,1,0.00858221764503948
20201208,City of Edinburgh,Female,70 - 74,10866.0,Dose 1,0,0.0,0,0.0
20201208,City of Edinburgh,Female,75 - 79,7850.0,Dose 1,0,0.0,0,0.0
20201208,City of Edinburgh,Female,80 years and over,14076.0,Dose 1,0,0.0,0,0.0
20201208,City of Edinburgh,Male,18 - 29,52834.0,Dose 1,7,0.0132490441760987,7,0.0132490441760987
20201208,City of Edinburgh,Male,18 years and over,211314.0,Dose 1,105,0.0496890882762145,105,0.0496890882762145
20201208,City of Edinburgh,Male,30 - 39,45979.0,Dose 1,21,0.0456730246416842,21,0.0456730246416842
20201208,City of Edinburgh,Male,40 - 49,33511.0,Dose 1,39,0.11637969621915199,39,0.11637969621915199
20201208,City of Edinburgh,Male,50 - 54,16113.0,Dose 1,12,0.0744740271830199,12,0.0744740271830199
20201208,City of Edinburgh,Male,55 - 59,15149.0,Dose 1,14,0.0924153409465971,14,0.0924153409465971
20201208,City of Edinburgh,Male,60 - 64,12817.0,Dose 1,10,0.078021377857533,10,0.078021377857533
20201208,City of Edinburgh,Male,65 - 69,10849.0,Dose 1,2,0.018434878790672,2,0.018434878790672
20201208,City of Edinburgh,Male,70 - 74,9515.0,Dose 1,0,0.0,0,0.0
20201208,City of Edinburgh,Male,75 - 79,6054.0,Dose 1,0,0.0,0,0.0
20201208,City of Edinburgh,Male,80 years and over,8493.0,Dose 1,0,0.0,0,0.0
20201208,City of Edinburgh,Total,18 - 29,111301.0,Dose 1,47,0.0422278326340284,47,0.0422278326340284
20201208,City of Edinburgh,Total,18 years and over,437449.0,Dose 1,390,0.0891532498645556,390,0.0891532498645556
20201208,City of Edinburgh,Total,30 - 39,91878.0,Dose 1,72,0.0783647880885522,72,0.0783647880885522
20201208,City of Edinburgh,Total,40 - 49,66048.0,Dose 1,122,0.18471414728682198,122,0.18471414728682198
20201208,City of Edinburgh,Total,50 - 54,32005.0,Dose 1,58,0.18122168411185802,58,0.18122168411185802
20201208,City of Edinburgh,Total,50 years and over,168222.0,Dose 1,149,0.0885734327258028,149,0.0885734327258028
20201208,City of Edinburgh,Total,55 - 59,30626.0,Dose 1,55,0.17958597270293203,55,0.17958597270293203
20201208,City of Edinburgh,Total,60 - 64,26236.0,Dose 1,33,0.125781369111145,33,0.125781369111145
20201208,City of Edinburgh,Total,65 - 69,22501.0,Dose 1,3,0.013332740767077,3,0.013332740767077
20201208,City of Edinburgh,Total,70 - 74,20381.0,Dose 1,0,0.0,0,0.0
20201208,City of Edinburgh,Total,75 - 79,13904.0,Dose 1,0,0.0,0,0.0
20201208,City of Edinburgh,Total,80 years and over,22569.0,Dose 1,0,0.0,0,0.0
20201208,City of Edinburgh,Female,18 - 29,58467.0,Dose 2,0,0.0,0,0.0
20201208,City of Edinburgh,Female,18 years and over,226135.0,Dose 2,0,0.0,0,0.0
20201208,City of Edinburgh,Female,30 - 39,45899.0,Dose 2,0,0.0,0,0.0
20201208,City of Edinburgh,Female,40 - 49,32537.0,Dose 2,0,0.0,0,0.0
20201208,City of Edinburgh,Female,50 - 54,15892.0,Dose 2,0,0.0,0,0.0
20201208,City of Edinburgh,Female,55 - 59,15477.0,Dose 2,0,0.0,0,0.0
20201208,City of Edinburgh,Female,60 - 64,13419.0,Dose 2,0,0.0,0,0.0
20201208,City of Edinburgh,Female,65 - 69,11652.0,Dose 2,0,0.0,0,0.0
20201208,City of Edinburgh,Female,70 - 74,10866.0,Dose 2,0,0.0,0,0.0
20201208,City of Edinburgh,Female,75 - 79,7850.0,Dose 2,0,0.0,0,0.0
20201208,City of Edinburgh,Female,80 years and over,14076.0,Dose 2,0,0.0,0,0.0
20201208,City of Edinburgh,Male,18 - 29,52834.0,Dose 2,0,0.0,0,0.0
20201208,City of Edinburgh,Male,18 years and over,211314.0,Dose 2,0,0.0,0,0.0
20201208,City of Edinburgh,Male,30 - 39,45979.0,Dose 2,0,0.0,0,0.0
20201208,City of Edinburgh,Male,40 - 49,33511.0,Dose 2,0,0.0,0,0.0
