Date,CAName,Sex,AgeGroup,Population,Dose,NumberVaccinated,PercentCoverage,CumulativeNumberVaccinated,CumulativePercentCoverage
20201208,Clackmannanshire,Female,18 - 29,3385.0,Dose 1,6,0.17725258493353,6,0.17725258493353
20201208,Clackmannanshire,Female,18 years and over,21353.0,Dose 1,55,0.25757504800262304,55,0.25757504800262304
20201208,Clackmannanshire,Female,30 - 39,2950.0,Dose 1,13,0.440677966101695,13,0.440677966101695
20201208,Clackmannanshire,Female,40 - 49,3448.0,Dose 1,18,0.522041763341067,18,0.522041763341067
20201208,Clackmannanshire,Female,50 - 54,2133.0,Dose 1,3,0.140646976090014,3,0.140646976090014
20201208,Clackmannanshire,Female,55 - 59,2036.0,Dose 1,9,0.4420432220039289,9,0.4420432220039289
20201208,Clackmannanshire,Female,60 - 64,1759.0,Dose 1,6,0.34110289937464505,6,0.34110289937464505
20201208,Clackmannanshire,Female,65 - 69,1617.0,Dose 1,0,0.0,0,0.0
20201208,Clackmannanshire,Female,70 - 74,1552.0,Dose 1,0,0.0,0,0.0
20201208,Clackmannanshire,Female,75 - 79,1094.0,Dose 1,0,0.0,0,0.0
20201208,Clackmannanshire,Female,80 years and over,1379.0,Dose 1,0,0.0,0,0.0
20201208,Clackmannanshire,Male,18 - 29,3564.0,Dose 1,0,0.0,0,0.0
20201208,Clackmannanshire,Male,18 years and over,20160.0,Dose 1,11,0.0545634920634921,11,0.0545634920634921
20201208,Clackmannanshire,Male,30 - 39,2882.0,Dose 1,2,0.0693962526023595,2,0.0693962526023595
20201208,Clackmannanshire,Male,40 - 49,3257.0,Dose 1,5,0.153515505066012,5,0.153515505066012
20201208,Clackmannanshire,Male,50 - 54,2043.0,Dose 1,1,0.0489476260401371,1,0.0489476260401371
20201208,Clackmannanshire,Male,55 - 59,1960.0,Dose 1,1,0.0510204081632653,1,0.0510204081632653
20201208,Clackmannanshire,Male,60 - 64,1635.0,Dose 1,1,0.0611620795107034,1,0.0611620795107034
