Date,CAName,Sex,AgeGroup,Population,Dose,NumberVaccinated,PercentCoverage,CumulativeNumberVaccinated,CumulativePercentCoverage
20201208,East Ayrshire,Female,18 - 29,8174.0,Dose 1,2,0.0244678248103744,2,0.0244678248103744
20201208,East Ayrshire,Female,18 years and over,51290.0,Dose 1,33,0.0643400272957692,33,0.0643400272957692
20201208,East Ayrshire,Female,30 - 39,7539.0,Dose 1,4,0.0530574346730336,4,0.0530574346730336
20201208,East Ayrshire,Female,40 - 49,7941.0,Dose 1,10,0.12592872434202199,10,0.12592872434202199
20201208,East Ayrshire,Female,50 - 54,5153.0,Dose 1,5,0.0970308558121483,5,0.0970308558121483
20201208,East Ayrshire,Female,55 - 59,4784.0,Dose 1,7,0.146321070234114,7,0.146321070234114
20201208,East Ayrshire,Female,60 - 64,4184.0,Dose 1,5,0.119502868068834,5,0.119502868068834
20201208,East Ayrshire,Female,65 - 69,3748.0,Dose 1,0,0.0,0,0.0
20201208,East Ayrshire,Female,70 - 74,3630.0,Dose 1,0,0.0,0,0.0
20201208,East Ayrshire,Female,75 - 79,2567.0,Dose 1,0,0.0,0,0.0
20201208,East Ayrshire,Female,80 years and over,3570.0,Dose 1,0,0.0,0,0.0
20201208,East Ayrshire,Male,18 - 29,8369.0,Dose 1,2,0.0238977177679532,2,0.0238977177679532
20201208,East Ayrshire,Male,18 years and over,47161.0,Dose 1,11,0.0233243569898857,11,0.0233243569898857
20201208,East Ayrshire,Male,30 - 39,7007.0,Dose 1,2,0.0285428856857428,2,0.0285428856857428
20201208,East Ayrshire,Male,40 - 49,7296.0,Dose 1,3,0.0411184210526316,3,0.0411184210526316
20201208,East Ayrshire,Male,50 - 54,4614.0,Dose 1,3,0.0650195058517555,3,0.0650195058517555
20201208,East Ayrshire,Male,55 - 59,4417.0,Dose 1,1,0.0226398007697532,1,0.0226398007697532
20201208,East Ayrshire,Male,60 - 64,4021.0,Dose 1,0,0.0,0,0.0
20201208,East Ayrshire,Male,65 - 69,3610.0,Dose 1,0,0.0,0,0.0
20201208,East Ayrshire,Male,70 - 74,3275.0,Dose 1,0,0.0,0,0.0
20201208,East Ayrshire,Male,75 - 79,2122.0,Dose 1,0,0.0,0,0.0
20201208,East Ayrshire,Male,80 years and over,2430.0,Dose 1,0,0.0,0,0.0
20201208,East Ayrshire,Total,18 - 29,16543.0,Dose 1,4,0.0241794112313365,4,0.0241794112313365
20201208,East Ayrshire,Total,18 years and over,98451.0,Dose 1,44,0.0446922834709653,44,0.0446922834709653
20201208,East Ayrshire,Total,30 - 39,14546.0,Dose 1,6,0.0412484531830056,6,0.0412484531830056
20201208,East Ayrshire,Total,40 - 49,15237.0,Dose 1,13,0.0853186322766949,13,0.0853186322766949
20201208,East Ayrshire,Total,50 - 54,9767.0,Dose 1,8,0.0819084672878059,8,0.0819084672878059
20201208,East Ayrshire,Total,50 years and over,52125.0,Dose 1,21,0.0402877697841727,21,0.0402877697841727
20201208,East Ayrshire,Total,55 - 59,9201.0,Dose 1,8,0.0869470709705467,8,0.0869470709705467
20201208,East Ayrshire,Total,60 - 64,8205.0,Dose 1,5,0.060938452163315004,5,0.060938452163315004
20201208,East Ayrshire,Total,65 - 69,7358.0,Dose 1,0,0.0,0,0.0
20201208,East Ayrshire,Total,70 - 74,6905.0,Dose 1,0,0.0,0,0.0
20201208,East Ayrshire,Total,75 - 79,4689.0,Dose 1,0,0.0,0,0.0
20201208,East Ayrshire,Total,80 years and over,6000.0,Dose 1,0,0.0,0,0.0
20201208,East Ayrshire,Female,18 - 29,8174.0,Dose 2,0,0.0,0,0.0
20201208,East Ayrshire,Female,18 years and over,51290.0,Dose 2,0,0.0,0,0.0
20201208,East Ayrshire,Female,30 - 39,7539.0,Dose 2,0,0.0,0,0.0
20201208,East Ayrshire,Female,40 - 49,7941.0,Dose 2,0,0.0,0,0.0
20201208,East Ayrshire,Female,50 - 54,5153.0,Dose 2,0,0.0,0,0.0
20201208,East Ayrshire,Female,55 - 59,4784.0,Dose 2,0,0.0,0,0.0
20201208,East Ayrshire,Female,60 - 64,4184.0,Dose 2,0,0.0,0,0.0
20201208,East Ayrshire,Female,65 - 69,3748.0,Dose 2,0,0.0,0,0.0
20201208,East Ayrshire,Female,70 - 74,3630.0,Dose 2,0,0.0,0,0.0
20201208,East Ayrshire,Female,75 - 79,2567.0,Dose 2,0,0.0,0,0.0
20201208,East Ayrshire,Female,80 years and over,3570.0,Dose 2,0,0.0,0,0.0
20201208,East Ayrshire,Male,18 - 29,8369.0,Dose 2,0,0.0,0,0.0
20201208,East Ayrshire,Male,18 years and over,47161.0,Dose 2,0,0.0,0,0.0
20201208,East Ayrshire,Male,30 - 39,7007.0,Dose 2,0,0.0,0,0.0
20201208,East Ayrshire,Male,40 - 49,7296.0,Dose 2,0,0.0,0,0.0
20201208,East Ayrshire,Male,50 - 54,4614.0,Dose 2,0,0.0,0,0.0
20201208,East Ayrshire,Male,55 - 59,4417.0,Dose 2,0,0.0,0,0.0
20201208,East Ayrshire,Male,60 - 64,4021.0,Dose 2,0,0.0,0,0.0
20201208,East Ayrshire,Male,65 - 69,3610.0,Dose 2,0,0.0,0,0.0
20201208,East Ayrshire,Male,70 - 74,3275.0,Dose 2,0,0.0,0,0.0
20201208,East Ayrshire,Male,75 - 79,2122.0,Dose 2,0,0.0,0,0.0
20201208,East Ayrshire,Male,80 years and over,2430.0,Dose 2,0,0.0,0,0.0
20201208,East Ayrshire,Total,18 - 29,16543.0,Dose 2,0,0.0,0,0.0
20201208,East Ayrshire,Total,18 years and over,98451.0,Dose 2,0,0.0,0,0.0
20201208,East Ayrshire,Total,30 - 39,14546.0,Dose 2,0,0.0,0,0.0
20201208,East Ayrshire,Total,40 - 49,15237.0,Dose 2,0,0.0,0,0.0
20201208,East Ayrshire,Total,50 - 54,9767.0,Dose 2,0,0.0,0,0.0
20201208,East Ayrshire,Total,50 years and over,52125.0,Dose 2,0,0.0,0,0.0
20201208,East Ayrshire,Total,55 - 59,9201.0,Dose 2,0,0.0,0,0.0
20201208,East Ayrshire,Total,60 - 64,8205.0,Dose 2,0,0.0,0,0.0
20201208,East Ayrshire,Total,65 - 69,7358.0,Dose 2,0,0.0,0,0.0
20201208,East Ayrshire,Total,70 - 74,6905.0,Dose 2,0,0.0,0,0.0
20201208,East Ayrshire,Total,75 - 79,4689.0,Dose 2,0,0.0,0,0.0
20201208,East Ayrshire,Total,80 years and over,6000.0,Dose 2,0,0.0,0,0.0
20201209,East Ayrshire,Female,18 - 29,8174.0,Dose 1,17,0.207976510888182,19,0.23244433569855605
20201209,East Ayrshire,Female,18 years and over,51290.0,Dose 1,118,0.23006434002729603,151,0.29440436732306496
20201209,East Ayrshire,Female,30 - 39,7539.0,Dose 1,28,0.371402042711235,32,0.424459477384268
20201209,East Ayrshire,Female,40 - 49,7941.0,Dose 1,17,0.214078831381438,27,0.34000755572346003
20201209,East Ayrshire,Female,50 - 54,5153.0,Dose 1,14,0.27168639627401503,19,0.36871725208616296
20201209,East Ayrshire,Female,55 - 59,4784.0,Dose 1,19,0.3971571906354521,26,0.543478260869565
20201209,East Ayrshire,Female,60 - 64,4184.0,Dose 1,19,0.454110898661568,24,0.573613766730402
20201209,East Ayrshire,Female,65 - 69,3748.0,Dose 1,3,0.080042689434365,3,0.080042689434365
20201209,East Ayrshire,Female,70 - 74,3630.0,Dose 1,0,0.0,0,0.0
20201209,East Ayrshire,Female,75 - 79,2567.0,Dose 1,1,0.0389559797428905,1,0.0389559797428905
