Date,CAName,Sex,AgeGroup,Population,Dose,NumberVaccinated,PercentCoverage,CumulativeNumberVaccinated,CumulativePercentCoverage
20201208,East Lothian,Female,18 - 29,6893.0,Dose 1,6,0.0870448280864645,6,0.0870448280864645
20201208,East Lothian,Female,18 years and over,45086.0,Dose 1,82,0.18187463957769603,82,0.18187463957769603
20201208,East Lothian,Female,30 - 39,6507.0,Dose 1,14,0.21515291224834804,14,0.21515291224834804
20201208,East Lothian,Female,40 - 49,7283.0,Dose 1,20,0.27461211039406797,20,0.27461211039406797
20201208,East Lothian,Female,50 - 54,4435.0,Dose 1,17,0.383314543404735,17,0.383314543404735
20201208,East Lothian,Female,55 - 59,4264.0,Dose 1,15,0.351782363977486,15,0.351782363977486
20201208,East Lothian,Female,60 - 64,3703.0,Dose 1,5,0.135025654874426,5,0.135025654874426
20201208,East Lothian,Female,65 - 69,3184.0,Dose 1,5,0.157035175879397,5,0.157035175879397
20201208,East Lothian,Female,70 - 74,3058.0,Dose 1,0,0.0,0,0.0
20201208,East Lothian,Female,75 - 79,2346.0,Dose 1,0,0.0,0,0.0
20201208,East Lothian,Female,80 years and over,3413.0,Dose 1,0,0.0,0,0.0
20201208,East Lothian,Male,18 - 29,6741.0,Dose 1,0,0.0,0,0.0
20201208,East Lothian,Male,18 years and over,40176.0,Dose 1,19,0.0472919155714855,19,0.0472919155714855
20201208,East Lothian,Male,30 - 39,5581.0,Dose 1,3,0.0537538075613689,3,0.0537538075613689
20201208,East Lothian,Male,40 - 49,6793.0,Dose 1,5,0.0736051818047991,5,0.0736051818047991
20201208,East Lothian,Male,50 - 54,3914.0,Dose 1,6,0.15329586101175302,6,0.15329586101175302
20201208,East Lothian,Male,55 - 59,3949.0,Dose 1,2,0.0506457330969866,2,0.0506457330969866
20201208,East Lothian,Male,60 - 64,3468.0,Dose 1,3,0.0865051903114187,3,0.0865051903114187
20201208,East Lothian,Male,65 - 69,2848.0,Dose 1,0,0.0,0,0.0
20201208,East Lothian,Male,70 - 74,2772.0,Dose 1,0,0.0,0,0.0
