Date,CAName,Sex,AgeGroup,Population,Dose,NumberVaccinated,PercentCoverage,CumulativeNumberVaccinated,CumulativePercentCoverage
20201208,East Renfrewshire,Female,18 - 29,5542.0,Dose 1,3,0.0541320822807651,3,0.0541320822807651
20201208,East Renfrewshire,Female,18 years and over,39165.0,Dose 1,10,0.0255330014043151,10,0.0255330014043151
20201208,East Renfrewshire,Female,30 - 39,5269.0,Dose 1,2,0.0379578667678876,2,0.0379578667678876
20201208,East Renfrewshire,Female,40 - 49,6721.0,Dose 1,3,0.0446362148489808,3,0.0446362148489808
20201208,East Renfrewshire,Female,50 - 54,3823.0,Dose 1,1,0.0261574679571017,1,0.0261574679571017
20201208,East Renfrewshire,Female,55 - 59,3656.0,Dose 1,0,0.0,0,0.0
20201208,East Renfrewshire,Female,60 - 64,3185.0,Dose 1,1,0.0313971742543171,1,0.0313971742543171
20201208,East Renfrewshire,Female,65 - 69,2725.0,Dose 1,0,0.0,0,0.0
20201208,East Renfrewshire,Female,70 - 74,2652.0,Dose 1,0,0.0,0,0.0
20201208,East Renfrewshire,Female,75 - 79,2088.0,Dose 1,0,0.0,0,0.0
20201208,East Renfrewshire,Female,80 years and over,3504.0,Dose 1,0,0.0,0,0.0
20201208,East Renfrewshire,Male,18 - 29,6263.0,Dose 1,2,0.0319335781574325,2,0.0319335781574325
20201208,East Renfrewshire,Male,18 years and over,34537.0,Dose 1,4,0.0115817818571387,4,0.0115817818571387
20201208,East Renfrewshire,Male,30 - 39,4425.0,Dose 1,1,0.0225988700564972,1,0.0225988700564972
20201208,East Renfrewshire,Male,40 - 49,5942.0,Dose 1,0,0.0,0,0.0
20201208,East Renfrewshire,Male,50 - 54,3334.0,Dose 1,0,0.0,0,0.0
20201208,East Renfrewshire,Male,55 - 59,3318.0,Dose 1,1,0.0301386377335744,1,0.0301386377335744
20201208,East Renfrewshire,Male,60 - 64,3038.0,Dose 1,0,0.0,0,0.0
