Date,CAName,Sex,AgeGroup,Population,Dose,NumberVaccinated,PercentCoverage,CumulativeNumberVaccinated,CumulativePercentCoverage
20201208,Glasgow City,Female,18 - 29,69265.0,Dose 1,11,0.0158810365985707,11,0.0158810365985707
20201208,Glasgow City,Female,18 years and over,268606.0,Dose 1,35,0.0130302375970753,35,0.0130302375970753
20201208,Glasgow City,Female,30 - 39,53451.0,Dose 1,11,0.0205795962657387,11,0.0205795962657387
20201208,Glasgow City,Female,40 - 49,37551.0,Dose 1,4,0.0106521797022716,4,0.0106521797022716
20201208,Glasgow City,Female,50 - 54,21381.0,Dose 1,2,0.00935409943407698,2,0.00935409943407698
20201208,Glasgow City,Female,55 - 59,20982.0,Dose 1,5,0.0238299494805071,5,0.0238299494805071
20201208,Glasgow City,Female,60 - 64,17464.0,Dose 1,2,0.0114521300961979,2,0.0114521300961979
20201208,Glasgow City,Female,65 - 69,12973.0,Dose 1,0,0.0,0,0.0
20201208,Glasgow City,Female,70 - 74,11392.0,Dose 1,0,0.0,0,0.0
20201208,Glasgow City,Female,75 - 79,8780.0,Dose 1,0,0.0,0,0.0
20201208,Glasgow City,Female,80 years and over,15367.0,Dose 1,0,0.0,0,0.0
20201208,Glasgow City,Male,18 - 29,68212.0,Dose 1,6,0.00879610625696358,6,0.00879610625696358
20201208,Glasgow City,Male,18 years and over,252916.0,Dose 1,29,0.0114662575716839,29,0.0114662575716839
20201208,Glasgow City,Male,30 - 39,56752.0,Dose 1,13,0.0229066817028475,13,0.0229066817028475
20201208,Glasgow City,Male,40 - 49,37412.0,Dose 1,7,0.0187105741473324,7,0.0187105741473324
20201208,Glasgow City,Male,50 - 54,19502.0,Dose 1,1,0.00512767921238847,1,0.00512767921238847
20201208,Glasgow City,Male,55 - 59,18741.0,Dose 1,1,0.00533589456272344,1,0.00533589456272344
20201208,Glasgow City,Male,60 - 64,15645.0,Dose 1,1,0.00639181847235539,1,0.00639181847235539
20201208,Glasgow City,Male,65 - 69,12232.0,Dose 1,0,0.0,0,0.0
20201208,Glasgow City,Male,70 - 74,9987.0,Dose 1,0,0.0,0,0.0
20201208,Glasgow City,Male,75 - 79,6593.0,Dose 1,0,0.0,0,0.0
20201208,Glasgow City,Male,80 years and over,7840.0,Dose 1,0,0.0,0,0.0
20201208,Glasgow City,Total,18 - 29,137477.0,Dose 1,17,0.0123657048088044,17,0.0123657048088044
20201208,Glasgow City,Total,18 years and over,521522.0,Dose 1,64,0.0122717737698506,64,0.0122717737698506
20201208,Glasgow City,Total,30 - 39,110203.0,Dose 1,24,0.0217779915247316,24,0.0217779915247316
20201208,Glasgow City,Total,40 - 49,74963.0,Dose 1,11,0.0146739057935248,11,0.0146739057935248
20201208,Glasgow City,Total,50 - 54,40883.0,Dose 1,3,0.007338013355184309,3,0.007338013355184309
20201208,Glasgow City,Total,50 years and over,198879.0,Dose 1,12,0.0060338195586261,12,0.0060338195586261
20201208,Glasgow City,Total,55 - 59,39723.0,Dose 1,6,0.0151045993505022,6,0.0151045993505022
20201208,Glasgow City,Total,60 - 64,33109.0,Dose 1,3,0.009060980398079071,3,0.009060980398079071
20201208,Glasgow City,Total,65 - 69,25205.0,Dose 1,0,0.0,0,0.0
20201208,Glasgow City,Total,70 - 74,21379.0,Dose 1,0,0.0,0,0.0
20201208,Glasgow City,Total,75 - 79,15373.0,Dose 1,0,0.0,0,0.0
20201208,Glasgow City,Total,80 years and over,23207.0,Dose 1,0,0.0,0,0.0
20201208,Glasgow City,Female,18 - 29,69265.0,Dose 2,0,0.0,0,0.0
20201208,Glasgow City,Female,18 years and over,268606.0,Dose 2,0,0.0,0,0.0
20201208,Glasgow City,Female,30 - 39,53451.0,Dose 2,0,0.0,0,0.0
20201208,Glasgow City,Female,40 - 49,37551.0,Dose 2,0,0.0,0,0.0
20201208,Glasgow City,Female,50 - 54,21381.0,Dose 2,0,0.0,0,0.0
20201208,Glasgow City,Female,55 - 59,20982.0,Dose 2,0,0.0,0,0.0
20201208,Glasgow City,Female,60 - 64,17464.0,Dose 2,0,0.0,0,0.0
20201208,Glasgow City,Female,65 - 69,12973.0,Dose 2,0,0.0,0,0.0
20201208,Glasgow City,Female,70 - 74,11392.0,Dose 2,0,0.0,0,0.0
20201208,Glasgow City,Female,75 - 79,8780.0,Dose 2,0,0.0,0,0.0
20201208,Glasgow City,Female,80 years and over,15367.0,Dose 2,0,0.0,0,0.0
20201208,Glasgow City,Male,18 - 29,68212.0,Dose 2,0,0.0,0,0.0
20201208,Glasgow City,Male,18 years and over,252916.0,Dose 2,0,0.0,0,0.0
20201208,Glasgow City,Male,30 - 39,56752.0,Dose 2,0,0.0,0,0.0
20201208,Glasgow City,Male,40 - 49,37412.0,Dose 2,0,0.0,0,0.0
20201208,Glasgow City,Male,50 - 54,19502.0,Dose 2,0,0.0,0,0.0
20201208,Glasgow City,Male,55 - 59,18741.0,Dose 2,0,0.0,0,0.0
20201208,Glasgow City,Male,60 - 64,15645.0,Dose 2,0,0.0,0,0.0
20201208,Glasgow City,Male,65 - 69,12232.0,Dose 2,0,0.0,0,0.0
20201208,Glasgow City,Male,70 - 74,9987.0,Dose 2,0,0.0,0,0.0
20201208,Glasgow City,Male,75 - 79,6593.0,Dose 2,0,0.0,0,0.0
20201208,Glasgow City,Male,80 years and over,7840.0,Dose 2,0,0.0,0,0.0
20201208,Glasgow City,Total,18 - 29,137477.0,Dose 2,0,0.0,0,0.0
20201208,Glasgow City,Total,18 years and over,521522.0,Dose 2,0,0.0,0,0.0
20201208,Glasgow City,Total,30 - 39,110203.0,Dose 2,0,0.0,0,0.0
20201208,Glasgow City,Total,40 - 49,74963.0,Dose 2,0,0.0,0,0.0
20201208,Glasgow City,Total,50 - 54,40883.0,Dose 2,0,0.0,0,0.0
20201208,Glasgow City,Total,50 years and over,198879.0,Dose 2,0,0.0,0,0.0
20201208,Glasgow City,Total,55 - 59,39723.0,Dose 2,0,0.0,0,0.0
20201208,Glasgow City,Total,60 - 64,33109.0,Dose 2,0,0.0,0,0.0
20201208,Glasgow City,Total,65 - 69,25205.0,Dose 2,0,0.0,0,0.0
20201208,Glasgow City,Total,70 - 74,21379.0,Dose 2,0,0.0,0,0.0
20201208,Glasgow City,Total,75 - 79,15373.0,Dose 2,0,0.0,0,0.0
20201208,Glasgow City,Total,80 years and over,23207.0,Dose 2,0,0.0,0,0.0
20201209,Glasgow City,Female,18 - 29,69265.0,Dose 1,28,0.0404244567963618,39,0.0563054933949325
20201209,Glasgow City,Female,18 years and over,268606.0,Dose 1,89,0.0331340327468485,124,0.0461642703439238
20201209,Glasgow City,Female,30 - 39,53451.0,Dose 1,23,0.0430300649192719,34,0.0636096611850106
20201209,Glasgow City,Female,40 - 49,37551.0,Dose 1,15,0.0399456738835184,19,0.050597853585790005
20201209,Glasgow City,Female,50 - 54,21381.0,Dose 1,11,0.0514475468874234,13,0.0608016463215004
20201209,Glasgow City,Female,55 - 59,20982.0,Dose 1,8,0.0381279191688114,13,0.0619578686493185
20201209,Glasgow City,Female,60 - 64,17464.0,Dose 1,4,0.0229042601923958,6,0.0343563902885937
20201209,Glasgow City,Female,65 - 69,12973.0,Dose 1,0,0.0,0,0.0
