Date,CAName,Sex,AgeGroup,Population,Dose,NumberVaccinated,PercentCoverage,CumulativeNumberVaccinated,CumulativePercentCoverage
20201208,Highland,Female,18 - 29,13571.0,Dose 1,0,0.0,0,0.0
20201208,Highland,Female,18 years and over,98822.0,Dose 1,0,0.0,0,0.0
20201208,Highland,Female,30 - 39,14029.0,Dose 1,0,0.0,0,0.0
20201208,Highland,Female,40 - 49,15097.0,Dose 1,0,0.0,0,0.0
20201208,Highland,Female,50 - 54,9558.0,Dose 1,0,0.0,0,0.0
20201208,Highland,Female,55 - 59,9456.0,Dose 1,0,0.0,0,0.0
20201208,Highland,Female,60 - 64,8546.0,Dose 1,0,0.0,0,0.0
20201208,Highland,Female,65 - 69,7901.0,Dose 1,0,0.0,0,0.0
20201208,Highland,Female,70 - 74,7276.0,Dose 1,0,0.0,0,0.0
20201208,Highland,Female,75 - 79,5481.0,Dose 1,0,0.0,0,0.0
20201208,Highland,Female,80 years and over,7907.0,Dose 1,0,0.0,0,0.0
20201208,Highland,Male,18 - 29,15032.0,Dose 1,1,0.0066524747205960605,1,0.0066524747205960605
20201208,Highland,Male,18 years and over,92969.0,Dose 1,2,0.00215125471931504,2,0.00215125471931504
20201208,Highland,Male,30 - 39,13370.0,Dose 1,1,0.0074794315632012,1,0.0074794315632012
20201208,Highland,Male,40 - 49,13848.0,Dose 1,0,0.0,0,0.0
20201208,Highland,Male,50 - 54,8929.0,Dose 1,0,0.0,0,0.0
20201208,Highland,Male,55 - 59,8998.0,Dose 1,0,0.0,0,0.0
20201208,Highland,Male,60 - 64,8269.0,Dose 1,0,0.0,0,0.0
20201208,Highland,Male,65 - 69,7526.0,Dose 1,0,0.0,0,0.0
20201208,Highland,Male,70 - 74,6987.0,Dose 1,0,0.0,0,0.0
20201208,Highland,Male,75 - 79,4640.0,Dose 1,0,0.0,0,0.0
20201208,Highland,Male,80 years and over,5370.0,Dose 1,0,0.0,0,0.0
20201208,Highland,Total,18 - 29,28603.0,Dose 1,1,0.0034961367688704,1,0.0034961367688704
20201208,Highland,Total,18 years and over,191791.0,Dose 1,2,0.00104280179987591,2,0.00104280179987591
20201208,Highland,Total,30 - 39,27399.0,Dose 1,1,0.0036497682397167797,1,0.0036497682397167797
20201208,Highland,Total,40 - 49,28945.0,Dose 1,0,0.0,0,0.0
20201208,Highland,Total,50 - 54,18487.0,Dose 1,0,0.0,0,0.0
20201208,Highland,Total,50 years and over,106844.0,Dose 1,0,0.0,0,0.0
20201208,Highland,Total,55 - 59,18454.0,Dose 1,0,0.0,0,0.0
20201208,Highland,Total,60 - 64,16815.0,Dose 1,0,0.0,0,0.0
20201208,Highland,Total,65 - 69,15427.0,Dose 1,0,0.0,0,0.0
20201208,Highland,Total,70 - 74,14263.0,Dose 1,0,0.0,0,0.0
20201208,Highland,Total,75 - 79,10121.0,Dose 1,0,0.0,0,0.0
20201208,Highland,Total,80 years and over,13277.0,Dose 1,0,0.0,0,0.0
20201208,Highland,Female,18 - 29,13571.0,Dose 2,0,0.0,0,0.0
20201208,Highland,Female,18 years and over,98822.0,Dose 2,0,0.0,0,0.0
20201208,Highland,Female,30 - 39,14029.0,Dose 2,0,0.0,0,0.0
20201208,Highland,Female,40 - 49,15097.0,Dose 2,0,0.0,0,0.0
20201208,Highland,Female,50 - 54,9558.0,Dose 2,0,0.0,0,0.0
20201208,Highland,Female,55 - 59,9456.0,Dose 2,0,0.0,0,0.0
20201208,Highland,Female,60 - 64,8546.0,Dose 2,0,0.0,0,0.0
20201208,Highland,Female,65 - 69,7901.0,Dose 2,0,0.0,0,0.0
20201208,Highland,Female,70 - 74,7276.0,Dose 2,0,0.0,0,0.0
20201208,Highland,Female,75 - 79,5481.0,Dose 2,0,0.0,0,0.0
20201208,Highland,Female,80 years and over,7907.0,Dose 2,0,0.0,0,0.0
20201208,Highland,Male,18 - 29,15032.0,Dose 2,0,0.0,0,0.0
20201208,Highland,Male,18 years and over,92969.0,Dose 2,0,0.0,0,0.0
20201208,Highland,Male,30 - 39,13370.0,Dose 2,0,0.0,0,0.0
20201208,Highland,Male,40 - 49,13848.0,Dose 2,0,0.0,0,0.0
20201208,Highland,Male,50 - 54,8929.0,Dose 2,0,0.0,0,0.0
20201208,Highland,Male,55 - 59,8998.0,Dose 2,0,0.0,0,0.0
20201208,Highland,Male,60 - 64,8269.0,Dose 2,0,0.0,0,0.0
20201208,Highland,Male,65 - 69,7526.0,Dose 2,0,0.0,0,0.0
20201208,Highland,Male,70 - 74,6987.0,Dose 2,0,0.0,0,0.0
20201208,Highland,Male,75 - 79,4640.0,Dose 2,0,0.0,0,0.0
20201208,Highland,Male,80 years and over,5370.0,Dose 2,0,0.0,0,0.0
20201208,Highland,Total,18 - 29,28603.0,Dose 2,0,0.0,0,0.0
20201208,Highland,Total,18 years and over,191791.0,Dose 2,0,0.0,0,0.0
20201208,Highland,Total,30 - 39,27399.0,Dose 2,0,0.0,0,0.0
20201208,Highland,Total,40 - 49,28945.0,Dose 2,0,0.0,0,0.0
20201208,Highland,Total,50 - 54,18487.0,Dose 2,0,0.0,0,0.0
20201208,Highland,Total,50 years and over,106844.0,Dose 2,0,0.0,0,0.0
20201208,Highland,Total,55 - 59,18454.0,Dose 2,0,0.0,0,0.0
20201208,Highland,Total,60 - 64,16815.0,Dose 2,0,0.0,0,0.0
20201208,Highland,Total,65 - 69,15427.0,Dose 2,0,0.0,0,0.0
20201208,Highland,Total,70 - 74,14263.0,Dose 2,0,0.0,0,0.0
20201208,Highland,Total,75 - 79,10121.0,Dose 2,0,0.0,0,0.0
20201208,Highland,Total,80 years and over,13277.0,Dose 2,0,0.0,0,0.0
20201209,Highland,Female,18 - 29,13571.0,Dose 1,3,0.0221059612408813,3,0.0221059612408813
20201209,Highland,Female,18 years and over,98822.0,Dose 1,38,0.0384529760579628,38,0.0384529760579628
20201209,Highland,Female,30 - 39,14029.0,Dose 1,7,0.0498966426687576,7,0.0498966426687576
20201209,Highland,Female,40 - 49,15097.0,Dose 1,16,0.10598132079221001,16,0.10598132079221001
20201209,Highland,Female,50 - 54,9558.0,Dose 1,6,0.0627746390458255,6,0.0627746390458255
20201209,Highland,Female,55 - 59,9456.0,Dose 1,5,0.0528764805414552,5,0.0528764805414552
20201209,Highland,Female,60 - 64,8546.0,Dose 1,1,0.01170138076293,1,0.01170138076293
20201209,Highland,Female,65 - 69,7901.0,Dose 1,0,0.0,0,0.0
20201209,Highland,Female,70 - 74,7276.0,Dose 1,0,0.0,0,0.0
20201209,Highland,Female,75 - 79,5481.0,Dose 1,0,0.0,0,0.0
20201209,Highland,Female,80 years and over,7907.0,Dose 1,0,0.0,0,0.0
20201209,Highland,Male,18 - 29,15032.0,Dose 1,1,0.0066524747205960605,2,0.0133049494411921
20201209,Highland,Male,18 years and over,92969.0,Dose 1,21,0.0225881745528079,23,0.024739429272122998
20201209,Highland,Male,30 - 39,13370.0,Dose 1,7,0.0523560209424084,8,0.0598354525056096
20201209,Highland,Male,40 - 49,13848.0,Dose 1,5,0.036106296938186004,5,0.036106296938186004
20201209,Highland,Male,50 - 54,8929.0,Dose 1,4,0.0447978497032142,4,0.0447978497032142
20201209,Highland,Male,55 - 59,8998.0,Dose 1,2,0.0222271615914648,2,0.0222271615914648
20201209,Highland,Male,60 - 64,8269.0,Dose 1,2,0.024186721489902,2,0.024186721489902
20201209,Highland,Male,65 - 69,7526.0,Dose 1,0,0.0,0,0.0
20201209,Highland,Male,70 - 74,6987.0,Dose 1,0,0.0,0,0.0
20201209,Highland,Male,75 - 79,4640.0,Dose 1,0,0.0,0,0.0
20201209,Highland,Male,80 years and over,5370.0,Dose 1,0,0.0,0,0.0
20201209,Highland,Total,18 - 29,28603.0,Dose 1,4,0.0139845470754816,5,0.017480683844352002
20201209,Highland,Total,18 years and over,191791.0,Dose 1,59,0.0307626530963392,61,0.0318054548962152
20201209,Highland,Total,30 - 39,27399.0,Dose 1,14,0.0510967553560349,15,0.0547465235957517
20201209,Highland,Total,40 - 49,28945.0,Dose 1,21,0.0725513905683192,21,0.0725513905683192
20201209,Highland,Total,50 - 54,18487.0,Dose 1,10,0.0540920646941094,10,0.0540920646941094
20201209,Highland,Total,50 years and over,106844.0,Dose 1,20,0.018718879862229,20,0.018718879862229
20201209,Highland,Total,55 - 59,18454.0,Dose 1,7,0.0379321556302157,7,0.0379321556302157
20201209,Highland,Total,60 - 64,16815.0,Dose 1,3,0.0178412132024978,3,0.0178412132024978
20201209,Highland,Total,65 - 69,15427.0,Dose 1,0,0.0,0,0.0
20201209,Highland,Total,70 - 74,14263.0,Dose 1,0,0.0,0,0.0
20201209,Highland,Total,75 - 79,10121.0,Dose 1,0,0.0,0,0.0
20201209,Highland,Total,80 years and over,13277.0,Dose 1,0,0.0,0,0.0
20201209,Highland,Female,18 - 29,13571.0,Dose 2,0,0.0,0,0.0
20201209,Highland,Female,18 years and over,98822.0,Dose 2,0,0.0,0,0.0
20201209,Highland,Female,30 - 39,14029.0,Dose 2,0,0.0,0,0.0
20201209,Highland,Female,40 - 49,15097.0,Dose 2,0,0.0,0,0.0
20201209,Highland,Female,50 - 54,9558.0,Dose 2,0,0.0,0,0.0
20201209,Highland,Female,55 - 59,9456.0,Dose 2,0,0.0,0,0.0
20201209,Highland,Female,60 - 64,8546.0,Dose 2,0,0.0,0,0.0
20201209,Highland,Female,65 - 69,7901.0,Dose 2,0,0.0,0,0.0
20201209,Highland,Female,70 - 74,7276.0,Dose 2,0,0.0,0,0.0
20201209,Highland,Female,75 - 79,5481.0,Dose 2,0,0.0,0,0.0
20201209,Highland,Female,80 years and over,7907.0,Dose 2,0,0.0,0,0.0
