Date,CAName,Sex,AgeGroup,Population,Dose,NumberVaccinated,PercentCoverage,CumulativeNumberVaccinated,CumulativePercentCoverage
20201208,Inverclyde,Female,18 - 29,5249.0,Dose 1,0,0.0,0,0.0
20201208,Inverclyde,Female,18 years and over,33710.0,Dose 1,4,0.0118659151587066,4,0.0118659151587066
20201208,Inverclyde,Female,30 - 39,4491.0,Dose 1,0,0.0,0,0.0
20201208,Inverclyde,Female,40 - 49,4947.0,Dose 1,3,0.0606428138265616,3,0.0606428138265616
20201208,Inverclyde,Female,50 - 54,3340.0,Dose 1,1,0.029940119760479,1,0.029940119760479
20201208,Inverclyde,Female,55 - 59,3390.0,Dose 1,0,0.0,0,0.0
20201208,Inverclyde,Female,60 - 64,2902.0,Dose 1,0,0.0,0,0.0
20201208,Inverclyde,Female,65 - 69,2486.0,Dose 1,0,0.0,0,0.0
20201208,Inverclyde,Female,70 - 74,2307.0,Dose 1,0,0.0,0,0.0
20201208,Inverclyde,Female,75 - 79,1740.0,Dose 1,0,0.0,0,0.0
20201208,Inverclyde,Female,80 years and over,2858.0,Dose 1,0,0.0,0,0.0
20201208,Inverclyde,Male,18 - 29,5470.0,Dose 1,1,0.0182815356489945,1,0.0182815356489945
20201208,Inverclyde,Male,18 years and over,29964.0,Dose 1,1,0.00333733813910025,1,0.00333733813910025
20201208,Inverclyde,Male,30 - 39,4347.0,Dose 1,0,0.0,0,0.0
20201208,Inverclyde,Male,40 - 49,4235.0,Dose 1,0,0.0,0,0.0
20201208,Inverclyde,Male,50 - 54,2949.0,Dose 1,0,0.0,0,0.0
20201208,Inverclyde,Male,55 - 59,3200.0,Dose 1,0,0.0,0,0.0
20201208,Inverclyde,Male,60 - 64,2646.0,Dose 1,0,0.0,0,0.0
20201208,Inverclyde,Male,65 - 69,2220.0,Dose 1,0,0.0,0,0.0
20201208,Inverclyde,Male,70 - 74,1950.0,Dose 1,0,0.0,0,0.0
20201208,Inverclyde,Male,75 - 79,1385.0,Dose 1,0,0.0,0,0.0
20201208,Inverclyde,Male,80 years and over,1562.0,Dose 1,0,0.0,0,0.0
20201208,Inverclyde,Total,18 - 29,10719.0,Dose 1,1,0.0093292284728053,1,0.0093292284728053
20201208,Inverclyde,Total,18 years and over,63674.0,Dose 1,5,0.00785249866507523,5,0.00785249866507523
20201208,Inverclyde,Total,30 - 39,8838.0,Dose 1,0,0.0,0,0.0
20201208,Inverclyde,Total,40 - 49,9182.0,Dose 1,3,0.0326726203441516,3,0.0326726203441516
20201208,Inverclyde,Total,50 - 54,6289.0,Dose 1,1,0.0159007791381778,1,0.0159007791381778
20201208,Inverclyde,Total,50 years and over,34935.0,Dose 1,1,0.002862458852154,1,0.002862458852154
20201208,Inverclyde,Total,55 - 59,6590.0,Dose 1,0,0.0,0,0.0
20201208,Inverclyde,Total,60 - 64,5548.0,Dose 1,0,0.0,0,0.0
20201208,Inverclyde,Total,65 - 69,4706.0,Dose 1,0,0.0,0,0.0
20201208,Inverclyde,Total,70 - 74,4257.0,Dose 1,0,0.0,0,0.0
20201208,Inverclyde,Total,75 - 79,3125.0,Dose 1,0,0.0,0,0.0
20201208,Inverclyde,Total,80 years and over,4420.0,Dose 1,0,0.0,0,0.0
20201208,Inverclyde,Female,18 - 29,5249.0,Dose 2,0,0.0,0,0.0
20201208,Inverclyde,Female,18 years and over,33710.0,Dose 2,0,0.0,0,0.0
20201208,Inverclyde,Female,30 - 39,4491.0,Dose 2,0,0.0,0,0.0
20201208,Inverclyde,Female,40 - 49,4947.0,Dose 2,0,0.0,0,0.0
20201208,Inverclyde,Female,50 - 54,3340.0,Dose 2,0,0.0,0,0.0
20201208,Inverclyde,Female,55 - 59,3390.0,Dose 2,0,0.0,0,0.0
20201208,Inverclyde,Female,60 - 64,2902.0,Dose 2,0,0.0,0,0.0
20201208,Inverclyde,Female,65 - 69,2486.0,Dose 2,0,0.0,0,0.0
20201208,Inverclyde,Female,70 - 74,2307.0,Dose 2,0,0.0,0,0.0
20201208,Inverclyde,Female,75 - 79,1740.0,Dose 2,0,0.0,0,0.0
20201208,Inverclyde,Female,80 years and over,2858.0,Dose 2,0,0.0,0,0.0
20201208,Inverclyde,Male,18 - 29,5470.0,Dose 2,0,0.0,0,0.0
20201208,Inverclyde,Male,18 years and over,29964.0,Dose 2,0,0.0,0,0.0
20201208,Inverclyde,Male,30 - 39,4347.0,Dose 2,0,0.0,0,0.0
20201208,Inverclyde,Male,40 - 49,4235.0,Dose 2,0,0.0,0,0.0
20201208,Inverclyde,Male,50 - 54,2949.0,Dose 2,0,0.0,0,0.0
20201208,Inverclyde,Male,55 - 59,3200.0,Dose 2,0,0.0,0,0.0
20201208,Inverclyde,Male,60 - 64,2646.0,Dose 2,0,0.0,0,0.0
20201208,Inverclyde,Male,65 - 69,2220.0,Dose 2,0,0.0,0,0.0
20201208,Inverclyde,Male,70 - 74,1950.0,Dose 2,0,0.0,0,0.0
20201208,Inverclyde,Male,75 - 79,1385.0,Dose 2,0,0.0,0,0.0
20201208,Inverclyde,Male,80 years and over,1562.0,Dose 2,0,0.0,0,0.0
20201208,Inverclyde,Total,18 - 29,10719.0,Dose 2,0,0.0,0,0.0
20201208,Inverclyde,Total,18 years and over,63674.0,Dose 2,0,0.0,0,0.0
20201208,Inverclyde,Total,30 - 39,8838.0,Dose 2,0,0.0,0,0.0
20201208,Inverclyde,Total,40 - 49,9182.0,Dose 2,0,0.0,0,0.0
20201208,Inverclyde,Total,50 - 54,6289.0,Dose 2,0,0.0,0,0.0
20201208,Inverclyde,Total,50 years and over,34935.0,Dose 2,0,0.0,0,0.0
20201208,Inverclyde,Total,55 - 59,6590.0,Dose 2,0,0.0,0,0.0
20201208,Inverclyde,Total,60 - 64,5548.0,Dose 2,0,0.0,0,0.0
20201208,Inverclyde,Total,65 - 69,4706.0,Dose 2,0,0.0,0,0.0
20201208,Inverclyde,Total,70 - 74,4257.0,Dose 2,0,0.0,0,0.0
20201208,Inverclyde,Total,75 - 79,3125.0,Dose 2,0,0.0,0,0.0
20201208,Inverclyde,Total,80 years and over,4420.0,Dose 2,0,0.0,0,0.0
20201209,Inverclyde,Female,18 - 29,5249.0,Dose 1,1,0.0190512478567346,1,0.0190512478567346
20201209,Inverclyde,Female,18 years and over,33710.0,Dose 1,10,0.0296647878967665,14,0.0415307030554732
20201209,Inverclyde,Female,30 - 39,4491.0,Dose 1,1,0.0222667557336896,1,0.0222667557336896
20201209,Inverclyde,Female,40 - 49,4947.0,Dose 1,4,0.0808570851020821,7,0.141499898928644
20201209,Inverclyde,Female,50 - 54,3340.0,Dose 1,1,0.029940119760479,2,0.0598802395209581
20201209,Inverclyde,Female,55 - 59,3390.0,Dose 1,1,0.0294985250737463,1,0.0294985250737463
20201209,Inverclyde,Female,60 - 64,2902.0,Dose 1,2,0.0689179875947622,2,0.0689179875947622
20201209,Inverclyde,Female,65 - 69,2486.0,Dose 1,0,0.0,0,0.0
20201209,Inverclyde,Female,70 - 74,2307.0,Dose 1,0,0.0,0,0.0
20201209,Inverclyde,Female,75 - 79,1740.0,Dose 1,0,0.0,0,0.0
20201209,Inverclyde,Female,80 years and over,2858.0,Dose 1,0,0.0,0,0.0
20201209,Inverclyde,Male,18 - 29,5470.0,Dose 1,0,0.0,1,0.0182815356489945
20201209,Inverclyde,Male,18 years and over,29964.0,Dose 1,4,0.013349352556401,5,0.0166866906955013
20201209,Inverclyde,Male,30 - 39,4347.0,Dose 1,2,0.0460087416609156,2,0.0460087416609156
20201209,Inverclyde,Male,40 - 49,4235.0,Dose 1,1,0.0236127508854782,1,0.0236127508854782
20201209,Inverclyde,Male,50 - 54,2949.0,Dose 1,1,0.0339097999321804,1,0.0339097999321804
20201209,Inverclyde,Male,55 - 59,3200.0,Dose 1,0,0.0,0,0.0
20201209,Inverclyde,Male,60 - 64,2646.0,Dose 1,0,0.0,0,0.0
20201209,Inverclyde,Male,65 - 69,2220.0,Dose 1,0,0.0,0,0.0
20201209,Inverclyde,Male,70 - 74,1950.0,Dose 1,0,0.0,0,0.0
20201209,Inverclyde,Male,75 - 79,1385.0,Dose 1,0,0.0,0,0.0
20201209,Inverclyde,Male,80 years and over,1562.0,Dose 1,0,0.0,0,0.0
20201209,Inverclyde,Total,18 - 29,10719.0,Dose 1,1,0.0093292284728053,2,0.0186584569456106
20201209,Inverclyde,Total,18 years and over,63674.0,Dose 1,14,0.0219869962622106,19,0.0298394949272859
20201209,Inverclyde,Total,30 - 39,8838.0,Dose 1,3,0.0339443312966735,3,0.0339443312966735
20201209,Inverclyde,Total,40 - 49,9182.0,Dose 1,5,0.0544543672402527,8,0.0871269875844043
20201209,Inverclyde,Total,50 - 54,6289.0,Dose 1,2,0.0318015582763555,3,0.0477023374145333
20201209,Inverclyde,Total,50 years and over,34935.0,Dose 1,5,0.01431229426077,6,0.017174753112923997
20201209,Inverclyde,Total,55 - 59,6590.0,Dose 1,1,0.0151745068285281,1,0.0151745068285281
20201209,Inverclyde,Total,60 - 64,5548.0,Dose 1,2,0.0360490266762797,2,0.0360490266762797
20201209,Inverclyde,Total,65 - 69,4706.0,Dose 1,0,0.0,0,0.0
